FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090326;0000;39,6666;;;
090327;0000;31,2083;;;
090328;0000;42;;;
090329;0000;13,3333;;;
090330;0000;30,9167;;;
090331;0000;38,4583;;;
090401;0000;23,5417;;;
090402;0000;25,0417;;;
090403;0000;37,7916;;;
090404;0000;20,8333;;;
090405;0000;35,0416;;;
090406;0000;56,75;;;
090407;0000;50,4583;;;
090408;0000;45,7083;;;
090409;0000;47,125;;;
090410;0000;43,125;;;
090411;0000;25,5417;;;
090412;0000;31,625;;;
090413;0000;50,6666;;;
090414;0000;39,875;;;
090415;0000;45,25;;;
090416;0000;53,125;;;
090417;0000;74,3333;;;
090418;0000;49,8333;;;
090419;0000;44,2083;;;
090420;0000;59;;;
090421;0000;;;;
090422;0000;;;;
090423;0000;;;;
090424;0000;;;;
090425;0000;;;;
090426;0000;;;;
090427;0000;;;;
090428;0000;;;;
090429;0000;;;;
090430;0000;;;;
090501;0000;;;;
090502;0000;;;;
090503;0000;;;;
090504;0000;;;;
090505;0000;;;;
090506;0000;;;;
090507;0000;85,2916;;;
090508;0000;71,7916;;;
090509;0000;78,5833;;;
090510;0000;85,4166;;;
090511;0000;192,958;;;
090512;0000;110,583;;;
090513;0000;96;;;
090514;0000;99,0416;;;
090515;0000;101,583;;;
090516;0000;80,0416;;;
090517;0000;23,125;;;
090518;0000;50,9166;;;
090519;0000;117,417;;;
090520;0000;120,458;;;
090521;0000;77,125;;;
090522;0000;72,6666;;;
090523;0000;62,75;;;
090524;0000;45,625;;;
090525;0000;40,5833;;;
090526;0000;34,5416;;;
090527;0000;99,7083;;;
090528;0000;63,0416;;;
090529;0000;45,7083;;;
090530;0000;64,1666;;;
090531;0000;75,4583;;;
090601;0000;119,417;;;
090602;0000;143,167;;;
090603;0000;136,833;;;
090604;0000;111,792;;;
090605;0000;156;;;
090606;0000;103,75;;;
090607;0000;23,75;;;
090608;0000;67,375;;;
090609;0000;125,667;;;
090610;0000;127;;;
090611;0000;167,125;;;
090612;0000;96,8333;;;
090613;0000;23;;;
090614;0000;33,9166;;;
090615;0000;51,0833;;;
090616;0000;114,333;;;
090617;0000;76,9166;;;
090618;0000;168,174;;;
090619;0000;135,208;;;
090620;0000;30,7917;;;
090621;0000;25,7083;;;
090622;0000;99,3333;;;
090623;0000;190,375;;;
090624;0000;172,75;;;
090625;0000;154,75;;;
090626;0000;200,542;;;
090627;0000;127,583;;;
090628;0000;10,1667;;;
090629;0000;56,2083;;;
090630;0000;97,9583;;;
090701;0000;63,75;;;
090702;0000;115,292;;;
090703;0000;160,583;;;
090704;0000;157,667;;;
090705;0000;125;;;
090706;0000;55,25;;;
090707;0000;98,2083;;;
090708;0000;141,333;;;
090709;0000;124,583;;;
090710;0000;86,0833;;;
090711;0000;123,333;;;
090712;0000;72,4166;;;
090713;0000;91,2916;;;
090714;0000;78,75;;;
090715;0000;81,625;;;
090716;0000;85,5833;;;
090717;0000;57,7083;;;
090718;0000;80,4166;;;
090719;0000;67,75;;;
090720;0000;43,9583;;;
090721;0000;26,5417;;;
090722;0000;24,1667;;;
090723;0000;103;;;
090724;0000;154,5;;;
090725;0000;114,083;;;
090726;0000;86,625;;;
090727;0000;104,458;;;
090728;0000;120,917;;;
090729;0000;131,136;;;
090730;0000;82,7916;;;
090731;0000;73,1904;;;
090801;0000;;;;
090802;0000;91,0833;;;
090803;0000;73,0833;;;
090804;0000;25,25;;;
090805;0000;52,4583;;;
090806;0000;88,75;;;
090807;0000;;;;
090808;0000;;;;
090809;0000;;;;
090810;0000;;;;
090811;0000;;;51,4299;
090812;0000;;;;
090813;0000;;;;
090814;0000;;;;
090815;0000;;;;
090816;0000;;;;
090817;0000;;;;
090818;0000;;;;
090819;0000;;;;
090820;0000;;;;
090821;0000;;;;
090822;0000;;;;
090823;0000;;;;
090824;0000;;;;
090825;0000;;;;
090826;0000;;;;
090827;0000;;;;
090828;0000;;;;
090829;0000;;;;
090830;0000;;;;
090831;0000;;;;
090901;0000;;;;
090902;0000;;;;
090903;0000;;;;
090904;0000;;;;
090905;0000;;;;
090906;0000;;;;
090907;0000;;;;
090908;0000;;;;
090909;0000;;;;
090910;0000;;;;
090911;0000;;;;
090912;0000;;;;
090913;0000;;;;
090914;0000;;;;
090915;0000;;;;
090916;0000;;;;
090917;0000;;;;
090918;0000;;;;
090919;0000;;;;
090920;0000;;;;
090921;0000;;;;
090922;0000;;;;
090923;0000;;;;
090924;0000;;;;
090925;0000;;;;
090926;0000;;;;
090927;0000;;;;
090928;0000;;;;
090929;0000;;;;
090930;0000;;;;
091001;0000;;;;
091002;0000;40,875;;;
091003;0000;58,375;;;
091004;0000;8,16666;;;
091005;0000;16;;;
091006;0000;31,9167;;;
091007;0000;37,9583;;;
091008;0000;24,1667;;;
091009;0000;29,6667;;;
091010;0000;7,58333;;;
091011;0000;5,16666;;;
091012;0000;17,2917;;;
091013;0000;24,375;;;
091014;0000;15,1667;;;
091015;0000;30,0417;;;
091016;0000;16,25;;;
091017;0000;9,04166;;;
091018;0000;5,83333;;;
091019;0000;14,6316;;;
091020;0000;18,0833;;;
091021;0000;42,4166;;;
091022;0000;38,2916;;;
091023;0000;27,2083;;;
091024;0000;32,8333;;;
091025;0000;21,4583;;;
091026;0000;37,1666;;;
091027;0000;73,25;;;
091028;0000;59;;;
091029;0000;38;;;
091030;0000;28,5;;;
091031;0000;20,7917;;;
091101;0000;10,25;;;
091102;0000;16,2917;;;
091103;0000;;;;
091104;0000;;;;
091105;0000;;;;
091106;0000;;;;
091107;0000;;;;
091108;0000;;;;
091109;0000;;;;
091110;0000;;;;
091111;0000;;;;
091112;0000;;;;
091113;0000;;;;
091114;0000;21,4583;;;
091115;0000;24,4167;;;
091116;0000;31,6667;;;
091117;0000;46,75;;;
091118;0000;58,375;;;
091119;0000;31,5417;;;
091120;0000;68,6666;;;
091121;0000;39,625;;;
091122;0000;24,5833;;;
091123;0000;18,0417;;;
091124;0000;17,3182;;;
091125;0000;16,9583;;;
091126;0000;16,3333;;;
091127;0000;12,625;;;
091128;0000;17,4583;;;
091129;0000;6,33333;;;
091130;0000;13,5417;;;
091201;0000;;;;
091202;0000;;;;
091203;0000;;;;
091204;0000;;;;
091205;0000;;;;
091206;0000;;;;
091207;0000;;;;
091208;0000;6,5;;;
091209;0000;15,2917;;;
091210;0000;13,5;;;
091211;0000;12,3478;;;
091212;0000;15,125;;;
