FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090326;0000;44;;;
090327;0000;42,1666;;;
090328;0000;40,0416;;;
090329;0000;21,25;;;
090330;0000;34,9166;;;
090331;0000;40,625;;;
090401;0000;32,6666;;;
090402;0000;35,5;;;
090403;0000;23,375;;;
090404;0000;25,2083;;;
090405;0000;31,5833;;;
090406;0000;45,7916;;;
090407;0000;40,4166;;;
090408;0000;43,6666;;;
090409;0000;44,4583;;;
090410;0000;31,375;;;
090411;0000;25,4167;;;
090412;0000;19,9583;;;
090413;0000;37,4583;;;
090414;0000;43,2916;;;
090415;0000;45,625;;;
090416;0000;45,1666;;;
090417;0000;44,125;;;
090418;0000;41,6666;;;
090419;0000;35,6666;;;
090420;0000;46,7083;;;
090421;0000;;;;
090422;0000;;;;
090423;0000;;;;
090424;0000;;;;
090425;0000;;;;
090426;0000;;;;
090427;0000;;;;
090428;0000;;;;
090429;0000;;;;
090430;0000;;;;
090501;0000;;;;
090502;0000;;;;
090503;0000;;;;
090504;0000;;;;
090505;0000;;;;
090506;0000;;;;
090507;0000;39,1666;;;
090508;0000;46;;;
090509;0000;40,0416;;;
090510;0000;56,8333;;;
090511;0000;93,5;;;
090512;0000;65;;;
090513;0000;34,9583;;;
090514;0000;32,125;;;
090515;0000;41,8333;;;
090516;0000;38,8333;;;
090517;0000;20,2917;;;
090518;0000;33,625;;;
090519;0000;52,5;;;
090520;0000;52,125;;;
090521;0000;53,25;;;
090522;0000;49,5;;;
090523;0000;45,4166;;;
090524;0000;32,8333;;;
090525;0000;23,0417;;;
090526;0000;23,5;;;
090527;0000;42,75;;;
090528;0000;37,8333;;;
090529;0000;32,0416;;;
090530;0000;35,4583;;;
090531;0000;32,3333;;;
090601;0000;51,4583;;;
090602;0000;57,875;;;
090603;0000;65,5416;;;
090604;0000;54,5;;;
090605;0000;60,0833;;;
090606;0000;57,0416;;;
090607;0000;29,8333;;;
090608;0000;52,375;;;
090609;0000;57,625;;;
090610;0000;57,375;;;
090611;0000;68,0416;;;
090612;0000;61,7916;;;
090613;0000;38,875;;;
090614;0000;29,7083;;;
090615;0000;26,0417;;;
090616;0000;37,9166;;;
090617;0000;31,2917;;;
090618;0000;45,4782;;;
090619;0000;37,4166;;;
090620;0000;25,4167;;;
090621;0000;24,375;;;
090622;0000;32,875;;;
090623;0000;47,7916;;;
090624;0000;52,9166;;;
090625;0000;50,9583;;;
090626;0000;53,9166;;;
090627;0000;42,5416;;;
090628;0000;19,5417;;;
090629;0000;26,9167;;;
090630;0000;34,2916;;;
090701;0000;31,0417;;;
090702;0000;45,8333;;;
090703;0000;53,875;;;
090704;0000;43,875;;;
090705;0000;43,0833;;;
090706;0000;32,0833;;;
090707;0000;34,7916;;;
090708;0000;39,8333;;;
090709;0000;50,8333;;;
090710;0000;36,5;;;
090711;0000;46,375;;;
090712;0000;35,3333;;;
090713;0000;35,9583;;;
090714;0000;41,5833;;;
090715;0000;36,7916;;;
090716;0000;38,4583;;;
090717;0000;37,3333;;;
090718;0000;29,5;;;
090719;0000;28,625;;;
090720;0000;32,1666;;;
090721;0000;26;;;
090722;0000;24,1667;;;
090723;0000;41,6666;;;
090724;0000;51,5;;;
090725;0000;46,0833;;;
090726;0000;39,375;;;
090727;0000;53,5833;;;
090728;0000;52,5416;;;
090729;0000;48,6818;;;
090730;0000;47,7083;;;
090731;0000;39,3333;;;
090801;0000;;;;
090802;0000;46,7083;;;
090803;0000;53,5416;;;
090804;0000;29,4583;;;
090805;0000;32,0833;;;
090806;0000;34,4166;;;
090807;0000;;;6,82324;
090808;0000;;;11,2988;
090809;0000;;;11,2169;
090810;0000;;;17,6039;
090811;0000;;;;
090812;0000;;;;
090813;0000;;;13,1286;
090814;0000;;;;
090815;0000;;;;
090816;0000;;;;
090817;0000;;;;
090818;0000;;;;
090819;0000;;;;
090820;0000;;;;
090821;0000;;;;
090822;0000;;;;
090823;0000;;;;
090824;0000;;;;
090825;0000;;;;
090826;0000;;;;
090827;0000;;;;
090828;0000;;;;
090829;0000;;;;
090830;0000;;;;
090831;0000;;;;
090901;0000;;;;
090902;0000;;;;
090903;0000;;;;
090904;0000;;;;
090905;0000;;;;
090906;0000;;;;
090907;0000;;;;
090908;0000;;;;
090909;0000;;;;
090910;0000;;;;
090911;0000;;;;
090912;0000;;;;
090913;0000;;;;
090914;0000;;;;
090915;0000;;;;
090916;0000;;;;
090917;0000;;;;
090918;0000;;;;
090919;0000;;;;
090920;0000;;;;
090921;0000;;;;
090922;0000;;;;
090923;0000;;;;
090924;0000;;;;
090925;0000;;;;
090926;0000;;;;
090927;0000;;;;
090928;0000;;;;
090929;0000;;;;
090930;0000;;;;
091001;0000;;;;
091002;0000;28,0417;;;
091003;0000;33,9583;;;
091004;0000;16,7917;;;
091005;0000;19,4583;;;
091006;0000;23,9167;;;
091007;0000;34,3333;;;
091008;0000;31,875;;;
091009;0000;26,2917;;;
091010;0000;13,8333;;;
091011;0000;9,375;;;
091012;0000;15,0833;;;
091013;0000;18,2083;;;
091014;0000;17,8333;;;
091015;0000;20,5833;;;
091016;0000;18,7083;;;
091017;0000;13,4167;;;
091018;0000;10,4583;;;
091019;0000;18,1579;;;
091020;0000;19,0417;;;
091021;0000;29,3333;;;
091022;0000;30,7917;;;
091023;0000;15,7083;;;
091024;0000;18,7083;;;
091025;0000;16,3333;;;
091026;0000;24,5417;;;
091027;0000;37,2083;;;
091028;0000;35,4166;;;
091029;0000;25,2083;;;
091030;0000;21,2083;;;
091031;0000;17,7917;;;
091101;0000;11,875;;;
091102;0000;9,125;;;
091103;0000;;;;
091104;0000;;;;
091105;0000;;;;
091106;0000;;;;
091107;0000;;;;
091108;0000;;;;
091109;0000;;;;
091110;0000;;;;
091111;0000;;;;
091112;0000;;;;
091113;0000;;;;
091114;0000;24,875;;;
091115;0000;24,2917;;;
091116;0000;32,2916;;;
091117;0000;34,125;;;
091118;0000;31,8333;;;
091119;0000;28,9167;;;
091120;0000;39,8333;;;
091121;0000;30,875;;;
091122;0000;35;;;
091123;0000;26,8333;;;
091124;0000;18,4545;;;
091125;0000;21,25;;;
091126;0000;27,7917;;;
091127;0000;25,625;;;
091128;0000;21,6667;;;
091129;0000;18,25;;;
091130;0000;21,5833;;;
091201;0000;;;20,662;
091202;0000;;;24,2303;
091203;0000;;;34,1006;
091204;0000;;;24,9895;
091205;0000;;;17,8113;
091206;0000;;;13,8958;
091207;0000;;;;
091208;0000;13;;;
091209;0000;21,4167;;;
091210;0000;19,2917;;;
091211;0000;20,7391;;;
091212;0000;23,4167;;;
091213;0000;14,7917;;;
091214;0000;20,3333;;;
091215;0000;25;;;
091216;0000;26,5;;;
091217;0000;24,2917;;;
091218;0000;17,75;;;
091219;0000;20,4583;;;
091220;0000;17,7083;;;
091221;0000;19,5909;;;
091222;0000;16,9167;;;
091223;0000;21,9167;;;
091224;0000;20,6667;;;
091225;0000;8,95833;;;
091226;0000;9,66666;;;
091227;0000;8,41666;;;
091228;0000;8,95833;;;
091229;0000;12,6667;;;
091230;0000;16,125;;;
091231;0000;15,5417;;;
100101;0000;10,375;;;
100102;0000;12,9167;;;
100103;0000;9,08333;;;
100104;0000;13,5417;;;
100105;0000;11,9167;;;
100106;0000;15,5;;;
100107;0000;18,625;;;
100108;0000;22,75;;;
100109;0000;18,8333;;;
100110;0000;13,0417;;;
100111;0000;11,875;;;
100112;0000;16,9583;;;
100113;0000;25,2083;;;
100114;0000;28,5;;;
100115;0000;23,2083;;;
100116;0000;17,7083;;;
100117;0000;13,625;;;
100118;0000;15,2083;;;
100119;0000;20,0833;;;
100120;0000;27,75;;;
100121;0000;25,5833;;;
100122;0000;23,0417;;;
100123;0000;18,25;;;
100124;0000;12,9583;;;
100125;0000;18,2083;;;
100126;0000;16,2083;;;
100127;0000;19,8333;;;
100128;0000;19,125;;;
100129;0000;18,5833;;;
100130;0000;14,4167;;;
100131;0000;15,4583;;;
100201;0000;23,5833;;;
100202;0000;21,1667;;;
100203;0000;17,7727;;;
100204;0000;21,5417;;;
100205;0000;20,4583;;;
100206;0000;16;;;
100207;0000;15,0833;;;
100208;0000;19,2917;;;
100209;0000;20,4167;;;
100210;0000;23,6667;;;
100211;0000;23,0417;;;
100212;0000;27,375;;;
100213;0000;25,9167;;;
100214;0000;19,75;;;
100215;0000;24,4167;;;
100216;0000;25,3333;;;
100217;0000;26,9583;;;
100218;0000;20,75;;;
100219;0000;19,125;;;
100220;0000;20,375;;;
