FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090326;0000;83,6666;;;
090327;0000;73,375;;;
090328;0000;82,0416;;;
090329;0000;34,5833;;;
090330;0000;65,8333;;;
090331;0000;79,0833;;;
090401;0000;56,2083;;;
090402;0000;60,5416;;;
090403;0000;61,1666;;;
090404;0000;46,0416;;;
090405;0000;66,625;;;
090406;0000;102,542;;;
090407;0000;90,875;;;
090408;0000;89,375;;;
090409;0000;91,5833;;;
090410;0000;74,5;;;
090411;0000;50,9583;;;
090412;0000;51,5833;;;
090413;0000;88,125;;;
090414;0000;83,1666;;;
090415;0000;90,875;;;
090416;0000;98,2916;;;
090417;0000;118,458;;;
090418;0000;91,5;;;
090419;0000;79,875;;;
090420;0000;105,708;;;
090421;0000;;;;
090422;0000;;;;
090423;0000;;;;
090424;0000;;;;
090425;0000;;;;
090426;0000;;;;
090427;0000;;;;
090428;0000;;;;
090429;0000;;;;
090430;0000;;;;
090501;0000;;;;
090502;0000;;;;
090503;0000;;;;
090504;0000;;;;
090505;0000;;;;
090506;0000;;;;
090507;0000;124,458;;;
090508;0000;117,792;;;
090509;0000;118,625;;;
090510;0000;142,25;;;
090511;0000;286,458;;;
090512;0000;175,583;;;
090513;0000;130,958;;;
090514;0000;131,167;;;
090515;0000;143,417;;;
090516;0000;118,875;;;
090517;0000;43,4166;;;
090518;0000;84,5416;;;
090519;0000;169,917;;;
090520;0000;172,583;;;
090521;0000;130,375;;;
090522;0000;122,167;;;
090523;0000;108,167;;;
090524;0000;78,4583;;;
090525;0000;63,625;;;
090526;0000;58,0416;;;
090527;0000;142,458;;;
090528;0000;100,875;;;
090529;0000;77,75;;;
090530;0000;99,625;;;
090531;0000;107,792;;;
090601;0000;170,875;;;
090602;0000;201,042;;;
090603;0000;202,375;;;
090604;0000;166,292;;;
090605;0000;216,083;;;
090606;0000;160,792;;;
090607;0000;53,5833;;;
090608;0000;119,75;;;
090609;0000;183,292;;;
090610;0000;184,375;;;
090611;0000;235,167;;;
090612;0000;158,625;;;
090613;0000;61,875;;;
090614;0000;63,625;;;
090615;0000;77,125;;;
090616;0000;152,25;;;
090617;0000;108,208;;;
090618;0000;213,652;;;
090619;0000;172,625;;;
090620;0000;56,2083;;;
090621;0000;50,0833;;;
090622;0000;132,208;;;
090623;0000;238,167;;;
090624;0000;225,667;;;
090625;0000;205,708;;;
090626;0000;254,458;;;
090627;0000;170,125;;;
090628;0000;29,7083;;;
090629;0000;83,125;;;
090630;0000;132,25;;;
090701;0000;94,7916;;;
090702;0000;161,125;;;
090703;0000;214,458;;;
090704;0000;201,542;;;
090705;0000;168,083;;;
090706;0000;87,3333;;;
090707;0000;133;;;
090708;0000;181,167;;;
090709;0000;175,417;;;
090710;0000;122,583;;;
090711;0000;169,708;;;
090712;0000;107,75;;;
090713;0000;127,25;;;
090714;0000;120,333;;;
090715;0000;118,417;;;
090716;0000;124,042;;;
090717;0000;95,0416;;;
090718;0000;109,917;;;
090719;0000;96,375;;;
090720;0000;76,125;;;
090721;0000;52,5416;;;
090722;0000;48,3333;;;
090723;0000;144,667;;;
090724;0000;206;;;
090725;0000;160,167;;;
090726;0000;126;;;
090727;0000;158,042;;;
090728;0000;173,458;;;
090729;0000;179,818;;;
090730;0000;130,5;;;
090731;0000;112,524;;;
090801;0000;;;;
090802;0000;137,792;;;
090803;0000;126,625;;;
090804;0000;54,7083;;;
090805;0000;84,5416;;;
090806;0000;123,167;;;
090807;0000;;;;
090808;0000;;;;
090809;0000;;;;
090810;0000;;;62,0255;
090811;0000;;;67,576;
090812;0000;;;;
090813;0000;;;;
090814;0000;;;;
090815;0000;;;;
090816;0000;;;;
090817;0000;;;;
090818;0000;;;;
090819;0000;;;;
090820;0000;;;;
090821;0000;;;;
090822;0000;;;;
090823;0000;;;;
090824;0000;;;;
090825;0000;;;;
090826;0000;;;;
090827;0000;;;;
090828;0000;;;;
090829;0000;;;;
090830;0000;;;;
090831;0000;;;;
090901;0000;;;;
090902;0000;;;;
090903;0000;;;;
090904;0000;;;;
090905;0000;;;;
090906;0000;;;;
090907;0000;;;;
090908;0000;;;;
090909;0000;;;;
090910;0000;;;;
090911;0000;;;;
090912;0000;;;;
090913;0000;;;;
090914;0000;;;;
090915;0000;;;;
090916;0000;;;;
090917;0000;;;;
090918;0000;;;;
090919;0000;;;;
090920;0000;;;;
090921;0000;;;;
090922;0000;;;;
090923;0000;;;;
090924;0000;;;;
090925;0000;;;;
090926;0000;;;;
090927;0000;;;;
090928;0000;;;;
090929;0000;;;;
090930;0000;;;;
091001;0000;;;;
091002;0000;68,9166;;;
091003;0000;92,3333;;;
091004;0000;24,9583;;;
091005;0000;35,4583;;;
091006;0000;55,8333;;;
091007;0000;72,2916;;;
091008;0000;56,0416;;;
091009;0000;55,9583;;;
091010;0000;21,4167;;;
091011;0000;14,5417;;;
091012;0000;32,375;;;
091013;0000;42,5833;;;
091014;0000;33;;;
091015;0000;50,625;;;
091016;0000;34,9583;;;
091017;0000;22,4583;;;
091018;0000;16,2917;;;
091019;0000;32,7894;;;
091020;0000;37,125;;;
091021;0000;71,75;;;
091022;0000;69,0833;;;
091023;0000;42,9166;;;
091024;0000;51,5416;;;
091025;0000;37,7916;;;
091026;0000;61,7083;;;
091027;0000;110,458;;;
091028;0000;94,4166;;;
091029;0000;63,2083;;;
091030;0000;49,7083;;;
091031;0000;38,5833;;;
091101;0000;22,125;;;
091102;0000;25,4167;;;
091103;0000;;;;
091104;0000;;;;
091105;0000;;;;
091106;0000;;;;
091107;0000;;;;
091108;0000;;;;
091109;0000;;;;
091110;0000;;;;
091111;0000;;;;
091112;0000;;;;
091113;0000;;;;
091114;0000;46,3333;;;
091115;0000;48,7083;;;
091116;0000;63,9583;;;
091117;0000;80,875;;;
091118;0000;90,2083;;;
091119;0000;60,4583;;;
091120;0000;108,5;;;
091121;0000;70,5;;;
091122;0000;59,5833;;;
091123;0000;44,875;;;
091124;0000;35,7727;;;
091125;0000;38,2083;;;
