FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
970402;0000;15,4583;;;
970403;0000;11,7917;;;
970404;0000;20,6667;;;
970405;0000;24,5;;;
970406;0000;21;;;
970407;0000;17,9583;;;
970408;0000;14,3333;;;
970409;0000;24,5417;;;
970410;0000;21,875;;;
970411;0000;20,2083;;;
970412;0000;18,9583;;;
970413;0000;25;;;
970414;0000;15,8636;;;
970415;0000;20,0833;;;
970416;0000;15,75;;;
970417;0000;7,33333;;;
970418;0000;9,125;;;
970419;0000;16,9583;;;
970420;0000;17,4583;;;
970421;0000;13,625;;;
970422;0000;7,04166;;;
970423;0000;5,29166;;;
970424;0000;10,9167;;;
970425;0000;18,75;;;
970426;0000;8,625;;;
970427;0000;19,3333;;;
970428;0000;13,125;;;
970429;0000;5,04545;;;
970430;0000;6,08333;;;
970501;0000;19,5;;;
970502;0000;;;;
970503;0000;26,75;;;
970504;0000;17,3333;;;
970505;0000;12,7917;;;
970506;0000;27,0833;;;
970507;0000;14,5833;;;
970508;0000;15,25;;;
970509;0000;17,3333;;;
970510;0000;17,0833;;;
970511;0000;30,7917;;;
970512;0000;7,58333;;;
970513;0000;18,2083;;;
970514;0000;14,9583;;;
970515;0000;16,5;;;
970516;0000;6,70833;;;
970517;0000;5,20833;;;
970518;0000;9,58333;;;
970519;0000;9,79166;;;
970520;0000;7,375;;;
970521;0000;17,4167;;;
970522;0000;;;;
970523;0000;;;;
970524;0000;;;;
970525;0000;;;;
970526;0000;;;;
970527;0000;;;;
970528;0000;;;;
970529;0000;5,58333;;;
970530;0000;6,04166;;;
970531;0000;2,79166;;;
970601;0000;12,2917;;;
970602;0000;5,66666;;;
970603;0000;1,83333;;;
970604;0000;;;;
970605;0000;;;;
970606;0000;;;;
970607;0000;8,08333;;;
970608;0000;5,25;;;
970609;0000;2,33333;;;
970610;0000;5,29166;;;
970611;0000;3,375;;;
970612;0000;9,625;;;
970613;0000;10,0417;;;
970614;0000;4,95833;;;
970615;0000;1,625;;;
970616;0000;5,16666;;;
970617;0000;3,125;;;
970618;0000;3,75;;;
970619;0000;6,75;;;
970620;0000;13,2917;;;
970621;0000;9,875;;;
970622;0000;6,54166;;;
970623;0000;5,54166;;;
970624;0000;6,125;;;
970625;0000;5,54166;;;
970626;0000;4,54166;;;
970627;0000;8,20833;;;
970628;0000;12,7083;;;
970629;0000;13,0833;;;
970630;0000;10,7083;;;
970701;0000;5,25;;;
970702;0000;5,83333;;;
970703;0000;2,78261;;;
970704;0000;8,58333;;;
970705;0000;7,25;;;
970706;0000;12,6667;;;
970707;0000;3,29166;;;
970708;0000;2,16666;;;
970709;0000;3,08333;;;
970710;0000;4,29166;;;
970711;0000;4,79166;;;
970712;0000;6,58333;;;
970713;0000;9,25;;;
970714;0000;3,08696;;;
970715;0000;7,83333;;;
970716;0000;3,47619;;;
970717;0000;4,25;;;
970718;0000;7,375;;;
970719;0000;14,1667;;;
970720;0000;10,5;;;
970721;0000;2,875;;;
970722;0000;9,45833;;;
970723;0000;12,125;;;
970724;0000;4,04166;;;
970725;0000;6,20833;;;
970726;0000;3,83333;;;
970727;0000;10,9583;;;
970728;0000;5,17391;;;
970729;0000;2,83333;;;
970730;0000;1,29167;;;
970731;0000;6,08333;;;
970801;0000;6,33333;;;
970802;0000;5,29166;;;
970803;0000;12,375;;;
970804;0000;4,79166;;;
970805;0000;9,66666;;;
970806;0000;15,75;;;
970807;0000;19,0833;;;
970808;0000;15,4167;;;
970809;0000;16,5417;;;
970810;0000;21,0833;;;
970811;0000;15,375;;;
970812;0000;11,3333;;;
970813;0000;1,875;;;
970814;0000;1,95833;;;
970815;0000;1,70833;;;
970816;0000;4,66666;;;
970817;0000;9,75;;;
970818;0000;5,66666;;;
970819;0000;8,54166;;;
970820;0000;9;;;
970821;0000;11,75;;;
970822;0000;9,875;;;
970823;0000;19,5833;;;
970824;0000;;;;
970825;0000;;;;
970826;0000;18,3333;;;
970827;0000;21;;;
970828;0000;16,0833;;;
970829;0000;10,2917;;;
970830;0000;1,25;;;
970831;0000;1,25;;;
970901;0000;2,33333;;;
970902;0000;2,70833;;;
970903;0000;3,16666;;;
970904;0000;1,58333;;;
970905;0000;3,125;;;
970906;0000;3,125;;;
970907;0000;12,375;;;
970908;0000;10,75;;;
970909;0000;10,4167;;;
970910;0000;13,0417;;;
970911;0000;13,6667;;;
970912;0000;12,75;;;
970913;0000;15,0417;;;
970914;0000;17,5417;;;
970915;0000;21,875;;;
970916;0000;27,5;;;
970917;0000;21,5417;;;
970918;0000;8,95833;;;
970919;0000;10,9167;;;
970920;0000;19,3;;;
970921;0000;24,7778;;;
970922;0000;13,25;;;
970923;0000;11,9167;;;
970924;0000;15,75;;;
970925;0000;16,7917;;;
970926;0000;3,125;;;
970927;0000;4,54166;;;
970928;0000;14,2083;;;
970929;0000;;;;
970930;0000;16,5263;;;
971001;0000;17,3333;;;
971002;0000;3,33333;;;
971003;0000;7,875;;;
971004;0000;7,70833;;;
971005;0000;14,5417;;;
971006;0000;14,2083;;;
971007;0000;13,8333;;;
971008;0000;13,2083;;;
971009;0000;13,8333;;;
971010;0000;11,4167;;;
971011;0000;10,0833;;;
971012;0000;14,1667;;;
971013;0000;8,625;;;
971014;0000;12,75;;;
971015;0000;11,4167;;;
971016;0000;15,125;;;
971017;0000;13,5;;;
971018;0000;13,875;;;
971019;0000;20,9583;;;
971020;0000;19,2917;;;
971021;0000;20,4583;;;
971022;0000;14,25;;;
971023;0000;22,125;;;
971024;0000;16,7083;;;
971025;0000;16,3333;;;
971026;0000;8,83333;;;
971027;0000;11,9583;;;
971028;0000;12,5;;;
971029;0000;16,875;;;
