FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
970620;0000;3,58333;;;
970621;0000;3,66666;;;
970622;0000;3,70833;;;
970623;0000;7,04166;;;
970624;0000;11,3333;;;
970625;0000;12,3333;;;
970626;0000;11,875;;;
970627;0000;18,1667;;;
970628;0000;23,7917;;;
970629;0000;18,1667;;;
970630;0000;22,9167;;;
970701;0000;;;;
970702;0000;;;;
970703;0000;;;;
970704;0000;;;;
970705;0000;;;;
970706;0000;;;;
970707;0000;;;;
970708;0000;;;;
970709;0000;;;;
970710;0000;;;;
970711;0000;;;;
970712;0000;;;;
970713;0000;;;;
970714;0000;;;;
970715;0000;;;;
970716;0000;;;;
970717;0000;;;;
970718;0000;;;;
970719;0000;;;;
970720;0000;;;;
970721;0000;;;;
970722;0000;;;;
970723;0000;;;;
970724;0000;;;;
970725;0000;;;;
970726;0000;;;;
970727;0000;;;;
970728;0000;;;;
970729;0000;;;;
970730;0000;4,20833;;;
970731;0000;5,45833;;;
970801;0000;9,95833;;;
970802;0000;9,95833;;;
970803;0000;21,2917;;;
970804;0000;26,2917;;;
970805;0000;28,3333;;;
970806;0000;19,6667;;;
970807;0000;20,5833;;;
970808;0000;21,625;;;
970809;0000;15,2083;;;
970810;0000;13,2917;;;
970811;0000;15,875;;;
970812;0000;16;;;
970813;0000;8;;;
970814;0000;8,83333;;;
970815;0000;9;;;
970816;0000;5,83333;;;
970817;0000;3,875;;;
970818;0000;5,5;;;
970819;0000;7,25;;;
970820;0000;9,54166;;;
970821;0000;12,4583;;;
970822;0000;12,125;;;
970823;0000;11,75;;;
970824;0000;;;;
970825;0000;;;;
970826;0000;30,4167;;;
970827;0000;21,5833;;;
970828;0000;16,875;;;
970829;0000;10,4167;;;
970830;0000;5,58333;;;
970831;0000;5,16666;;;
970901;0000;9,83333;;;
970902;0000;12,8333;;;
970903;0000;7,875;;;
970904;0000;8,5;;;
970905;0000;14,1667;;;
970906;0000;9,16666;;;
970907;0000;4,16666;;;
970908;0000;5,20833;;;
970909;0000;4,58333;;;
970910;0000;8,375;;;
970911;0000;4,75;;;
970912;0000;5,33333;;;
970913;0000;9,83333;;;
970914;0000;14,375;;;
970915;0000;16,7083;;;
970916;0000;15,3333;;;
970917;0000;10,875;;;
970918;0000;5,04166;;;
970919;0000;3,375;;;
970920;0000;4;;;
970921;0000;4,29166;;;
970922;0000;4,08333;;;
970923;0000;4,54166;;;
970924;0000;5,625;;;
970925;0000;7,66666;;;
970926;0000;10,9583;;;
970927;0000;3,41666;;;
970928;0000;3,70833;;;
970929;0000;4,625;;;
970930;0000;2,875;;;
971001;0000;9,58333;;;
971002;0000;5,56522;;;
971003;0000;5,20833;;;
971004;0000;4,04166;;;
971005;0000;2,75;;;
971006;0000;9,45833;;;
971007;0000;12,7083;;;
971008;0000;6,79166;;;
971009;0000;4,58333;;;
971010;0000;5,20833;;;
971011;0000;4,375;;;
971012;0000;2,58333;;;
971013;0000;2,875;;;
971014;0000;3;;;
971015;0000;4,08333;;;
971016;0000;6,41666;;;
971017;0000;6,41666;;;
971018;0000;5,83333;;;
971019;0000;2,58333;;;
971020;0000;5,29166;;;
971021;0000;9,875;;;
971022;0000;4,16666;;;
971023;0000;14,9167;;;
971024;0000;5,66666;;;
971025;0000;2,25;;;
971026;0000;2,25;;;
971027;0000;3,58333;;;
971028;0000;2,58333;;;
971029;0000;2,875;;;
971030;0000;2,5;;;
