FECHA (YYMMDD);HORA (HHMM);;
031215;0100;;
031215;0200;;
031215;0300;;
031215;0400;;
031215;0500;;
031215;0600;;
031215;0700;;
031215;0800;;
031215;0900;;
031215;1000;;
031215;1100;254,898;
031215;1200;227,381;
031215;1300;228,678;
031215;1400;231,013;
031215;1500;243,595;
031215;1600;230,597;
031215;1700;232,818;
031215;1800;227,985;
031215;1900;242,622;
031215;2000;226,199;
031215;2100;224,484;
031215;2200;199,239;
031215;2300;112,548;
031216;0000;140,195;
031216;0100;118,982;
031216;0200;134,473;
031216;0300;128,708;
031216;0400;150,846;
031216;0500;123,527;
031216;0600;117,223;
031216;0700;194,672;
031216;0800;354,417;
031216;0900;312,872;
031216;1000;273,376;
031216;1100;282,556;
031216;1200;266,033;
031216;1300;240,873;
031216;1400;242,634;
031216;1500;238,29;
031216;1600;233,513;
031216;1700;251,367;
031216;1800;243,15;
031216;1900;225,899;
031216;2000;293,696;
031216;2100;357,075;
031216;2200;72,4839;
031216;2300;116,819;
031217;0000;133,377;
031217;0100;135,621;
031217;0200;140,094;
031217;0300;139,094;
031217;0400;138,875;
031217;0500;141,976;
031217;0600;140,189;
031217;0700;166,106;
031217;0800;316,762;
031217;0900;319,617;
031217;1000;313,28;
031217;1100;323,44;
031217;1200;263,509;
031217;1300;252,432;
031217;1400;248,193;
031217;1500;289,832;
031217;1600;292,547;
031217;1700;296,549;
031217;1800;276,742;
031217;1900;225,416;
031217;2000;197,099;
031217;2100;221,934;
031217;2200;224,669;
031217;2300;231,349;
031218;0000;274,398;
031218;0100;354,226;
031218;0200;1,7782;
031218;0300;98,4595;
031218;0400;41,5076;
031218;0500;125,296;
031218;0600;0,630963;
031218;0700;343,056;
031218;0800;329,899;
031218;0900;293,25;
031218;1000;329,876;
031218;1100;310,953;
031218;1200;275,157;
031218;1300;255,685;
031218;1400;244,977;
031218;1500;255,322;
031218;1600;253,178;
031218;1700;288,828;
031218;1800;301,363;
031218;1900;294,677;
031218;2000;241,772;
031218;2100;205,977;
031218;2200;187,018;
031218;2300;177,052;
031219;0000;296,346;
031219;0100;290,905;
031219;0200;210,7;
031219;0300;349,733;
031219;0400;129,818;
031219;0500;127,389;
031219;0600;30,5929;
031219;0700;350,431;
031219;0800;320,418;
031219;0900;326,001;
031219;1000;317,466;
031219;1100;266,486;
031219;1200;264,861;
031219;1300;269,708;
031219;1400;274,978;
031219;1500;265,816;
031219;1600;265,688;
031219;1700;271,793;
031219;1800;286,975;
031219;1900;302,555;
031219;2000;295,36;
031219;2100;308,725;
031219;2200;326,975;
031219;2300;11,6636;
031220;0000;139,376;
031220;0100;115,809;
031220;0200;52,6605;
031220;0300;109,185;
031220;0400;135,262;
031220;0500;142,522;
031220;0600;119,802;
031220;0700;335,052;
031220;0800;281,543;
031220;0900;317,592;
031220;1000;316,935;
031220;1100;316,403;
031220;1200;273,287;
031220;1300;258,868;
031220;1400;258,042;
031220;1500;254,495;
031220;1600;294,044;
031220;1700;288,782;
031220;1800;287,051;
031220;1900;248,854;
031220;2000;240,986;
031220;2100;162,328;
031220;2200;150,303;
031220;2300;205,687;
031221;0000;198,966;
031221;0100;234,342;
031221;0200;216,914;
031221;0300;242,775;
031221;0400;264,099;
031221;0500;209,105;
031221;0600;350,896;
031221;0700;305,801;
031221;0800;353,694;
031221;0900;318,192;
031221;1000;313,361;
031221;1100;270,686;
031221;1200;245,925;
031221;1300;263,986;
031221;1400;267,781;
031221;1500;246,268;
031221;1600;250,955;
031221;1700;249,936;
031221;1800;245,88;
031221;1900;239,551;
031221;2000;269,613;
031221;2100;276,386;
031221;2200;16,8128;
031221;2300;92,8284;
031222;0000;46,6064;
031222;0100;120,737;
031222;0200;76,0874;
031222;0300;359,807;
031222;0400;124,317;
031222;0500;107,984;
031222;0600;117,102;
031222;0700;227,576;
031222;0800;311,098;
031222;0900;317,959;
031222;1000;320,974;
031222;1100;298,897;
031222;1200;292,457;
031222;1300;275,708;
031222;1400;258,802;
031222;1500;249,365;
031222;1600;238,421;
031222;1700;266,627;
031222;1800;264,244;
031222;1900;283,219;
031222;2000;321,553;
031222;2100;309,659;
031222;2200;347,34;
031222;2300;359,977;
031223;0000;54,9398;
031223;0100;74,948;
031223;0200;116,433;
031223;0300;126,155;
031223;0400;128,783;
031223;0500;122,081;
031223;0600;124,959;
031223;0700;348,621;
031223;0800;322,667;
031223;0900;312,999;
031223;1000;310,961;
031223;1100;319,556;
031223;1200;274,751;
031223;1300;231,161;
031223;1400;254,673;
031223;1500;293,334;
031223;1600;303,065;
031223;1700;302,831;
031223;1800;282,221;
031223;1900;283,292;
031223;2000;246,773;
031223;2100;188,914;
031223;2200;184,943;
031223;2300;189,054;
031224;0000;226,738;
031224;0100;207,06;
031224;0200;205,571;
031224;0300;142,977;
031224;0400;55,5098;
031224;0500;132,781;
031224;0600;122,21;
031224;0700;353,913;
031224;0800;319,333;
031224;0900;306,065;
031224;1000;283,572;
031224;1100;259,48;
031224;1200;255,614;
031224;1300;259,373;
031224;1400;253,285;
031224;1500;257,833;
031224;1600;247,932;
031224;1700;283,901;
031224;1800;248,286;
031224;1900;231,593;
031224;2000;308,138;
031224;2100;268,387;
031224;2200;231,163;
031224;2300;231,54;
031225;0000;349,622;
031225;0100;315,23;
031225;0200;252,17;
031225;0300;324,563;
031225;0400;331,605;
031225;0500;300,205;
031225;0600;42,6539;
031225;0700;7,71394;
031225;0800;334,237;
031225;0900;293,703;
031225;1000;292,834;
031225;1100;317,963;
031225;1200;272,713;
031225;1300;264,36;
031225;1400;259,909;
031225;1500;259,525;
031225;1600;266,618;
031225;1700;300,781;
031225;1800;297,889;
031225;1900;289,29;
031225;2000;298,86;
031225;2100;253,375;
031225;2200;209,338;
031225;2300;176,921;
031226;0000;208,395;
031226;0100;185,547;
031226;0200;191,518;
031226;0300;225,896;
031226;0400;258,667;
031226;0500;347,975;
031226;0600;283,417;
031226;0700;298,887;
031226;0800;306,097;
031226;0900;313,896;
031226;1000;274,398;
031226;1100;282,622;
031226;1200;284,003;
031226;1300;263,614;
031226;1400;234,014;
031226;1500;255,682;
031226;1600;279,431;
031226;1700;301,49;
031226;1800;291,351;
031226;1900;281,83;
031226;2000;276,266;
031226;2100;287,698;
031226;2200;304,644;
031226;2300;321,289;
031227;0000;330,701;
031227;0100;350,496;
031227;0200;353,972;
031227;0300;5,44426;
031227;0400;9,53226;
031227;0500;352,03;
031227;0600;358,503;
031227;0700;342,137;
031227;0800;321,41;
031227;0900;326,526;
031227;1000;268,056;
031227;1100;293,033;
031227;1200;263,753;
031227;1300;246,968;
031227;1400;244,758;
031227;1500;255,43;
031227;1600;252,584;
031227;1700;228,023;
031227;1800;234,958;
031227;1900;241,441;
031227;2000;282,021;
031227;2100;295,141;
031227;2200;35,447;
031227;2300;39,822;
031228;0000;57,2972;
031228;0100;38,5182;
031228;0200;331,593;
031228;0300;150,137;
031228;0400;114,109;
031228;0500;128,313;
031228;0600;78,0409;
031228;0700;270,041;
031228;0800;335,156;
031228;0900;319,886;
031228;1000;313,03;
031228;1100;288,833;
031228;1200;252,907;
031228;1300;244,003;
031228;1400;263,079;
031228;1500;271,817;
031228;1600;260,914;
031228;1700;265,891;
031228;1800;258,485;
031228;1900;282,976;
031228;2000;281,557;
031228;2100;167,27;
031228;2200;57,5078;
031228;2300;142,134;
031229;0000;100,533;
031229;0100;102,442;
031229;0200;112,5;
031229;0300;115,661;
031229;0400;119,036;
031229;0500;124,714;
031229;0600;133,896;
031229;0700;13,6568;
031229;0800;355,664;
031229;0900;336,858;
031229;1000;343,973;
031229;1100;292,681;
031229;1200;281,129;
031229;1300;258,844;
031229;1400;259,864;
031229;1500;260,775;
031229;1600;268,024;
031229;1700;291,809;
031229;1800;298,827;
031229;1900;287,43;
031229;2000;297,468;
031229;2100;322,771;
031229;2200;135,531;
