FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
970528;0000;182,833;;;
970529;0000;11,625;;;
970530;0000;35;;;
970531;0000;129,917;;;
970601;0000;155,625;;;
970602;0000;180,458;;;
970603;0000;85,5833;;;
970604;0000;21,2083;;;
970605;0000;75,2916;;;
970606;0000;182,708;;;
970607;0000;192,375;;;
970608;0000;198,917;;;
970609;0000;134,458;;;
970610;0000;127,875;;;
970611;0000;;;;
970612;0000;;;;
970613;0000;;;;
970614;0000;;;;
970615;0000;;;;
970616;0000;;;;
970617;0000;;;;
970618;0000;;;;
970619;0000;;;;
970620;0000;;;;
970621;0000;;;;
970622;0000;;;;
970623;0000;;;;
970624;0000;;;;
970625;0000;;;;
970626;0000;;;;
970627;0000;;;;
970628;0000;206,167;;;
970629;0000;178,25;;;
970630;0000;205,25;;;
970701;0000;107,208;;;
970702;0000;145,13;;;
970703;0000;157,522;;;
970704;0000;184,208;;;
970705;0000;131,696;;;
970706;0000;133,292;;;
970707;0000;108,375;;;
970708;0000;137,708;;;
970709;0000;126,167;;;
970710;0000;191,792;;;
970711;0000;87,3333;;;
970712;0000;56,7916;;;
970713;0000;110,042;;;
970714;0000;178,522;;;
970715;0000;151,833;;;
970716;0000;161;;;
970717;0000;283,167;;;
970718;0000;212,5;;;
970719;0000;212,458;;;
970720;0000;139,167;;;
970721;0000;217,792;;;
970722;0000;206,042;;;
970723;0000;204,417;;;
970724;0000;228,792;;;
970725;0000;227,75;;;
970726;0000;207,042;;;
970727;0000;89,875;;;
970728;0000;63,9166;;;
970729;0000;59,4583;;;
970730;0000;12,1667;;;
970731;0000;26,25;;;
970801;0000;99,2083;;;
970802;0000;135,375;;;
970803;0000;144,958;;;
970804;0000;224,5;;;
970805;0000;206,708;;;
970806;0000;168,083;;;
970807;0000;189,875;;;
970808;0000;163,625;;;
970809;0000;149,708;;;
970810;0000;136,5;;;
970811;0000;150,043;;;
970812;0000;163,125;;;
970813;0000;85,7916;;;
970814;0000;136,435;;;
970815;0000;100,292;;;
970816;0000;14,875;;;
970817;0000;12,625;;;
970818;0000;16,7917;;;
970819;0000;82,0416;;;
970820;0000;103,458;;;
970821;0000;127,875;;;
970822;0000;142,542;;;
970823;0000;166,583;;;
970824;0000;153,833;;;
970825;0000;159,583;;;
970826;0000;167,833;;;
970827;0000;171,375;;;
970828;0000;147,167;;;
970829;0000;103;;;
970830;0000;83,25;;;
970831;0000;39,1666;;;
970901;0000;91,7916;;;
970902;0000;84,9166;;;
970903;0000;23,9167;;;
