FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
000101;0000;24,2917;;;
000102;0000;16,7917;;;
000103;0000;23,75;;;
000104;0000;23,6667;;;
000105;0000;20,8333;;;
000106;0000;21,5833;;;
000107;0000;;;;
000108;0000;21,375;;;
000109;0000;20,4167;;;
000110;0000;24,2917;;;
000111;0000;26,9167;;;
000112;0000;22,875;;;
000113;0000;17,9167;;;
000114;0000;16,0909;;;
000115;0000;15,2083;;;
000116;0000;14,375;;;
000117;0000;18,5833;;;
000118;0000;30,2083;;;
000119;0000;31;;;
000120;0000;31,5833;;;
000121;0000;31,4167;;;
000122;0000;29,125;;;
000123;0000;28,375;;;
000124;0000;27,4583;;;
000125;0000;31,7083;;;
000126;0000;33;;;
000127;0000;29,875;;;
000128;0000;24,9583;;;
000129;0000;17,7917;;;
000130;0000;16,0417;;;
000131;0000;18,75;;;
000201;0000;16,0435;;;
000202;0000;14,9583;;;
000203;0000;23,25;;;
000204;0000;19,1667;;;
000205;0000;19,5417;;;
000206;0000;20,75;;;
000207;0000;23,5833;;;
000208;0000;27,9583;;;
000209;0000;18,375;;;
000210;0000;17,4167;;;
000211;0000;19,8333;;;
000212;0000;12,4167;;;
000213;0000;18,4167;;;
000214;0000;35,5;;;
000215;0000;24,875;;;
000216;0000;25,75;;;
000217;0000;25,125;;;
000218;0000;28;;;
000219;0000;27,9167;;;
000220;0000;24,1667;;;
000221;0000;27,6667;;;
000222;0000;30,25;;;
000223;0000;32,5833;;;
000224;0000;31,8636;;;
000225;0000;25,75;;;
000226;0000;12,75;;;
000227;0000;11,5;;;
000228;0000;25,75;;;
000229;0000;23,4583;;;
000301;0000;23,0417;;;
000302;0000;26,0417;;;
000303;0000;37,7083;;;
000304;0000;35,9583;;;
000305;0000;35,9583;;;
000306;0000;35,3333;;;
000307;0000;44,2083;;;
000308;0000;43,3478;;;
000309;0000;36,7083;;;
000310;0000;33,625;;;
000311;0000;30,4583;;;
000312;0000;21,9583;;;
000313;0000;18,125;;;
000314;0000;29,3333;;;
000315;0000;25,4583;;;
000316;0000;21,6667;;;
000317;0000;29,125;;;
000318;0000;27,6667;;;
000319;0000;27,7083;;;
000320;0000;23,2917;;;
000321;0000;36,2916;;;
000322;0000;35,7826;;;
000323;0000;28,5417;;;
000324;0000;32,75;;;
000325;0000;42,6666;;;
000326;0000;30,4583;;;
000327;0000;30,1667;;;
000328;0000;42,5;;;
000329;0000;43,8333;;;
