FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
970416;0000;26;;;
970417;0000;14,375;;;
970418;0000;15,4583;;;
970419;0000;16,625;;;
970420;0000;18,375;;;
970421;0000;14,9167;;;
970422;0000;9,18181;;;
970423;0000;8,91666;;;
970424;0000;15,3333;;;
970425;0000;28,2083;;;
970426;0000;14,375;;;
970427;0000;22,2917;;;
970428;0000;22,4167;;;
970429;0000;12,3333;;;
970430;0000;14,0833;;;
970501;0000;27,875;;;
970502;0000;22,375;;;
970503;0000;30,0417;;;
970504;0000;29,5417;;;
970505;0000;26,625;;;
970506;0000;32,5833;;;
970507;0000;21,625;;;
970508;0000;21,6667;;;
970509;0000;23,125;;;
970510;0000;23,3333;;;
970511;0000;34,7083;;;
970512;0000;12,375;;;
970513;0000;23,7083;;;
970514;0000;25,125;;;
970515;0000;18,1818;;;
970516;0000;11,4583;;;
970517;0000;6,04166;;;
970518;0000;13;;;
970519;0000;11,9583;;;
970520;0000;8,375;;;
970521;0000;21,3333;;;
970522;0000;23,7083;;;
970523;0000;15,7917;;;
970524;0000;21,375;;;
970525;0000;;;;
970526;0000;;;;
970527;0000;;;;
970528;0000;;;;
970529;0000;4,75;;;
970530;0000;7,125;;;
970531;0000;6,5;;;
970601;0000;17,625;;;
970602;0000;13,125;;;
970603;0000;2,83333;;;
970604;0000;7,875;;;
970605;0000;10,2083;;;
970606;0000;12;;;
970607;0000;14,0417;;;
970608;0000;9,04166;;;
970609;0000;6,58333;;;
970610;0000;8,83333;;;
970611;0000;5,08333;;;
970612;0000;12,6522;;;
970613;0000;13,75;;;
970614;0000;8,875;;;
970615;0000;3,79166;;;
970616;0000;7,125;;;
970617;0000;8,66666;;;
970618;0000;5,75;;;
970619;0000;5,625;;;
970620;0000;12,5833;;;
970621;0000;12,4167;;;
970622;0000;9,08333;;;
970623;0000;11,4583;;;
970624;0000;10,25;;;
970625;0000;10,625;;;
970626;0000;9,75;;;
970627;0000;11,625;;;
970628;0000;14,0417;;;
970629;0000;15;;;
970630;0000;13,8333;;;
970701;0000;9,04166;;;
970702;0000;9,08694;;;
970703;0000;5,41666;;;
970704;0000;13,9583;;;
970705;0000;13,2174;;;
970706;0000;19,6956;;;
970707;0000;5,66666;;;
970708;0000;7,125;;;
970709;0000;8,08333;;;
970710;0000;5,27272;;;
970711;0000;10,8333;;;
970712;0000;10,4348;;;
970713;0000;15,0833;;;
970714;0000;6,95238;;;
970715;0000;12,2083;;;
970716;0000;12,4167;;;
970717;0000;11,4583;;;
970718;0000;10,875;;;
970719;0000;20,75;;;
970720;0000;17,2083;;;
970721;0000;6,29166;;;
970722;0000;13,4167;;;
970723;0000;20,625;;;
970724;0000;9,04166;;;
970725;0000;12,7083;;;
970726;0000;8,25;;;
970727;0000;19,4167;;;
970728;0000;12,7083;;;
970729;0000;7,65217;;;
970730;0000;7,43478;;;
970731;0000;12,75;;;
970801;0000;11,9583;;;
970802;0000;9,33333;;;
970803;0000;17,25;;;
970804;0000;10,4583;;;
970805;0000;16,1667;;;
970806;0000;22,5833;;;
970807;0000;26,7083;;;
970808;0000;25,2083;;;
970809;0000;27,7917;;;
970810;0000;29,7083;;;
970811;0000;22,1739;;;
970812;0000;16,3478;;;
970813;0000;5,04166;;;
970814;0000;5,54166;;;
970815;0000;4,16666;;;
970816;0000;6;;;
970817;0000;12,1667;;;
970818;0000;11,5833;;;
970819;0000;13,5;;;
970820;0000;15,6667;;;
970821;0000;17,875;;;
970822;0000;17,125;;;
970823;0000;25,8333;;;
970824;0000;25,4167;;;
970825;0000;27,7917;;;
970826;0000;23,1667;;;
970827;0000;33,375;;;
970828;0000;27,5;;;
970829;0000;12,9565;;;
970830;0000;4,625;;;
970831;0000;3,70833;;;
970901;0000;7,41666;;;
970902;0000;5,625;;;
970903;0000;7,16666;;;
970904;0000;5,79166;;;
970905;0000;7,79166;;;
970906;0000;4,91666;;;
970907;0000;23,125;;;
970908;0000;16,75;;;
970909;0000;16,625;;;
970910;0000;18,2273;;;
970911;0000;;;;
970912;0000;15,3333;;;
970913;0000;18,5833;;;
970914;0000;21,125;;;
970915;0000;34,9583;;;
970916;0000;35,625;;;
970917;0000;27,7917;;;
970918;0000;14,375;;;
970919;0000;15,5833;;;
970920;0000;21,8333;;;
970921;0000;23,0417;;;
970922;0000;16,5417;;;
970923;0000;13,1905;;;
970924;0000;23,2632;;;
970925;0000;;;;
970926;0000;;;;
970927;0000;12,1667;;;
970928;0000;18,5833;;;
970929;0000;17,375;;;
970930;0000;19,6667;;;
971001;0000;26,7917;;;
971002;0000;9,04166;;;
971003;0000;14,4583;;;
971004;0000;12,2917;;;
971005;0000;18,5417;;;
971006;0000;21,125;;;
971007;0000;21,5;;;
971008;0000;19,2917;;;
971009;0000;22,375;;;
971010;0000;18,375;;;
971011;0000;14,625;;;
971012;0000;18,4167;;;
