FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
970528;0000;8,58333;;;
970529;0000;2,875;;;
970530;0000;4,54166;;;
970531;0000;7,08333;;;
970601;0000;7,70833;;;
970602;0000;9,04166;;;
970603;0000;8,41666;;;
970604;0000;4,91666;;;
970605;0000;6,375;;;
970606;0000;11,2917;;;
970607;0000;8,16666;;;
970608;0000;9,95833;;;
970609;0000;8;;;
970610;0000;8,16666;;;
970611;0000;5,125;;;
970612;0000;3,08333;;;
970613;0000;5,375;;;
970614;0000;4,58333;;;
970615;0000;6,66666;;;
970616;0000;5,75;;;
970617;0000;4,5;;;
970618;0000;5,41666;;;
970619;0000;4,29166;;;
970620;0000;2,83333;;;
970621;0000;1,54167;;;
970622;0000;1,95833;;;
970623;0000;1,54167;;;
970624;0000;3,16666;;;
970625;0000;10,2083;;;
970626;0000;8,41666;;;
970627;0000;13,3333;;;
970628;0000;13,1667;;;
970629;0000;12,5;;;
970630;0000;12,3333;;;
970701;0000;7,08333;;;
970702;0000;13,7826;;;
970703;0000;15,875;;;
970704;0000;11,0833;;;
970705;0000;10,3043;;;
970706;0000;8,3913;;;
970707;0000;7,29166;;;
970708;0000;8,29166;;;
970709;0000;8,25;;;
970710;0000;11,5;;;
970711;0000;7,83333;;;
970712;0000;5,16666;;;
970713;0000;9,16666;;;
970714;0000;14,381;;;
970715;0000;11,3333;;;
970716;0000;11,3333;;;
970717;0000;12,5833;;;
970718;0000;11,9583;;;
970719;0000;9,54166;;;
970720;0000;8;;;
970721;0000;13,875;;;
970722;0000;12,4583;;;
970723;0000;16,7083;;;
970724;0000;18,7083;;;
970725;0000;15,6667;;;
970726;0000;12,0833;;;
970727;0000;7,625;;;
970728;0000;5,79166;;;
970729;0000;6,13043;;;
970730;0000;2,75;;;
970731;0000;3,75;;;
970801;0000;5,54166;;;
970802;0000;5,83333;;;
970803;0000;15,1667;;;
970804;0000;14,9583;;;
970805;0000;13,375;;;
970806;0000;11,9583;;;
970807;0000;11,8696;;;
970808;0000;14,5417;;;
970809;0000;5,04166;;;
970810;0000;4,95833;;;
970811;0000;5,26086;;;
970812;0000;5,43478;;;
970813;0000;3,04166;;;
970814;0000;3,79166;;;
970815;0000;3,45833;;;
970816;0000;1,70833;;;
970817;0000;1,08333;;;
970818;0000;1,04167;;;
970819;0000;2,70833;;;
970820;0000;5,95833;;;
970821;0000;10,625;;;
970822;0000;5,45833;;;
970823;0000;5,20833;;;
970824;0000;7;;;
970825;0000;11,0952;;;
970826;0000;16,9583;;;
970827;0000;11,5833;;;
970828;0000;9,58333;;;
970829;0000;2,70833;;;
970830;0000;3,25;;;
970831;0000;1,16667;;;
970901;0000;4,16666;;;
970902;0000;3,16666;;;
970903;0000;2,66666;;;
970904;0000;2,20833;;;
970905;0000;5,625;;;
970906;0000;2,875;;;
970907;0000;1,75;;;
970908;0000;1;;;
970909;0000;2,95238;;;
970910;0000;5,27272;;;
970911;0000;;;;
970912;0000;3,57895;;;
970913;0000;10,5417;;;
970914;0000;14,0833;;;
970915;0000;13,4583;;;
970916;0000;8,08333;;;
970917;0000;5,20833;;;
970918;0000;3,20833;;;
970919;0000;1,875;;;
970920;0000;3;;;
970921;0000;3,79166;;;
970922;0000;3,16666;;;
970923;0000;2,66666;;;
970924;0000;4,78947;;;
970925;0000;;;;
970926;0000;;;;
970927;0000;1,54167;;;
970928;0000;2,375;;;
970929;0000;3,19048;;;
970930;0000;4;;;
971001;0000;6,33333;;;
971002;0000;3,125;;;
971003;0000;2,75;;;
971004;0000;1,54167;;;
971005;0000;2,45833;;;
971006;0000;9,5;;;
971007;0000;9,16666;;;
971008;0000;5,375;;;
971009;0000;4,29166;;;
971010;0000;4,875;;;
971011;0000;4,29166;;;
971012;0000;3,5;;;
971013;0000;;;;
971014;0000;1,625;;;
971015;0000;2,875;;;
971016;0000;8,33333;;;
971017;0000;5,30434;;;
971018;0000;28,1667;;;
971019;0000;4,75;;;
971020;0000;17,125;;;
971021;0000;10,3333;;;
971022;0000;4,83333;;;
971023;0000;24,7917;;;
971024;0000;5,54166;;;
971025;0000;3,91666;;;
971026;0000;3,33333;;;
971027;0000;3,70833;;;
971028;0000;2,5;;;
971029;0000;3,79166;;;
971030;0000;2,625;;;
971031;0000;7,08333;;;
971101;0000;4,66666;;;
971102;0000;4,45833;;;
971103;0000;5,5;;;
971104;0000;3,91666;;;
971105;0000;4,45833;;;
971106;0000;4,79166;;;
971107;0000;3,54166;;;
971108;0000;4,75;;;
971109;0000;2,875;;;
971110;0000;1,95833;;;
971111;0000;2,16666;;;
971112;0000;1,95833;;;
971113;0000;16,0417;;;
971114;0000;9;;;
971115;0000;6,5;;;
971116;0000;3,70833;;;
971117;0000;3,95833;;;
971118;0000;3,95833;;;
971119;0000;2,83333;;;
971120;0000;6,58333;;;
971121;0000;21,4167;;;
