FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
970405;0000;0,487499;;;
970406;0000;0,362499;;;
970407;0000;0,549999;;;
970408;0000;0,604165;;;
970409;0000;0,654165;;;
970410;0000;0,408333;;;
970411;0000;0,570832;;;
970412;0000;0,416666;;;
970413;0000;0,275;;;
970414;0000;0,379166;;;
970415;0000;0,404166;;;
970416;0000;0,487499;;;
970417;0000;0,354166;;;
970418;0000;0,266666;;;
970419;0000;0,308332;;;
970420;0000;0,1625;;;
970421;0000;0,416666;;;
970422;0000;0,666666;;;
970423;0000;0,4;;;
970424;0000;0,158333;;;
970425;0000;0,549999;;;
970426;0000;0,2;;;
970427;0000;0,154166;;;
970428;0000;0,474999;;;
970429;0000;0,431818;;;
970430;0000;0,513042;;;
970501;0000;1,17916;;;
970502;0000;1,43333;;;
970503;0000;1,45833;;;
970504;0000;1,32916;;;
970505;0000;2,49166;;;
970506;0000;1,59583;;;
970507;0000;1,54583;;;
970508;0000;1,45833;;;
970509;0000;1,5625;;;
970510;0000;2,1625;;;
970511;0000;1,8375;;;
970512;0000;2,5125;;;
970513;0000;1,4375;;;
970514;0000;1,72083;;;
970515;0000;1,725;;;
970516;0000;1,07916;;;
970517;0000;1,0875;;;
970518;0000;0,383333;;;
970519;0000;0,674999;;;
970520;0000;1,12917;;;
970521;0000;0,645832;;;
970522;0000;2,01666;;;
970523;0000;1,20833;;;
970524;0000;1,6625;;;
970525;0000;1,70833;;;
970526;0000;1,96667;;;
970527;0000;1,94167;;;
970528;0000;1,9;;;
970529;0000;0,520832;;;
970530;0000;0,862498;;;
970531;0000;1,95833;;;
970601;0000;1,62917;;;
970602;0000;1,77083;;;
970603;0000;;;;
970604;0000;;;;
970605;0000;0,929998;;;
970606;0000;1,84583;;;
970607;0000;1,40417;;;
970608;0000;;;;
970609;0000;1,91666;;;
970610;0000;1,875;;;
970611;0000;1,0875;;;
970612;0000;0,537499;;;
970613;0000;0,454166;;;
970614;0000;;;;
970615;0000;1,30833;;;
970616;0000;1,55;;;
970617;0000;1,7375;;;
970618;0000;0,974998;;;
970619;0000;0,583332;;;
970620;0000;0,416666;;;
970621;0000;0,541666;;;
970622;0000;0,737498;;;
970623;0000;0,712499;;;
970624;0000;0,912498;;;
970625;0000;1,3125;;;
970626;0000;1,5;;;
970627;0000;1,80416;;;
970628;0000;2,30833;;;
970629;0000;1,61666;;;
970630;0000;1,83333;;;
970701;0000;1,02917;;;
970702;0000;1,60416;;;
970703;0000;1,625;;;
970704;0000;2,00833;;;
970705;0000;1,6625;;;
970706;0000;1,7125;;;
970707;0000;1,31667;;;
970708;0000;1,90417;;;
970709;0000;1,39166;;;
970710;0000;1,76666;;;
970711;0000;1,02917;;;
970712;0000;0,633332;;;
970713;0000;0,904165;;;
970714;0000;1,45;;;
970715;0000;1,39583;;;
970716;0000;2,15;;;
970717;0000;3,53043;;;
970718;0000;2,42916;;;
970719;0000;1,92083;;;
970720;0000;1,02917;;;
970721;0000;2,275;;;
970722;0000;2,06666;;;
970723;0000;1,6375;;;
970724;0000;1,425;;;
970725;0000;1,775;;;
970726;0000;1,1625;;;
970727;0000;1,01666;;;
970728;0000;0,995831;;;
970729;0000;0,758332;;;
970730;0000;0,711109;;;
970731;0000;0,954165;;;
970801;0000;1,75;;;
970802;0000;2,1;;;
970803;0000;1,9125;;;
970804;0000;2,8;;;
970805;0000;2,29583;;;
970806;0000;2,175;;;
970807;0000;1,35;;;
970808;0000;1,19167;;;
970809;0000;1,09583;;;
970810;0000;0,820832;;;
970811;0000;1,18333;;;
970812;0000;0,954165;;;
970813;0000;1,24583;;;
970814;0000;1,60833;;;
970815;0000;1,57916;;;
970816;0000;0,387499;;;
970817;0000;0,316666;;;
