FECHA (YYMMDD);HORA (HHMM);;
031214;0100;;
031214;0200;;
031214;0300;;
031214;0400;;
031214;0500;;
031214;0600;;
031214;0700;;
031214;0800;;
031214;0900;;
031214;1000;;
031214;1100;240,61;
031214;1200;237,274;
031214;1300;244,339;
031214;1400;198,01;
031214;1500;236,222;
031214;1600;233,431;
031214;1700;240,92;
031214;1800;255,136;
031214;1900;215,492;
031214;2000;193,866;
031214;2100;201,775;
031214;2200;108,959;
031214;2300;94,6548;
031215;0000;85,8539;
031215;0100;189,466;
031215;0200;107,186;
031215;0300;89,3927;
031215;0400;64,0055;
031215;0500;68,6941;
031215;0600;105,762;
031215;0700;237,6;
031215;0800;246,398;
031215;0900;218;
031215;1000;244,811;
031215;1100;245,299;
031215;1200;247,558;
031215;1300;220,549;
031215;1400;214,534;
031215;1500;211,581;
031215;1600;234,233;
031215;1700;208,049;
031215;1800;224,63;
031215;1900;209,128;
031215;2000;162,895;
031215;2100;88,3268;
031215;2200;62,8412;
031215;2300;55,6974;
031216;0000;72,0044;
031216;0100;71,3844;
031216;0200;73,2245;
031216;0300;75,6541;
031216;0400;69,851;
031216;0500;83,0049;
031216;0600;76,3152;
031216;0700;192,818;
031216;0800;217,327;
031216;0900;221,718;
031216;1000;238,731;
031216;1100;238,679;
031216;1200;250,007;
031216;1300;223,691;
031216;1400;216,06;
031216;1500;229,076;
031216;1600;239,154;
031216;1700;229,596;
031216;1800;210,172;
031216;1900;208,612;
031216;2000;102,15;
031216;2100;73,0402;
031216;2200;63,0251;
031216;2300;56,6317;
031217;0000;59,3129;
031217;0100;62,0406;
031217;0200;70,1431;
031217;0300;70,953;
031217;0400;74,412;
031217;0500;72,3528;
031217;0600;79,172;
031217;0700;76,111;
031217;0800;223,981;
031217;0900;254,626;
031217;1000;242,44;
031217;1100;235,956;
031217;1200;237,5;
031217;1300;233,549;
031217;1400;256,738;
031217;1500;255,582;
031217;1600;255,297;
031217;1700;230,779;
031217;1800;243,299;
031217;1900;209,678;
031217;2000;186,404;
031217;2100;120,808;
031217;2200;111,057;
031217;2300;101;
031218;0000;71,4203;
031218;0100;92,8811;
031218;0200;89,8517;
031218;0300;82,9634;
031218;0400;78,8086;
031218;0500;73,7284;
031218;0600;65,3468;
031218;0700;245,848;
031218;0800;234,679;
031218;0900;235,678;
031218;1000;220,874;
031218;1100;245,739;
031218;1200;244,652;
031218;1300;243,253;
031218;1400;230,314;
031218;1500;240,082;
031218;1600;249,001;
031218;1700;249,384;
031218;1800;225,468;
031218;1900;208,961;
031218;2000;204,914;
031218;2100;170,817;
031218;2200;103,976;
031218;2300;134,19;
031219;0000;83,5724;
031219;0100;65,0835;
031219;0200;130,837;
031219;0300;69,5343;
031219;0400;88,0724;
031219;0500;97,8129;
031219;0600;87,9219;
031219;0700;183,341;
031219;0800;258,171;
031219;0900;230,915;
031219;1000;225,881;
031219;1100;233,257;
031219;1200;241,909;
031219;1300;233,455;
031219;1400;246,052;
031219;1500;249,036;
031219;1600;240,446;
031219;1700;251,381;
031219;1800;247,589;
031219;1900;211,052;
031219;2000;199,525;
031219;2100;116,1;
031219;2200;184,736;
031219;2300;55,2237;
031220;0000;87,7809;
031220;0100;96,8312;
031220;0200;100,133;
031220;0300;65,4187;
031220;0400;64,7113;
031220;0500;68,6526;
031220;0600;90,1259;
031220;0700;133,368;
031220;0800;233,646;
031220;0900;231,015;
031220;1000;227,26;
031220;1100;228,6;
031220;1200;237,112;
031220;1300;235,261;
031220;1400;250,438;
031220;1500;238,909;
031220;1600;246,367;
031220;1700;238,266;
031220;1800;230,916;
031220;1900;237,679;
031220;2000;241,803;
031220;2100;147,854;
031220;2200;107,137;
031220;2300;103,761;
031221;0000;103,641;
031221;0100;111,627;
031221;0200;111,59;
031221;0300;171,753;
031221;0400;74,766;
031221;0500;154,138;
031221;0600;72,7953;
031221;0700;60,3942;
031221;0800;285,536;
031221;0900;99,599;
031221;1000;247,236;
031221;1100;243,341;
031221;1200;243,42;
031221;1300;236,212;
031221;1400;237,431;
031221;1500;234,381;
031221;1600;240,998;
031221;1700;230,172;
031221;1800;229,27;
031221;1900;215,066;
031221;2000;218,456;
031221;2100;222,67;
031221;2200;119,868;
031221;2300;108,222;
031222;0000;67,371;
031222;0100;212,053;
031222;0200;87,2588;
031222;0300;72,5531;
031222;0400;68,4501;
031222;0500;88,9297;
031222;0600;74,5861;
031222;0700;268,735;
031222;0800;233,574;
031222;0900;220,154;
031222;1000;257,35;
031222;1100;232,665;
031222;1200;245,961;
031222;1300;235,346;
031222;1400;233,376;
031222;1500;233,549;
031222;1600;226,951;
031222;1700;255,608;
031222;1800;241,3;
031222;1900;260,452;
031222;2000;184,364;
031222;2100;123,643;
031222;2200;120,347;
031222;2300;80,6785;
031223;0000;82,7688;
031223;0100;99,2477;
031223;0200;85,8396;
031223;0300;83,209;
031223;0400;87,2621;
031223;0500;82,726;
031223;0600;76,3306;
031223;0700;192,48;
031223;0800;222,112;
031223;0900;224,562;
031223;1000;232,909;
031223;1100;233,393;
031223;1200;243,558;
031223;1300;235,05;
031223;1400;247,178;
031223;1500;241,292;
031223;1600;250,776;
031223;1700;240,688;
031223;1800;216,685;
031223;1900;215,596;
031223;2000;173,3;
031223;2100;102,214;
031223;2200;98,9164;
031223;2300;139,365;
031224;0000;90,6338;
031224;0100;71,8025;
031224;0200;69,5343;
031224;0300;129,909;
031224;0400;81,0497;
031224;0500;81,3799;
031224;0600;71,8501;
031224;0700;251,686;
031224;0800;268,823;
031224;0900;221,214;
031224;1000;218,114;
031224;1100;237,647;
031224;1200;244,976;
031224;1300;241,539;
031224;1400;261,053;
031224;1500;243,323;
031224;1600;242,701;
031224;1700;258,312;
031224;1800;248,721;
031224;1900;213,297;
031224;2000;176,412;
031224;2100;175,849;
031224;2200;206,333;
031224;2300;103,369;
031225;0000;77,9164;
031225;0100;78,2384;
031225;0200;106,528;
031225;0300;97,4159;
031225;0400;86,1637;
031225;0500;81,5231;
031225;0600;99,1996;
031225;0700;195,094;
031225;0800;242,455;
031225;0900;231,216;
031225;1000;261,556;
031225;1100;242,245;
031225;1200;238,99;
031225;1300;245,734;
031225;1400;252,672;
031225;1500;252,49;
031225;1600;253,632;
031225;1700;269,557;
031225;1800;249,078;
031225;1900;228,639;
031225;2000;198,305;
031225;2100;212,515;
031225;2200;191,445;
031225;2300;204,954;
031226;0000;127,353;
031226;0100;96,3822;
031226;0200;70,9375;
031226;0300;62,904;
031226;0400;225,393;
031226;0500;62,9595;
031226;0600;70,0868;
031226;0700;278,652;
031226;0800;251,414;
031226;0900;230,835;
031226;1000;228,265;
031226;1100;245,716;
031226;1200;241,066;
031226;1300;243,588;
031226;1400;238,155;
031226;1500;241,256;
031226;1600;245,292;
031226;1700;245,44;
031226;1800;228,595;
031226;1900;214,438;
031226;2000;214,855;
031226;2100;203,574;
031226;2200;195,381;
031226;2300;115,5;
031227;0000;41,2631;
031227;0100;213,822;
031227;0200;188,682;
031227;0300;26,9779;
031227;0400;267,811;
031227;0500;241,698;
031227;0600;122,069;
031227;0700;233,895;
031227;0800;254,471;
031227;0900;240,571;
031227;1000;272,671;
031227;1100;243,331;
031227;1200;238,847;
031227;1300;249,759;
031227;1400;243,802;
031227;1500;239,604;
031227;1600;228,298;
031227;1700;212,798;
031227;1800;204,261;
031227;1900;218,468;
031227;2000;232,817;
031227;2100;124,972;
031227;2200;80,9701;
031227;2300;65,2161;
031228;0000;45,2566;
031228;0100;87,8018;
031228;0200;70,032;
031228;0300;106,502;
031228;0400;66,2201;
031228;0500;73,0226;
031228;0600;77,0973;
031228;0700;65,2981;
031228;0800;256,163;
031228;0900;243,888;
031228;1000;237,614;
031228;1100;228,62;
031228;1200;242,271;
031228;1300;236,689;
031228;1400;244,579;
031228;1500;224,489;
031228;1600;231,166;
031228;1700;255,203;
031228;1800;261,375;
031228;1900;223,494;
031228;2000;190,219;
031228;2100;107,565;
031228;2200;65,6531;
031228;2300;113,712;
031229;0000;109,856;
031229;0100;72,6216;
031229;0200;79,7776;
031229;0300;80,8086;
031229;0400;78,9231;
031229;0500;78,6613;
031229;0600;69,896;
031229;0700;54,777;
031229;0800;263,076;
031229;0900;226,608;
031229;1000;227,175;
031229;1100;229,41;
031229;1200;247,182;
031229;1300;234,547;
031229;1400;242,435;
031229;1500;243,799;
031229;1600;255,924;
031229;1700;249,094;
031229;1800;215,629;
031229;1900;215,924;
031229;2000;163,513;
031229;2100;57,5928;
031229;2200;256,83;
031229;2300;66,6244;
031230;0000;92,7836;
031230;0100;71,59;
031230;0200;79,599;
031230;0300;83,1199;
031230;0400;65,3728;
031230;0500;69,7188;
031230;0600;67,0608;
031230;0700;68,7699;
031230;0800;233,422;
031230;0900;220,57;
031230;1000;225,177;
031230;1100;253,705;
031230;1200;236,83;
031230;1300;245,633;
031230;1400;239,445;
031230;1500;229,134;
031230;1600;248,266;
031230;1700;228,268;
031230;1800;253,525;
031230;1900;207,077;
031230;2000;196,902;
031230;2100;132,284;
031230;2200;97,6554;
031230;2300;101,587;
031231;0000;97,0293;
031231;0100;84,7301;
031231;0200;77,4198;
031231;0300;77,5863;
031231;0400;74,0746;
031231;0500;67,0032;
031231;0600;72,953;
031231;0700;60,6888;
031231;0800;229,703;
031231;0900;233,277;
031231;1000;223,778;
031231;1100;241,851;
031231;1200;234,797;
031231;1300;238,09;
031231;1400;247,876;
031231;1500;246,031;
031231;1600;250,458;
031231;1700;249,115;
031231;1800;247,796;
031231;1900;218,108;
031231;2000;203,277;
031231;2100;115,907;
031231;2200;104,957;
031231;2300;105,501;
040101;0000;80,0719;
040101;0100;80,1172;
040101;0200;75,9789;
040101;0300;77,6604;
040101;0400;76,9551;
040101;0500;66,6858;
040101;0600;91,2754;
040101;0700;66,9889;
040101;0800;247,791;
040101;0900;240,966;
040101;1000;238,574;
040101;1100;250,151;
040101;1200;246,823;
040101;1300;231,935;
040101;1400;259,052;
040101;1500;248,01;
040101;1600;259,512;
040101;1700;250,927;
040101;1800;233,746;
040101;1900;221,938;
040101;2000;205,772;
040101;2100;173,188;
040101;2200;91,4552;
040101;2300;103,335;
040102;0000;106,122;
040102;0100;96,1353;
040102;0200;81,8632;
040102;0300;77,4944;
040102;0400;77,5625;
040102;0500;75,907;
040102;0600;74,6182;
040102;0700;229,353;
040102;0800;270,387;
040102;0900;229,359;
040102;1000;212,561;
040102;1100;243,816;
040102;1200;244,921;
040102;1300;237,84;
040102;1400;246,299;
040102;1500;241,584;
040102;1600;247,885;
040102;1700;248,102;
040102;1800;240,015;
040102;1900;228,645;
040102;2000;232,496;
040102;2100;112,978;
040102;2200;209,315;
040102;2300;130,455;
040103;0000;58,3331;
040103;0100;70,4688;
040103;0200;79,9954;
040103;0300;85,6936;
040103;0400;61,8593;
040103;0500;61,6792;
040103;0600;86,8572;
040103;0700;134,958;
040103;0800;230,359;
040103;0900;226,927;
040103;1000;235,205;
040103;1100;245,871;
040103;1200;224,778;
040103;1300;236,26;
040103;1400;244,437;
040103;1500;235,732;
040103;1600;247,42;
040103;1700;222,703;
040103;1800;220,022;
040103;1900;226,6;
040103;2000;223,893;
040103;2100;162,188;
040103;2200;81,8744;
040103;2300;77,6398;
040104;0000;99,4435;
040104;0100;77,25;
040104;0200;79,0973;
040104;0300;85,3152;
040104;0400;79,8739;
040104;0500;51,3528;
040104;0600;68,2776;
040104;0700;201,229;
040104;0800;215,793;
040104;0900;229,859;
040104;1000;247,321;
040104;1100;246,694;
040104;1200;247,645;
040104;1300;248,662;
040104;1400;239,148;
040104;1500;248,798;
040104;1600;257,266;
040104;1700;247,505;
040104;1800;230,009;
040104;1900;228,893;
040104;2000;213,833;
040104;2100;228,012;
040104;2200;229,646;
040104;2300;189,125;
040105;0000;99,5658;
040105;0100;81,2466;
040105;0200;51,3887;
040105;0300;284,598;
040105;0400;68,5304;
040105;0500;72,4529;
040105;0600;96,823;
040105;0700;195,025;
040105;0800;227,965;
040105;0900;220,544;
040105;1000;253,247;
040105;1100;265,204;
040105;1200;272,126;
040105;1300;235,481;
040105;1400;239,371;
040105;1500;245,183;
040105;1600;245,836;
040105;1700;257,04;
040105;1800;253,676;
040105;1900;221,757;
040105;2000;196,57;
040105;2100;130,557;
040105;2200;78,9362;
040105;2300;61,3733;
040106;0000;90,9541;
040106;0100;69,3793;
040106;0200;66,6603;
040106;0300;67,5409;
040106;0400;71,4231;
040106;0500;81,8042;
040106;0600;80,5347;
040106;0700;75,4883;
040106;0800;228,101;
040106;0900;227,135;
040106;1000;228,313;
040106;1100;218,982;
040106;1200;252,055;
040106;1300;233,076;
040106;1400;243,867;
040106;1500;242,094;
040106;1600;252,03;
040106;1700;248,994;
040106;1800;251,067;
040106;1900;214,099;
040106;2000;193,219;
040106;2100;210,084;
040106;2200;106,708;
040106;2300;85,6825;
040107;0000;178,725;
040107;0100;84,5059;
040107;0200;82,0685;
040107;0300;84,5403;
