FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
970424;0000;64,4166;;;
970425;0000;107,417;;;
970426;0000;79,125;;;
970427;0000;47,375;;;
970428;0000;113;;;
970429;0000;104,75;;;
970430;0000;95,9166;;;
970501;0000;68,5908;;;
970502;0000;98,5833;;;
970503;0000;94,2916;;;
970504;0000;100,917;;;
970505;0000;184,958;;;
970506;0000;139,042;;;
970507;0000;159,625;;;
970508;0000;151,318;;;
970509;0000;155,917;;;
970510;0000;184,208;;;
970511;0000;150,333;;;
970512;0000;183,5;;;
970513;0000;127,583;;;
970514;0000;133,842;;;
970515;0000;155;;;
970516;0000;79,25;;;
970517;0000;66,9583;;;
970518;0000;27;;;
970519;0000;42,75;;;
970520;0000;65,25;;;
970521;0000;37,5833;;;
970522;0000;;;;
970523;0000;89,6666;;;
970524;0000;114,958;;;
970525;0000;116,905;;;
970526;0000;153,304;;;
970527;0000;124,542;;;
970528;0000;144,368;;;
970529;0000;12,0833;;;
970530;0000;26,5417;;;
970531;0000;119,737;;;
970601;0000;85,7916;;;
970602;0000;121,714;;;
970603;0000;42,0416;;;
970604;0000;14,25;;;
970605;0000;54;;;
970606;0000;129,428;;;
970607;0000;124,368;;;
970608;0000;;;;
970609;0000;110,875;;;
970610;0000;127,9;;;
970611;0000;36,0833;;;
970612;0000;17,0417;;;
970613;0000;23,4167;;;
970614;0000;;;;
970615;0000;45,1666;;;
970616;0000;82,913;;;
970617;0000;109,19;;;
970618;0000;37,826;;;
970619;0000;33,2272;;;
970620;0000;17,5417;;;
970621;0000;16,875;;;
970622;0000;16,9583;;;
970623;0000;25,375;;;
970624;0000;47,0416;;;
970625;0000;84,5833;;;
970626;0000;101,792;;;
970627;0000;129,125;;;
970628;0000;156,625;;;
970629;0000;91,0416;;;
970630;0000;133,5;;;
970701;0000;71,2916;;;
970702;0000;110,5;;;
970703;0000;102,458;;;
970704;0000;121,333;;;
970705;0000;102,333;;;
970706;0000;104,75;;;
970707;0000;98,2083;;;
970708;0000;132,917;;;
970709;0000;105,042;;;
970710;0000;129,542;;;
970711;0000;70,7083;;;
970712;0000;27,375;;;
970713;0000;48,6666;;;
970714;0000;109,542;;;
970715;0000;110,292;;;
970716;0000;171,875;;;
970717;0000;156,667;;;
970718;0000;159,5;;;
970719;0000;99,3333;;;
970720;0000;58,1666;;;
970721;0000;;;;
970722;0000;;;;
970723;0000;133,958;;;
970724;0000;138,667;;;
970725;0000;153,042;;;
970726;0000;73,0833;;;
970727;0000;80,9166;;;
970728;0000;105,625;;;
970729;0000;68,125;;;
970730;0000;36,8333;;;
970731;0000;17,75;;;
970801;0000;78,75;;;
970802;0000;102,792;;;
970803;0000;94,2916;;;
970804;0000;176,208;;;
970805;0000;147,625;;;
970806;0000;153,792;;;
970807;0000;107,333;;;
970808;0000;101,583;;;
970809;0000;85,3333;;;
970810;0000;71,625;;;
970811;0000;112,292;;;
970812;0000;96,75;;;
970813;0000;121,167;;;
970814;0000;146,792;;;
970815;0000;98,625;;;
970816;0000;6,79166;;;
970817;0000;12,1667;;;
970818;0000;20,25;;;
970819;0000;29,7083;;;
970820;0000;85,4166;;;
970821;0000;102,833;;;
970822;0000;117,583;;;
970823;0000;134,125;;;
970824;0000;107,875;;;
970825;0000;108,042;;;
970826;0000;127,708;;;
970827;0000;121,167;;;
970828;0000;104,542;;;
970829;0000;111,667;;;
970830;0000;77,5833;;;
970831;0000;31,2083;;;
970901;0000;94,8333;;;
970902;0000;96,2083;;;
970903;0000;25,0833;;;
970904;0000;42,6666;;;
970905;0000;121,708;;;
970906;0000;40,375;;;
970907;0000;8,5;;;
970908;0000;28,75;;;
970909;0000;39,2083;;;
970910;0000;84,6364;;;
970911;0000;52,4583;;;
970912;0000;67,625;;;
970913;0000;81,2083;;;
970914;0000;76,9583;;;
970915;0000;131,167;;;
970916;0000;78,2083;;;
970917;0000;53,125;;;
970918;0000;43,875;;;
970919;0000;22,125;;;
970920;0000;40;;;
970921;0000;56,1666;;;
970922;0000;42,125;;;
970923;0000;60,25;;;
970924;0000;74,5416;;;
970925;0000;91,125;;;
970926;0000;103,043;;;
970927;0000;24,375;;;
970928;0000;51,5416;;;
970929;0000;60,2083;;;
970930;0000;54;;;
971001;0000;99,1666;;;
971002;0000;39,375;;;
971003;0000;31,2083;;;
971004;0000;14,5417;;;
971005;0000;30,5417;;;
971006;0000;65,6086;;;
971007;0000;139,208;;;
971008;0000;85,8333;;;
971009;0000;94,25;;;
971010;0000;69,6666;;;
971011;0000;56,2916;;;
971012;0000;47,25;;;
971013;0000;20,3684;;;
971014;0000;20,6667;;;
971015;0000;42,5;;;
971016;0000;56,5416;;;
971017;0000;65,375;;;
971018;0000;69,25;;;
971019;0000;46,0833;;;
971020;0000;75,125;;;
971021;0000;85;;;
971022;0000;70,3333;;;
971023;0000;80,75;;;
971024;0000;85,625;;;
971025;0000;43,2916;;;
971026;0000;51,2083;;;
971027;0000;44,9166;;;
971028;0000;43,2083;;;
971029;0000;42,1666;;;
971030;0000;33,9166;;;
971031;0000;94,1666;;;
971101;0000;70,4166;;;
971102;0000;67,4583;;;
971103;0000;71,1666;;;
971104;0000;44,0833;;;
971105;0000;76,7083;;;
971106;0000;103,25;;;
971107;0000;64,6666;;;
971108;0000;54,1666;;;
971109;0000;54,125;;;
971110;0000;41,125;;;
971111;0000;50,1666;;;
971112;0000;27,125;;;
971113;0000;54,7916;;;
971114;0000;76,0833;;;
971115;0000;61,375;;;
971116;0000;42,7916;;;
971117;0000;65,9583;;;
971118;0000;75,4583;;;
971119;0000;82,0833;;;
971120;0000;81,7916;;;
971121;0000;87,2916;;;
971122;0000;68,375;;;
971123;0000;54,9166;;;
971124;0000;67,125;;;
971125;0000;70,9166;;;
971126;0000;51,75;;;
971127;0000;73,6666;;;
971128;0000;92,5416;;;
971129;0000;66,8333;;;
971130;0000;60,375;;;
971201;0000;57,2083;;;
971202;0000;61,25;;;
971203;0000;74,25;;;
971204;0000;63;;;
971205;0000;85,875;;;
971206;0000;91,7083;;;
971207;0000;72,9583;;;
971208;0000;69,4583;;;
971209;0000;85,125;;;
971210;0000;91,5;;;
971211;0000;59,7916;;;
971212;0000;24,75;;;
971213;0000;57,1666;;;
971214;0000;61,9166;;;
971215;0000;69,3333;;;
971216;0000;94,0833;;;
971217;0000;82,125;;;
971218;0000;86,3333;;;
971219;0000;95,3333;;;
971220;0000;86,4166;;;
971221;0000;26,375;;;
971222;0000;49,2083;;;
971223;0000;59,95;;;
971224;0000;75,4583;;;
971225;0000;60;;;
971226;0000;43,375;;;
971227;0000;52,75;;;
971228;0000;57,125;;;
971229;0000;69,6666;;;
971230;0000;84,1304;;;
971231;0000;53,5;;;
980101;0000;57,0416;;;
980102;0000;58,625;;;
980103;0000;58,2083;;;
980104;0000;61,4166;;;
980105;0000;74,0416;;;
980106;0000;98,0416;;;
980107;0000;107,583;;;
980108;0000;111,5;;;
980109;0000;96,0833;;;
980110;0000;77,5833;;;
980111;0000;57,875;;;
980112;0000;90;;;
980113;0000;111,542;;;
980114;0000;84,0416;;;
980115;0000;93,5;;;
980116;0000;93,5;;;
980117;0000;83,7083;;;
980118;0000;95,7916;;;
980119;0000;89,4166;;;
980120;0000;75,625;;;
980121;0000;73,0833;;;
980122;0000;93,2083;;;
980123;0000;88,4166;;;
980124;0000;83,5416;;;
980125;0000;72,625;;;
980126;0000;76,5;;;
980127;0000;61,9583;;;
980128;0000;74,2083;;;
980129;0000;90,8333;;;
980130;0000;101,167;;;
980131;0000;92,1666;;;
980201;0000;85,0833;;;
980202;0000;42,9565;;;
980203;0000;94,4583;;;
980204;0000;83,2916;;;
980205;0000;93,5416;;;
980206;0000;94,9583;;;
980207;0000;91,0416;;;
980208;0000;79,875;;;
980209;0000;90,125;;;
980210;0000;102,292;;;
980211;0000;89,6666;;;
980212;0000;93,8333;;;
980213;0000;79,375;;;
980214;0000;74,1304;;;
980215;0000;73,1578;;;
980216;0000;73,5416;;;
980217;0000;53,2916;;;
980218;0000;74,4583;;;
980219;0000;83,3333;;;
980220;0000;79,2916;;;
980221;0000;60,875;;;
980222;0000;46,125;;;
980223;0000;45,625;;;
980224;0000;57,375;;;
980225;0000;69,75;;;
980226;0000;84;;;
980227;0000;66,7083;;;
980228;0000;78,625;;;
980301;0000;84,2083;;;
980302;0000;90,25;;;
980303;0000;90,7916;;;
980304;0000;67,5833;;;
980305;0000;85,7916;;;
980306;0000;90,8333;;;
980307;0000;83,875;;;
980308;0000;79,875;;;
980309;0000;116,417;;;
980310;0000;174,708;;;
980311;0000;98,0416;;;
980312;0000;125;;;
980313;0000;124,417;;;
980314;0000;97,5833;;;
980315;0000;81,9166;;;
980316;0000;94,5833;;;
980317;0000;93,875;;;
980318;0000;100,167;;;
980319;0000;130,625;;;
980320;0000;127,583;;;
980321;0000;93,5833;;;
980322;0000;87,1666;;;
980323;0000;143,167;;;
980324;0000;96,3635;;;
980325;0000;131;;;
980326;0000;99,0416;;;
980327;0000;81,9166;;;
980328;0000;87,3333;;;
980329;0000;74,625;;;
980330;0000;127,042;;;
980331;0000;124,417;;;
980401;0000;118,375;;;
980402;0000;134,583;;;
980403;0000;137,333;;;
980404;0000;68,6666;;;
980405;0000;69,5;;;
980406;0000;79,5;;;
980407;0000;124,25;;;
980408;0000;138,667;;;
980409;0000;44,0416;;;
980410;0000;12,5833;;;
980411;0000;29,9167;;;
980412;0000;35;;;
980413;0000;66,5833;;;
980414;0000;47,0416;;;
980415;0000;67,4583;;;
980416;0000;91,2083;;;
980417;0000;82,125;;;
980418;0000;120,542;;;
980419;0000;136,5;;;
980420;0000;105,75;;;
980421;0000;99;;;
980422;0000;77,9583;;;
980423;0000;100,208;;;
980424;0000;81,0833;;;
980425;0000;86,1666;;;
980426;0000;23,8333;;;
980427;0000;55,25;;;
980428;0000;69,125;;;
980429;0000;98,5833;;;
980430;0000;91,2083;;;
980501;0000;86,2916;;;
980502;0000;95,4166;;;
980503;0000;82,8333;;;
980504;0000;101;;;
980505;0000;119,375;;;
980506;0000;98,5416;;;
980507;0000;120,417;;;
980508;0000;93,4166;;;
980509;0000;74,2083;;;
980510;0000;49,9166;;;
980511;0000;25,875;;;
980512;0000;30,2917;;;
980513;0000;49,625;;;
980514;0000;59,2083;;;
980515;0000;67,7916;;;
980516;0000;59,7083;;;
980517;0000;51,625;;;
980518;0000;92,6666;;;
980519;0000;123,833;;;
980520;0000;170,542;;;
980521;0000;163;;;
980522;0000;142,917;;;
980523;0000;68,7083;;;
980524;0000;34,7916;;;
980525;0000;19,625;;;
980526;0000;57,2083;;;
980527;0000;90,75;;;
980528;0000;68,8333;;;
980529;0000;66,9166;;;
980530;0000;77,625;;;
980531;0000;76,7083;;;
980601;0000;61,25;;;
980602;0000;69,125;;;
980603;0000;116,167;;;
980604;0000;105,87;;;
980605;0000;48,6666;;;
980606;0000;43,9583;;;
980607;0000;47,5833;;;
980608;0000;89,875;;;
980609;0000;63,3333;;;
980610;0000;46,6666;;;
980611;0000;50,75;;;
980612;0000;101,875;;;
980613;0000;63,4583;;;
980614;0000;58,8695;;;
980615;0000;40,4166;;;
980616;0000;64,7916;;;
980617;0000;60,2916;;;
980618;0000;68,375;;;
980619;0000;65,875;;;
980620;0000;90,1364;;;
980621;0000;;;;
980622;0000;121,75;;;
980623;0000;94,25;;;
980624;0000;48,3333;;;
980625;0000;77,7618;;;
980626;0000;103,875;;;
980627;0000;92,3333;;;
980628;0000;78,9583;;;
980629;0000;55,2916;;;
980630;0000;70,8333;;;
980701;0000;91;;;
980702;0000;90,875;;;
980703;0000;103,542;;;
980704;0000;77,9583;;;
980705;0000;81,3333;;;
980706;0000;83,5;;;
980707;0000;81,9583;;;
980708;0000;87,5416;;;
980709;0000;72,375;;;
980710;0000;101,583;;;
980711;0000;114,5;;;
980712;0000;103,042;;;
980713;0000;130,083;;;
980714;0000;122,792;;;
980715;0000;151,542;;;
980716;0000;121,083;;;
980717;0000;105,625;;;
980718;0000;49,25;;;
980719;0000;57,75;;;
980720;0000;75,25;;;
980721;0000;97,625;;;
980722;0000;64,5833;;;
980723;0000;70,7083;;;
980724;0000;52,875;;;
980725;0000;64,7916;;;
980726;0000;89,125;;;
980727;0000;144,75;;;
980728;0000;109,458;;;
980729;0000;99,5416;;;
980730;0000;132,083;;;
980731;0000;105,652;;;
980801;0000;;;;
980802;0000;;;;
980803;0000;;;;
980804;0000;;;;
980805;0000;111,292;;;
980806;0000;104,208;;;
980807;0000;91,4583;;;
980808;0000;88,5833;;;
980809;0000;64,25;;;
980810;0000;69,125;;;
980811;0000;72,0833;;;
980812;0000;95,0833;;;
980813;0000;97;;;
980814;0000;95,2916;;;
980815;0000;106,917;;;
980816;0000;95;;;
980817;0000;81,9166;;;
980818;0000;102,75;;;
980819;0000;90,4166;;;
980820;0000;104,958;;;
980821;0000;98,625;;;
980822;0000;92,5833;;;
980823;0000;65,25;;;
980824;0000;50,375;;;
980825;0000;75,9166;;;
980826;0000;84,7083;;;
980827;0000;93,7083;;;
980828;0000;117,417;;;
980829;0000;61,25;;;
980830;0000;85,0833;;;
980831;0000;82,3333;;;
980901;0000;84,4583;;;
980902;0000;70,4166;;;
980903;0000;82,6666;;;
980904;0000;86,4583;;;
980905;0000;83;;;
980906;0000;43,5;;;
980907;0000;50,625;;;
980908;0000;94,0416;;;
980909;0000;108,292;;;
980910;0000;108,083;;;
980911;0000;42,7083;;;
980912;0000;82,9583;;;
980913;0000;42,25;;;
980914;0000;42,0833;;;
980915;0000;56,8333;;;
980916;0000;75,8333;;;
980917;0000;61,7916;;;
980918;0000;50,1666;;;
980919;0000;50,0833;;;
980920;0000;40,0416;;;
