FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
000101;0000;4,55416;;;
000102;0000;1,95;;;
000103;0000;3,58333;;;
000104;0000;3,35833;;;
000105;0000;3,63333;;;
000106;0000;4,6125;;;
000107;0000;4,86956;;;
000108;0000;4,27916;;;
000109;0000;2,10833;;;
000110;0000;3,03333;;;
000111;0000;3,09166;;;
000112;0000;3,21666;;;
000113;0000;3,93043;;;
000114;0000;4,16666;;;
000115;0000;6,12083;;;
000116;0000;3,25;;;
000117;0000;3,39166;;;
000118;0000;3,89583;;;
000119;0000;3,4625;;;
000120;0000;2,625;;;
000121;0000;3,3875;;;
000122;0000;2,29166;;;
000123;0000;1,17083;;;
000124;0000;3,46666;;;
000125;0000;3,02083;;;
000126;0000;2,2125;;;
000127;0000;3,29583;;;
000128;0000;2,44583;;;
000129;0000;3,04166;;;
000130;0000;2,57916;;;
000131;0000;3,775;;;
000201;0000;3,55833;;;
000202;0000;4,54347;;;
000203;0000;3,04166;;;
000204;0000;3,24583;;;
000205;0000;3,45;;;
000206;0000;1,56667;;;
000207;0000;3,45416;;;
000208;0000;3,475;;;
000209;0000;3,65833;;;
000210;0000;5,575;;;
000211;0000;4,36666;;;
000212;0000;5,32082;;;
000213;0000;5,92082;;;
000214;0000;4,08749;;;
000215;0000;3,55;;;
000216;0000;4,72916;;;
000217;0000;4,5125;;;
000218;0000;4,04583;;;
000219;0000;2,30416;;;
000220;0000;1,46667;;;
000221;0000;3,625;;;
000222;0000;6,46666;;;
000223;0000;3,84583;;;
000224;0000;5,4875;;;
000225;0000;3,82083;;;
000226;0000;3,70416;;;
000227;0000;1,82083;;;
000228;0000;6,57082;;;
000229;0000;5,87083;;;
000301;0000;7,92916;;;
000302;0000;6,49166;;;
000303;0000;7,70416;;;
000304;0000;5,33749;;;
000305;0000;2,84583;;;
000306;0000;6,74999;;;
000307;0000;9,08749;;;
000308;0000;9,78749;;;
000309;0000;11,4333;;;
000310;0000;10,7167;;;
000311;0000;7,14166;;;
000312;0000;3,40833;;;
000313;0000;7,14583;;;
000314;0000;8,3913;;;
000315;0000;6,39583;;;
000316;0000;8,52498;;;
000317;0000;9,42915;;;
000318;0000;7,49583;;;
000319;0000;7,29582;;;
000320;0000;13,1083;;;
000321;0000;10,9792;;;
