FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
050114;0000;21,7737;;;
050115;0000;;;;
050116;0000;;;;
050117;0000;;;;
050118;0000;;;;
050119;0000;;;;
050120;0000;;;;
050121;0000;;;;
050122;0000;;;;
050123;0000;;;;
050124;0000;;;;
050125;0000;;;;
050126;0000;;;;
050127;0000;;;;
050128;0000;;;;
050129;0000;;;;
050130;0000;;;;
050131;0000;;;;
050201;0000;;;;
050202;0000;;;;
050203;0000;;;;
050204;0000;;;;
050205;0000;;;;
050206;0000;;;;
050207;0000;;;;
050208;0000;;;;
050209;0000;;;;
050210;0000;;;;
050211;0000;;;;
050212;0000;;;;
050213;0000;;;;
050214;0000;;;;
050215;0000;;;;
050216;0000;;;;
050217;0000;23,25;;;
050218;0000;;;;
050219;0000;;;;
050220;0000;;;;
050221;0000;;;;
050222;0000;;;;
050223;0000;;;;
050224;0000;;;;
050225;0000;;;;
050226;0000;;;;
050227;0000;;;;
050228;0000;;;;
050301;0000;27,5556;;;
050302;0000;;;;
050303;0000;;;;
050304;0000;;;;
050305;0000;;;;
050306;0000;;;;
050307;0000;;;;
050308;0000;19,8864;;;
050309;0000;;;;
050310;0000;;;;
050311;0000;26,1391;;;
050312;0000;20,1905;;;
050313;0000;;;;
050314;0000;;;;
050315;0000;25,3522;;;
050316;0000;20,3842;;;
050317;0000;19,1105;;;
050318;0000;25,5055;;;
050319;0000;;;;
050320;0000;;;;
050321;0000;;;;
050322;0000;;;;
050323;0000;;;;
050324;0000;;;;
050325;0000;;;;
050326;0000;;;;
050327;0000;17;;;
050328;0000;;;;
050329;0000;;;;
050330;0000;43,345;;;
050331;0000;42,9208;;;
050401;0000;;;;
050402;0000;23,9052;;;
050403;0000;;;;
050404;0000;;;;
050405;0000;;;;
050406;0000;30,51;;;
050407;0000;29,9363;;;
050408;0000;39,1111;;;
050409;0000;35,8105;;;
050410;0000;;;;
050411;0000;;;;
050412;0000;42,14;;;
050413;0000;33,5227;;;
050414;0000;34,21;;;
050415;0000;;;;
050416;0000;40,5555;;;
050417;0000;;;;
050418;0000;;;;
050419;0000;;;;
050420;0000;;;;
050421;0000;;;;
050422;0000;;;;
050423;0000;54,735;;;
050424;0000;30,36;;;
050425;0000;;;;
050426;0000;38,895;;;
050427;0000;38,0167;;;
050428;0000;28,8917;;;
050429;0000;46,0818;;;
050430;0000;40,8714;;;
050501;0000;35,1158;;;
050502;0000;56,73;;;
050503;0000;32,4285;;;
050504;0000;20,0952;;;
050505;0000;28,2652;;;
050506;0000;36,1791;;;
050507;0000;41,7708;;;
050508;0000;29,4864;;;
050509;0000;43,4191;;;
050510;0000;18,9261;;;
050511;0000;39,3682;;;
050512;0000;35,5042;;;
050513;0000;23,1958;;;
050514;0000;19,8095;;;
050515;0000;15,7773;;;
050516;0000;23,6208;;;
050517;0000;25,1;;;
050518;0000;15,2833;;;
050519;0000;21,4;;;
050520;0000;25,955;;;
050521;0000;31,6208;;;
050522;0000;36,2827;;;
050523;0000;;;;
050524;0000;17,9833;;;
050525;0000;26,325;;;
050526;0000;25,9546;;;
050527;0000;33,2158;;;
050528;0000;34,3417;;;
050529;0000;31,0041;;;
050530;0000;51,1143;;;
050531;0000;51,675;;;
050601;0000;55,8708;;;
050602;0000;33,8834;;;
050603;0000;23,2292;;;
050604;0000;24;;;
050605;0000;32,4458;;;
050606;0000;45,8333;;;
050607;0000;51,225;;;
050608;0000;52,8126;;;
050609;0000;61,8958;;;
050610;0000;32,5667;;;
050611;0000;25,4421;;;
050612;0000;27,0167;;;
050613;0000;;;;
050614;0000;22,5333;;;
050615;0000;21,5045;;;
050616;0000;27,1619;;;
050617;0000;29,4875;;;
050618;0000;23,6143;;;
050619;0000;;;;
050620;0000;29,2667;;;
050621;0000;21,6333;;;
050622;0000;39,787;;;
050623;0000;38;;;
050624;0000;46,4459;;;
050625;0000;46,7958;;;
050626;0000;;;;
050627;0000;;;;
050628;0000;;;;
050629;0000;17,775;;;
050630;0000;25,8956;;;
050701;0000;26,0417;;;
050702;0000;;;;
050703;0000;21,3318;;;
050704;0000;22,1792;;;
050705;0000;36,4572;;;
050706;0000;40,065;;;
050707;0000;35,0084;;;
050708;0000;35,8834;;;
050709;0000;39,025;;;
050710;0000;31,2261;;;
050711;0000;35,4333;;;
050712;0000;25,8583;;;
050713;0000;27,3375;;;
050714;0000;;;;
050715;0000;22,7579;;;
050716;0000;25,2166;;;
050717;0000;26,5167;;;
050718;0000;47,1809;;;
