FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
000101;0000;14,0583;;;
000102;0000;10,9583;;;
000103;0000;16,0875;;;
000104;0000;14,7208;;;
000105;0000;12,9875;;;
000106;0000;15,2666;;;
000107;0000;16,0565;;;
000108;0000;13,1042;;;
000109;0000;9,65414;;;
000110;0000;13,8875;;;
000111;0000;14,2208;;;
000112;0000;13,3667;;;
000113;0000;14,0565;;;
000114;0000;15,5667;;;
000115;0000;16,0667;;;
000116;0000;11,3375;;;
000117;0000;14,725;;;
000118;0000;17,3416;;;
000119;0000;16,0208;;;
000120;0000;15,0125;;;
000121;0000;15,2333;;;
000122;0000;13,1083;;;
000123;0000;9,03749;;;
000124;0000;15,2917;;;
000125;0000;14,475;;;
000126;0000;14,8083;;;
000127;0000;16,2166;;;
000128;0000;12,8291;;;
000129;0000;11,6333;;;
000130;0000;9,89999;;;
000131;0000;14,9208;;;
000201;0000;13,725;;;
000202;0000;13,513;;;
000203;0000;12,4583;;;
000204;0000;15,8167;;;
000205;0000;12,3583;;;
000206;0000;9,07082;;;
000207;0000;15,2458;;;
000208;0000;16,6625;;;
000209;0000;14,2583;;;
000210;0000;15,5417;;;
000211;0000;14,8167;;;
000212;0000;11,7666;;;
000213;0000;13,1125;;;
000214;0000;17,2958;;;
000215;0000;16,1541;;;
000216;0000;16,6292;;;
000217;0000;17,5541;;;
000218;0000;17,6083;;;
000219;0000;14,1292;;;
000220;0000;10,4667;;;
000221;0000;17,9833;;;
000222;0000;22;;;
000223;0000;19,3083;;;
000224;0000;19,9833;;;
000225;0000;15,8416;;;
000226;0000;12,325;;;
000227;0000;7,84583;;;
000228;0000;18,6875;;;
000229;0000;20,4458;;;
000301;0000;22,7833;;;
000302;0000;22,3916;;;
000303;0000;23,95;;;
000304;0000;19,3625;;;
000305;0000;15,2;;;
000306;0000;22,6;;;
000307;0000;29,0333;;;
000308;0000;30,1791;;;
000309;0000;30,6166;;;
000310;0000;28,875;;;
000311;0000;20,225;;;
000312;0000;13,025;;;
000313;0000;18,7666;;;
000314;0000;21,5391;;;
000315;0000;19,5291;;;
000316;0000;22,3416;;;
000317;0000;25,5958;;;
000318;0000;21,7125;;;
000319;0000;20,7791;;;
000320;0000;28,8916;;;
000321;0000;28,1917;;;
000322;0000;26,9875;;;
000323;0000;37,8285;;;
000324;0000;51,3124;;;
000325;0000;43,2333;;;
000326;0000;24,7916;;;
000327;0000;36,8208;;;
000328;0000;48,6957;;;
000329;0000;46,0749;;;
000330;0000;47,4727;;;
000331;0000;61,3771;;;
000401;0000;44,1624;;;
000402;0000;32,4833;;;
000403;0000;47,0958;;;
000404;0000;50,139;;;
000405;0000;48,0833;;;
000406;0000;55,5374;;;
000407;0000;68,5624;;;
000408;0000;64,9749;;;
000409;0000;38,8291;;;
000410;0000;50,2208;;;
000411;0000;57,4916;;;
000412;0000;53,921;;;
000413;0000;;;;
000414;0000;48,8916;;;
000415;0000;46,3166;;;
000416;0000;50,1708;;;
000417;0000;39,9833;;;
000418;0000;47,0666;;;
000419;0000;78,1499;;;
000420;0000;;;;
000421;0000;42,4625;;;
000422;0000;37,15;;;
000423;0000;34,1249;;;
000424;0000;61,8499;;;
000425;0000;97,2166;;;
000426;0000;94,3248;;;
000427;0000;75,8956;;;
000428;0000;80,4082;;;
000429;0000;55,5874;;;
000430;0000;35,4625;;;
000501;0000;30,1917;;;
000502;0000;34,7083;;;
000503;0000;32,1917;;;
000504;0000;42,7083;;;
000505;0000;61,9499;;;
