FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
970402;0000;24,8333;;;
970403;0000;23,0417;;;
970404;0000;35,4166;;;
970405;0000;38,5833;;;
970406;0000;33,25;;;
970407;0000;40,0833;;;
970408;0000;32,5833;;;
970409;0000;46,25;;;
970410;0000;40,0833;;;
970411;0000;33,6666;;;
970412;0000;31,4583;;;
970413;0000;39,5416;;;
970414;0000;34,75;;;
970415;0000;31,2083;;;
970416;0000;26,9167;;;
970417;0000;9,16666;;;
970418;0000;9,20833;;;
970419;0000;21,7917;;;
970420;0000;27,2917;;;
970421;0000;20,125;;;
970422;0000;8,79166;;;
970423;0000;7,41666;;;
970424;0000;15,5833;;;
970425;0000;27,4583;;;
970426;0000;18,5;;;
970427;0000;21,9167;;;
970428;0000;25,625;;;
970429;0000;11,5454;;;
970430;0000;9,08333;;;
970501;0000;26,625;;;
970502;0000;30,2083;;;
970503;0000;34,5833;;;
970504;0000;34,9166;;;
970505;0000;27,1818;;;
970506;0000;28,8333;;;
970507;0000;20,1667;;;
970508;0000;20,625;;;
970509;0000;22,4583;;;
970510;0000;15,4583;;;
970511;0000;31,0417;;;
970512;0000;7,91666;;;
970513;0000;21,2917;;;
970514;0000;22,125;;;
970515;0000;21,7917;;;
970516;0000;4,52174;;;
970517;0000;2,91666;;;
970518;0000;13,375;;;
970519;0000;9;;;
970520;0000;3,08696;;;
970521;0000;16,8333;;;
970522;0000;13;;;
970523;0000;11,4583;;;
970524;0000;13,1667;;;
970525;0000;10,875;;;
970526;0000;5,91666;;;
970527;0000;12,7917;;;
970528;0000;6,08333;;;
970529;0000;5,25;;;
970530;0000;6,83333;;;
970531;0000;3,79166;;;
970601;0000;15,9583;;;
970602;0000;15,5555;;;
970603;0000;;;;
970604;0000;9,16666;;;
970605;0000;9,83333;;;
970606;0000;9,625;;;
970607;0000;16,75;;;
970608;0000;;;;
970609;0000;2,79166;;;
970610;0000;6,95833;;;
970611;0000;6,45833;;;
970612;0000;15,0417;;;
970613;0000;16,25;;;
970614;0000;;;;
970615;0000;4,375;;;
970616;0000;7,16666;;;
970617;0000;7,25;;;
970618;0000;6,16666;;;
970619;0000;11,5417;;;
970620;0000;20,375;;;
970621;0000;16,25;;;
970622;0000;7,75;;;
970623;0000;11,6667;;;
970624;0000;8,66666;;;
970625;0000;8,58333;;;
970626;0000;9,5;;;
970627;0000;10,125;;;
970628;0000;11,4583;;;
970629;0000;17,2917;;;
970630;0000;12,2917;;;
970701;0000;10,625;;;
970702;0000;8,45833;;;
970703;0000;8,45833;;;
970704;0000;9,375;;;
970705;0000;13,8333;;;
970706;0000;23,0417;;;
970707;0000;5,875;;;
970708;0000;3,625;;;
970709;0000;6,04166;;;
970710;0000;4,83333;;;
970711;0000;11,875;;;
970712;0000;10,375;;;
970713;0000;14;;;
970714;0000;6,5;;;
970715;0000;12,4583;;;
970716;0000;12,9583;;;
970717;0000;6,82608;;;
970718;0000;8,31818;;;
970719;0000;18,7917;;;
970720;0000;19,375;;;
970721;0000;11,125;;;
970722;0000;12,7917;;;
970723;0000;22,625;;;
970724;0000;15,125;;;
970725;0000;10,125;;;
970726;0000;6,45833;;;
970727;0000;20,6667;;;
970728;0000;10,0417;;;
970729;0000;8,29166;;;
970730;0000;3,94736;;;
970731;0000;10,125;;;
970801;0000;8,5;;;
970802;0000;8,08333;;;
970803;0000;17,25;;;
970804;0000;10,6667;;;
970805;0000;10,25;;;
970806;0000;26,5;;;
970807;0000;32,2916;;;
970808;0000;29,625;;;
970809;0000;30,2083;;;
970810;0000;37,0416;;;
970811;0000;28,0417;;;
970812;0000;25,8333;;;
970813;0000;7,33333;;;
970814;0000;3,79166;;;
970815;0000;4,625;;;
970816;0000;10,5833;;;
970817;0000;18,2083;;;
970818;0000;12,2083;;;
970819;0000;14,0417;;;
970820;0000;16,2917;;;
970821;0000;21,4167;;;
970822;0000;16,6667;;;
970823;0000;28,9583;;;
970824;0000;36,4583;;;
970825;0000;33,125;;;
970826;0000;36,9583;;;
970827;0000;36,125;;;
970828;0000;33,4166;;;
970829;0000;20,3333;;;
970830;0000;3,79166;;;
970831;0000;8,625;;;
970901;0000;8,20833;;;
970902;0000;5,91666;;;
970903;0000;7,95833;;;
970904;0000;7,83333;;;
970905;0000;5,16666;;;
970906;0000;6,33333;;;
970907;0000;18,8333;;;
970908;0000;19,9583;;;
970909;0000;17,625;;;
970910;0000;18,0909;;;
970911;0000;14,6667;;;
970912;0000;15,875;;;
970913;0000;25,1667;;;
970914;0000;28,9167;;;
970915;0000;46,625;;;
970916;0000;31,5417;;;
970917;0000;39,5;;;
970918;0000;23,5833;;;
970919;0000;17,25;;;
970920;0000;28,25;;;
970921;0000;30,1667;;;
970922;0000;19,2917;;;
970923;0000;21,1667;;;
970924;0000;23,0833;;;
970925;0000;31,6667;;;
970926;0000;12,25;;;
970927;0000;11,75;;;
970928;0000;23,4167;;;
970929;0000;23,9167;;;
970930;0000;23,3913;;;
971001;0000;36,9166;;;
971002;0000;8,25;;;
971003;0000;16,9167;;;
971004;0000;13,9167;;;
971005;0000;20,5417;;;
971006;0000;25,625;;;
971007;0000;21,8333;;;
971008;0000;23,5417;;;
971009;0000;19,0833;;;
971010;0000;14,1667;;;
971011;0000;16,25;;;
971012;0000;22,0417;;;
971013;0000;14,75;;;
971014;0000;19,6667;;;
971015;0000;14,875;;;
971016;0000;22,75;;;
971017;0000;23,25;;;
971018;0000;16,875;;;
971019;0000;24,5417;;;
971020;0000;30,4583;;;
971021;0000;34,8333;;;
971022;0000;20,3333;;;
971023;0000;33,2916;;;
971024;0000;27,5833;;;
971025;0000;25,2083;;;
971026;0000;13,25;;;
971027;0000;19,0417;;;
971028;0000;13,4583;;;
971029;0000;25,125;;;
971030;0000;24,2917;;;
971031;0000;36,875;;;
971101;0000;25,375;;;
971102;0000;26,625;;;
971103;0000;21,25;;;
971104;0000;19,0833;;;
971105;0000;22,7083;;;
971106;0000;22,9167;;;
971107;0000;36,0833;;;
971108;0000;19,4583;;;
971109;0000;31,1579;;;
971110;0000;21,2632;;;
971111;0000;16,875;;;
971112;0000;16,8333;;;
971113;0000;24,875;;;
971114;0000;31,4167;;;
971115;0000;32,4583;;;
971116;0000;28,9583;;;
971117;0000;32,2083;;;
971118;0000;32,875;;;
971119;0000;30,6667;;;
971120;0000;35,3157;;;
971121;0000;38,7142;;;
971122;0000;40,1052;;;
971123;0000;37,625;;;
971124;0000;19,4167;;;
971125;0000;20,5;;;
971126;0000;25,1667;;;
971127;0000;28,2083;;;
971128;0000;35,9166;;;
971129;0000;25,375;;;
971130;0000;29,9583;;;
971201;0000;27,5833;;;
971202;0000;24,625;;;
971203;0000;32,3333;;;
971204;0000;34,5416;;;
971205;0000;40,375;;;
971206;0000;44,375;;;
971207;0000;46,5;;;
971208;0000;38,3333;;;
971209;0000;27,3333;;;
971210;0000;23,1667;;;
971211;0000;21,875;;;
971212;0000;9,875;;;
971213;0000;30,2083;;;
971214;0000;45,625;;;
971215;0000;39,2916;;;
971216;0000;25,4583;;;
971217;0000;27,625;;;
971218;0000;30,3333;;;
971219;0000;30,0417;;;
971220;0000;31,0833;;;
971221;0000;10,4167;;;
971222;0000;26,8333;;;
971223;0000;36,875;;;
971224;0000;40,375;;;
971225;0000;27,9167;;;
971226;0000;19,625;;;
971227;0000;26,25;;;
971228;0000;35,9166;;;
971229;0000;33,7083;;;
971230;0000;31,25;;;
971231;0000;23,8333;;;
980101;0000;42,2916;;;
980102;0000;40,5833;;;
980103;0000;48,2916;;;
980104;0000;42,5416;;;
980105;0000;39,5;;;
980106;0000;46,9166;;;
980107;0000;31,4762;;;
980108;0000;39,8333;;;
980109;0000;27,0417;;;
980110;0000;31,4167;;;
980111;0000;32,6666;;;
980112;0000;37,8333;;;
980113;0000;27,625;;;
980114;0000;34,7083;;;
980115;0000;35,125;;;
980116;0000;35,8333;;;
980117;0000;46,4166;;;
980118;0000;34,0833;;;
980119;0000;22,5217;;;
980120;0000;28;;;
980121;0000;25,8333;;;
980122;0000;41,7083;;;
980123;0000;34,5416;;;
980124;0000;35,9583;;;
980125;0000;35,9166;;;
980126;0000;18,5217;;;
980127;0000;27,5;;;
980128;0000;32,0416;;;
980129;0000;34,5;;;
980130;0000;44,1304;;;
980131;0000;46,8333;;;
980201;0000;34,5833;;;
980202;0000;17,7083;;;
980203;0000;26,1667;;;
980204;0000;30,8333;;;
980205;0000;17,3333;;;
980206;0000;32,6666;;;
980207;0000;23,375;;;
980208;0000;28,5833;;;
980209;0000;30,375;;;
980210;0000;31,5417;;;
980211;0000;38,9166;;;
980212;0000;27,2917;;;
980213;0000;30,0417;;;
980214;0000;38,4583;;;
980215;0000;;;;
980216;0000;12,3333;;;
980217;0000;29,625;;;
980218;0000;32,375;;;
980219;0000;24;;;
980220;0000;28,75;;;
980221;0000;30,75;;;
980222;0000;13,9583;;;
980223;0000;15,9583;;;
980224;0000;23,9167;;;
980225;0000;29,3333;;;
980226;0000;28,375;;;
980227;0000;30,0833;;;
980228;0000;42,25;;;
980301;0000;36;;;
980302;0000;26,375;;;
980303;0000;31,8333;;;
980304;0000;22,1667;;;
980305;0000;5,25;;;
980306;0000;18,0417;;;
980307;0000;35,5416;;;
980308;0000;35;;;
980309;0000;29,625;;;
980310;0000;15,2917;;;
980311;0000;29,3333;;;
980312;0000;27;;;
980313;0000;37,4166;;;
980314;0000;27,2083;;;
980315;0000;35,2916;;;
980316;0000;19,4167;;;
980317;0000;16,375;;;
980318;0000;25,4583;;;
980319;0000;31,375;;;
980320;0000;33,6666;;;
980321;0000;31,125;;;
980322;0000;37,25;;;
980323;0000;28,3333;;;
980324;0000;39,75;;;
980325;0000;29,9167;;;
980326;0000;18,875;;;
980327;0000;24,2083;;;
980328;0000;25,9583;;;
980329;0000;42,375;;;
980330;0000;40,125;;;
980331;0000;31,3333;;;
980401;0000;44,7083;;;
980402;0000;49,1666;;;
980403;0000;20,25;;;
980404;0000;16,3333;;;
980405;0000;29,75;;;
980406;0000;16,5;;;
980407;0000;16,125;;;
980408;0000;12,6667;;;
980409;0000;13,9167;;;
980410;0000;11,7083;;;
980411;0000;11,9583;;;
980412;0000;6,41666;;;
980413;0000;3,75;;;
980414;0000;2,875;;;
980415;0000;13,9167;;;
980416;0000;23,0417;;;
980417;0000;32,875;;;
980418;0000;22,75;;;
980419;0000;6,54166;;;
980420;0000;10,25;;;
980421;0000;3,54166;;;
980422;0000;20,2917;;;
980423;0000;22,2083;;;
980424;0000;21,3333;;;
980425;0000;23,5;;;
980426;0000;10,5417;;;
980427;0000;13,5;;;
980428;0000;22,3333;;;
980429;0000;7,625;;;
980430;0000;18,5833;;;
980501;0000;25,8333;;;
980502;0000;30,875;;;
980503;0000;26,9583;;;
980504;0000;18,5833;;;
980505;0000;11,5417;;;
980506;0000;6,45833;;;
980507;0000;16,125;;;
980508;0000;26,2083;;;
980509;0000;16,625;;;
980510;0000;8,375;;;
980511;0000;9,125;;;
980512;0000;7,83333;;;
980513;0000;9,75;;;
980514;0000;14,5;;;
980515;0000;17,2083;;;
980516;0000;19,4583;;;
980517;0000;27,5417;;;
980518;0000;33,9166;;;
980519;0000;25,625;;;
980520;0000;6,625;;;
980521;0000;9,95833;;;
980522;0000;5,58333;;;
980523;0000;10,4167;;;
980524;0000;14,5417;;;
980525;0000;9,08333;;;
980526;0000;8,125;;;
980527;0000;3,625;;;
980528;0000;6,375;;;
980529;0000;11,7917;;;
980530;0000;7,33333;;;
980531;0000;19,5417;;;
980601;0000;13,3333;;;
980602;0000;10,0833;;;
980603;0000;14,875;;;
980604;0000;12,2083;;;
980605;0000;4,33333;;;
980606;0000;7,75;;;
980607;0000;12,5833;;;
980608;0000;6,08333;;;
980609;0000;7,75;;;
980610;0000;3,875;;;
980611;0000;5,83333;;;
980612;0000;4,5;;;
980613;0000;8,20833;;;
980614;0000;7,58333;;;
980615;0000;3,25;;;
980616;0000;8,91666;;;
980617;0000;11,7083;;;
980618;0000;12,125;;;
980619;0000;9,75;;;
980620;0000;8,5;;;
980621;0000;5,875;;;
980622;0000;9,95833;;;
980623;0000;11,875;;;
980624;0000;13,375;;;
980625;0000;13,25;;;
980626;0000;13,625;;;
980627;0000;14,875;;;
980628;0000;12;;;
980629;0000;13,0833;;;
980630;0000;9,25;;;
980701;0000;9,70833;;;
980702;0000;10,1667;;;
980703;0000;12,2917;;;
980704;0000;14,5417;;;
980705;0000;8,20833;;;
980706;0000;11,0417;;;
980707;0000;8,83333;;;
980708;0000;8,78261;;;
980709;0000;14;;;
980710;0000;13,4167;;;
980711;0000;15,7917;;;
980712;0000;13,0833;;;
980713;0000;8,125;;;
980714;0000;8,66666;;;
980715;0000;5,45833;;;
980716;0000;2,95833;;;
980717;0000;7,79166;;;
980718;0000;15,125;;;
980719;0000;18,375;;;
980720;0000;11,7917;;;
980721;0000;10,2917;;;
980722;0000;15,4167;;;
980723;0000;6,29166;;;
980724;0000;13,375;;;
980725;0000;17,9583;;;
980726;0000;10,25;;;
980727;0000;4,58333;;;
980728;0000;13,6667;;;
980729;0000;18,0833;;;
980730;0000;5,29166;;;
980731;0000;18,3333;;;
980801;0000;28,0833;;;
980802;0000;22,2917;;;
980803;0000;10,0417;;;
980804;0000;17,75;;;
980805;0000;13,9583;;;
980806;0000;11,9583;;;
980807;0000;13,125;;;
980808;0000;13,9167;;;
980809;0000;16,9167;;;
980810;0000;14,4167;;;
980811;0000;15,1667;;;
