FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
970508;0000;6,04166;;;
970509;0000;5,58333;;;
970510;0000;5,70833;;;
970511;0000;5,375;;;
970512;0000;4,82608;;;
970513;0000;7,20833;;;
970514;0000;6,95833;;;
970515;0000;7,75;;;
970516;0000;4,91666;;;
970517;0000;4,625;;;
970518;0000;1,75;;;
970519;0000;3,3913;;;
970520;0000;6,08333;;;
970521;0000;1,58333;;;
970522;0000;5,70833;;;
970523;0000;5,20833;;;
970524;0000;6,625;;;
970525;0000;5,125;;;
970526;0000;6,83333;;;
970527;0000;7,25;;;
970528;0000;8,375;;;
970529;0000;1,625;;;
970530;0000;1,33333;;;
970531;0000;3;;;
970601;0000;3,70833;;;
970602;0000;6,45833;;;
970603;0000;5,5;;;
970604;0000;4,375;;;
970605;0000;4,29166;;;
970606;0000;6,41666;;;
970607;0000;5;;;
970608;0000;;;;
970609;0000;6,91666;;;
970610;0000;6,70833;;;
970611;0000;3,58333;;;
970612;0000;2,54166;;;
970613;0000;2,29166;;;
970614;0000;;;;
970615;0000;3,95833;;;
970616;0000;6,08333;;;
970617;0000;5,5;;;
970618;0000;4,83333;;;
970619;0000;2,83333;;;
970620;0000;2,41666;;;
970621;0000;1,83333;;;
970622;0000;2,95833;;;
970623;0000;3,04166;;;
970624;0000;4,54166;;;
970625;0000;6;;;
970626;0000;10,25;;;
970627;0000;10,0417;;;
970628;0000;10,2917;;;
970629;0000;;;;
970630;0000;;;;
970701;0000;6,45833;;;
970702;0000;8,41666;;;
970703;0000;10,75;;;
970704;0000;7,5;;;
970705;0000;8,66666;;;
970706;0000;7,41666;;;
970707;0000;4,54166;;;
970708;0000;6,79166;;;
970709;0000;5,875;;;
970710;0000;7,31818;;;
970711;0000;6,625;;;
970712;0000;3,66666;;;
970713;0000;3,125;;;
970714;0000;9,16666;;;
970715;0000;9,375;;;
970716;0000;7,16666;;;
970717;0000;8;;;
970718;0000;10,5833;;;
970719;0000;6,25;;;
970720;0000;5,04166;;;
970721;0000;13,9583;;;
970722;0000;10,5417;;;
970723;0000;9,41666;;;
970724;0000;14,0833;;;
970725;0000;13,1667;;;
970726;0000;7,08333;;;
970727;0000;5,70833;;;
970728;0000;3,375;;;
970729;0000;6,29166;;;
970730;0000;3,78947;;;
970731;0000;2,29166;;;
970801;0000;3,95833;;;
970802;0000;5,45833;;;
970803;0000;7,58333;;;
970804;0000;13,125;;;
970805;0000;11,9167;;;
970806;0000;9,95833;;;
970807;0000;5,75;;;
970808;0000;6,125;;;
970809;0000;3,75;;;
970810;0000;4,54166;;;
970811;0000;4,83333;;;
970812;0000;4;;;
