FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
970408;0000;1,1875;;;
970409;0000;2,225;;;
970410;0000;3,37083;;;
970411;0000;1,98333;;;
970412;0000;1,82083;;;
970413;0000;2,17916;;;
970414;0000;1,84583;;;
970415;0000;1,1125;;;
970416;0000;1,075;;;
970417;0000;1,75;;;
970418;0000;1,70416;;;
970419;0000;1,22916;;;
970420;0000;1,52917;;;
970421;0000;0,599998;;;
970422;0000;1,64166;;;
970423;0000;2,7375;;;
970424;0000;0,375;;;
970425;0000;2,12083;;;
970426;0000;2,66249;;;
970427;0000;3,18333;;;
970428;0000;4,03749;;;
970429;0000;2,51666;;;
970430;0000;4,03333;;;
970501;0000;2,375;;;
970502;0000;2,32083;;;
970503;0000;3,35833;;;
970504;0000;2,38333;;;
970505;0000;3,09166;;;
970506;0000;5,26665;;;
970507;0000;2,38333;;;
970508;0000;2,4125;;;
970509;0000;2,79583;;;
970510;0000;5,18333;;;
970511;0000;3,14166;;;
970512;0000;1,69166;;;
970513;0000;3,82916;;;
970514;0000;2,17368;;;
970515;0000;3,53333;;;
970516;0000;0,858332;;;
970517;0000;1,9375;;;
970518;0000;0,774999;;;
970519;0000;2,0625;;;
970520;0000;2,175;;;
970521;0000;0,999998;;;
970522;0000;6,34999;;;
970523;0000;5,84166;;;
970524;0000;4,89999;;;
970525;0000;5,40416;;;
970526;0000;3,19166;;;
970527;0000;5,95833;;;
970528;0000;5,03333;;;
970529;0000;1,5875;;;
970530;0000;2,20416;;;
970531;0000;5,925;;;
970601;0000;6,64999;;;
970602;0000;4,15416;;;
970603;0000;4,39999;;;
970604;0000;0,712499;;;
970605;0000;0,870832;;;
970606;0000;5,56666;;;
970607;0000;6,51665;;;
970608;0000;7,62499;;;
970609;0000;3,01666;;;
970610;0000;3,20833;;;
970611;0000;2,23333;;;
970612;0000;0,612499;;;
970613;0000;1,58695;;;
970614;0000;2,425;;;
970615;0000;5,49166;;;
970616;0000;4,85833;;;
970617;0000;3,4625;;;
970618;0000;2,51666;;;
970619;0000;3,89999;;;
970620;0000;0,583332;;;
970621;0000;0,549999;;;
970622;0000;0,679166;;;
970623;0000;1,69583;;;
970624;0000;2,79166;;;
970625;0000;2,9375;;;
970626;0000;2,85416;;;
970627;0000;3,12916;;;
970628;0000;3,74166;;;
970629;0000;5,28333;;;
970630;0000;7,78094;;;
970701;0000;3,62608;;;
970702;0000;3,6875;;;
970703;0000;3,65833;;;
970704;0000;7,39166;;;
