FECHA (YYMMDD);HORA (HHMM);;
031215;0100;;
031215;0200;;
031215;0300;;
031215;0400;;
031215;0500;;
031215;0600;;
031215;0700;;
031215;0800;;
031215;0900;59,323;
031215;1000;231,903;
031215;1100;236,227;
031215;1200;232,473;
031215;1300;215,417;
031215;1400;209,92;
031215;1500;218,482;
031215;1600;219,494;
031215;1700;224,316;
031215;1800;219,826;
031215;1900;193,079;
031215;2000;185,47;
031215;2100;202,153;
031215;2200;197,314;
031215;2300;183,95;
031216;0000;239,845;
031216;0100;201,57;
031216;0200;191,502;
031216;0300;209,717;
031216;0400;198,993;
031216;0500;95,6864;
031216;0600;114,166;
031216;0700;207,934;
031216;0800;274,28;
031216;0900;262,929;
031216;1000;260,469;
031216;1100;263;
031216;1200;232,481;
031216;1300;208,757;
031216;1400;225,513;
031216;1500;218,717;
031216;1600;216,371;
031216;1700;221,284;
031216;1800;222,969;
031216;1900;201,337;
031216;2000;189,331;
031216;2100;192,773;
031216;2200;217,788;
031216;2300;263,106;
031217;0000;122,128;
031217;0100;110,4;
031217;0200;95,7826;
031217;0300;143,922;
031217;0400;125,905;
031217;0500;123,369;
031217;0600;105,314;
031217;0700;253,963;
031217;0800;267,546;
031217;0900;247,297;
031217;1000;247,354;
031217;1100;238,769;
031217;1200;214,679;
031217;1300;217,153;
031217;1400;223,819;
031217;1500;219,019;
031217;1600;217,212;
031217;1700;207,842;
031217;1800;212,141;
031217;1900;210,507;
031217;2000;197,209;
031217;2100;213,849;
031217;2200;229,044;
031217;2300;232,212;
031218;0000;235,676;
031218;0100;248,437;
031218;0200;232,389;
031218;0300;232,553;
031218;0400;238,773;
031218;0500;236,234;
031218;0600;266,25;
031218;0700;273,814;
031218;0800;238,311;
031218;0900;245,126;
031218;1000;247,205;
031218;1100;243,904;
031218;1200;220,696;
031218;1300;214,972;
031218;1400;217,042;
031218;1500;213,709;
031218;1600;229,037;
031218;1700;225,273;
031218;1800;216,656;
031218;1900;206,963;
031218;2000;211,246;
031218;2100;198,538;
031218;2200;226,155;
031218;2300;228,562;
031219;0000;244,386;
031219;0100;251,32;
031219;0200;213,518;
031219;0300;242,023;
031219;0400;240,01;
031219;0500;210,132;
031219;0600;256,73;
031219;0700;261,001;
031219;0800;229,04;
031219;0900;227,284;
031219;1000;233,083;
031219;1100;213,545;
031219;1200;215,429;
031219;1300;220,276;
031219;1400;210,675;
031219;1500;223,307;
031219;1600;225,426;
031219;1700;222,497;
031219;1800;222,998;
031219;1900;204,038;
031219;2000;209,13;
031219;2100;211,226;
031219;2200;202,075;
031219;2300;218,993;
031220;0000;259,794;
031220;0100;234,484;
031220;0200;159,255;
031220;0300;210,167;
031220;0400;222,74;
031220;0500;165,428;
031220;0600;117,75;
031220;0700;175,677;
031220;0800;274,519;
031220;0900;242,469;
031220;1000;234,409;
031220;1100;230,053;
031220;1200;234,7;
031220;1300;220,734;
031220;1400;225,303;
031220;1500;222,418;
031220;1600;222,296;
031220;1700;216,609;
031220;1800;205,829;
031220;1900;193,308;
031220;2000;182,642;
031220;2100;187,641;
031220;2200;194,482;
031220;2300;228,484;
031221;0000;219,434;
031221;0100;226,538;
031221;0200;218,865;
031221;0300;217,724;
031221;0400;235,287;
031221;0500;251,937;
031221;0600;185,228;
031221;0700;216;
031221;0800;296,054;
031221;0900;258,062;
031221;1000;227,3;
031221;1100;211,615;
031221;1200;216,971;
031221;1300;218,693;
031221;1400;225,434;
031221;1500;225,719;
031221;1600;217,093;
031221;1700;222,663;
031221;1800;223,56;
031221;1900;217,366;
031221;2000;219,114;
031221;2100;224,275;
031221;2200;215,817;
031221;2300;222,106;
031222;0000;243,472;
031222;0100;254,356;
031222;0200;282,745;
031222;0300;293,428;
031222;0400;265,034;
031222;0500;241,631;
031222;0600;205,565;
031222;0700;229,477;
031222;0800;198,012;
031222;0900;248,367;
031222;1000;235,424;
031222;1100;199,305;
031222;1200;218,303;
031222;1300;215,865;
031222;1400;225,619;
031222;1500;231,12;
031222;1600;221,476;
031222;1700;221,257;
031222;1800;223,625;
031222;1900;211,268;
031222;2000;;
031222;2100;;
031222;2200;;
031222;2300;;
031223;0000;;
031223;0100;;
031223;0200;;
031223;0300;;
031223;0400;;
031223;0500;;
031223;0600;;
031223;0700;;
031223;0800;;
031223;0900;;
031223;1000;;
031223;1100;219,604;
031223;1200;203,856;
031223;1300;213,953;
031223;1400;222,938;
031223;1500;220,503;
031223;1600;220,741;
031223;1700;223,593;
031223;1800;213,687;
031223;1900;207,475;
031223;2000;194,412;
031223;2100;199,14;
031223;2200;208,774;
031223;2300;235,81;
031224;0000;238,929;
031224;0100;222,614;
031224;0200;232,008;
031224;0300;255,438;
031224;0400;248,905;
031224;0500;244,55;
031224;0600;227,22;
031224;0700;242,838;
031224;0800;256,561;
031224;0900;227,993;
031224;1000;215,601;
031224;1100;211,971;
031224;1200;218,358;
031224;1300;212,889;
031224;1400;209,752;
031224;1500;220,793;
031224;1600;219,51;
031224;1700;224,103;
031224;1800;214,959;
031224;1900;217,691;
031224;2000;211,753;
031224;2100;219,223;
031224;2200;229,784;
031224;2300;246,791;
031225;0000;241,058;
031225;0100;229,234;
031225;0200;248,074;
031225;0300;238,708;
031225;0400;233,181;
031225;0500;240,276;
031225;0600;247,996;
031225;0700;262,647;
031225;0800;250,314;
031225;0900;226,622;
031225;1000;233,468;
031225;1100;258,404;
031225;1200;208,83;
031225;1300;216,916;
031225;1400;219,2;
031225;1500;220,4;
031225;1600;219,518;
031225;1700;219,84;
031225;1800;221,21;
031225;1900;201,477;
031225;2000;201,047;
031225;2100;188,907;
031225;2200;195,402;
031225;2300;183,545;
031226;0000;230,882;
031226;0100;229,649;
031226;0200;245,629;
031226;0300;242,407;
031226;0400;210,698;
031226;0500;245,626;
031226;0600;245,298;
031226;0700;267,079;
031226;0800;228,604;
031226;0900;250,163;
031226;1000;218,582;
031226;1100;220,261;
031226;1200;213,501;
031226;1300;207,19;
031226;1400;222,181;
031226;1500;220,861;
031226;1600;224,049;
031226;1700;219,039;
031226;1800;221,499;
031226;1900;214,396;
031226;2000;205,938;
031226;2100;213,343;
031226;2200;211,76;
031226;2300;215,279;
031227;0000;215,862;
031227;0100;237,124;
031227;0200;243,767;
031227;0300;259,862;
031227;0400;258,026;
031227;0500;262,062;
031227;0600;258,266;
031227;0700;245,686;
031227;0800;214,236;
031227;0900;208,654;
031227;1000;198,967;
031227;1100;211,688;
031227;1200;217,062;
031227;1300;219,487;
031227;1400;227,75;
031227;1500;229,73;
031227;1600;221,653;
031227;1700;224,009;
031227;1800;208,521;
031227;1900;190,439;
031227;2000;190,039;
031227;2100;203,596;
031227;2200;219,096;
031227;2300;232,051;
031228;0000;237,53;
031228;0100;241,871;
031228;0200;242,473;
031228;0300;210,381;
031228;0400;221,488;
031228;0500;220,27;
031228;0600;130,134;
031228;0700;213,245;
031228;0800;65,453;
031228;0900;265,953;
031228;1000;255,267;
031228;1100;219,404;
031228;1200;209,842;
031228;1300;212,475;
031228;1400;218,42;
031228;1500;222,927;
031228;1600;211,991;
031228;1700;215,644;
031228;1800;218,794;
031228;1900;217,877;
031228;2000;188,638;
031228;2100;209,765;
031228;2200;204,097;
031228;2300;217,194;
031229;0000;184,661;
031229;0100;232,196;
031229;0200;240,761;
031229;0300;208,51;
031229;0400;251,241;
031229;0500;171,253;
031229;0600;247,369;
031229;0700;265,333;
031229;0800;235,91;
031229;0900;213,862;
031229;1000;250,408;
031229;1100;215,463;
031229;1200;209,128;
031229;1300;210,792;
031229;1400;213,423;
031229;1500;214,522;
031229;1600;220,203;
031229;1700;217,147;
031229;1800;207,986;
031229;1900;206,106;
031229;2000;198,473;
031229;2100;214,171;
031229;2200;194,585;
031229;2300;243,008;
031230;0000;243,202;
031230;0100;251,586;
031230;0200;246,149;
031230;0300;258,715;
031230;0400;242,438;
