FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090326;0000;26,2083;;;
090327;0000;14,9167;;;
090328;0000;37,5416;;;
090329;0000;8,20833;;;
090330;0000;10,7917;;;
090331;0000;16,4583;;;
090401;0000;15,25;;;
090402;0000;9,125;;;
090403;0000;14,9167;;;
090404;0000;6,20833;;;
090405;0000;27,75;;;
090406;0000;50,9583;;;
090407;0000;46,0416;;;
090408;0000;36,25;;;
090409;0000;27,9167;;;
090410;0000;19,875;;;
090411;0000;12,5;;;
090412;0000;8,91666;;;
090413;0000;25;;;
090414;0000;36,8333;;;
090415;0000;15,375;;;
090416;0000;17,0833;;;
090417;0000;40,25;;;
090418;0000;64;;;
090419;0000;48,7916;;;
090420;0000;43,7083;;;
090421;0000;76,125;;;
090422;0000;38,5416;;;
090423;0000;18,9583;;;
090424;0000;32,125;;;
090425;0000;56,0833;;;
090426;0000;39,0833;;;
090427;0000;18,7917;;;
090428;0000;62,5217;;;
090429;0000;15,7917;;;
090430;0000;18,375;;;
090501;0000;30,7917;;;
090502;0000;3,66666;;;
090503;0000;3,20833;;;
090504;0000;16,9167;;;
090505;0000;99,8333;;;
090506;0000;78,5;;;
090507;0000;62,4583;;;
090508;0000;59,5;;;
090509;0000;25,125;;;
090510;0000;73,0833;;;
090511;0000;145,667;;;
090512;0000;89,1666;;;
090513;0000;50,4166;;;
090514;0000;56,5416;;;
090515;0000;46,8333;;;
090516;0000;58,7083;;;
090517;0000;17,9167;;;
090518;0000;24,0833;;;
090519;0000;57,9583;;;
090520;0000;110,083;;;
090521;0000;78,1666;;;
090522;0000;72,0416;;;
090523;0000;51,9583;;;
090524;0000;49,0833;;;
090525;0000;14,8333;;;
090526;0000;10,875;;;
090527;0000;63,5;;;
090528;0000;33,7083;;;
090529;0000;28,875;;;
090530;0000;45,9583;;;
090531;0000;72,5;;;
090601;0000;113,458;;;
090602;0000;143,583;;;
090603;0000;97,75;;;
090604;0000;104,417;;;
090605;0000;132,333;;;
090606;0000;79,3333;;;
090607;0000;7,70833;;;
090608;0000;50,375;;;
090609;0000;131,208;;;
090610;0000;117,458;;;
090611;0000;201,869;;;
090612;0000;204,913;;;
090613;0000;24,25;;;
090614;0000;43,2916;;;
090615;0000;80,5833;;;
090616;0000;136,75;;;
090617;0000;62,0416;;;
090618;0000;126,875;;;
090619;0000;;;;
090620;0000;;;;
090621;0000;;;;
090622;0000;;;;
090623;0000;;;;
090624;0000;;;;
090625;0000;;;92,5433;
090626;0000;174,958;;;
090627;0000;;;;
090628;0000;;;;
090629;0000;;;67,5769;
090630;0000;;;100,882;
090701;0000;;;70,2479;
090702;0000;;;100,926;
090703;0000;179,583;;;
090704;0000;180,417;;;
090705;0000;157,167;;;
090706;0000;87,5;;;
090707;0000;77,0833;;;
090708;0000;91,3333;;;
090709;0000;177,722;;;
090710;0000;62,4583;;;
090711;0000;113,136;;;
090712;0000;81,1666;;;
090713;0000;112,125;;;
090714;0000;133;;;
090715;0000;76,625;;;
090716;0000;125,583;;;
090717;0000;64,2083;;;
090718;0000;110,417;;;
090719;0000;102,292;;;
090720;0000;36,5;;;
090721;0000;15,375;;;
090722;0000;12,4167;;;
090723;0000;102,25;;;
090724;0000;226,75;;;
090725;0000;144,542;;;
090726;0000;129,875;;;
090727;0000;129,958;;;
090728;0000;131,458;;;
090729;0000;169,208;;;
090730;0000;135,917;;;
090731;0000;76,9583;;;
090801;0000;102,083;;;
090802;0000;92,4583;;;
090803;0000;82,7083;;;
090804;0000;10,8333;;;
090805;0000;36,1666;;;
090806;0000;118,958;;;
