FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090326;0000;22;;;
090327;0000;19,1667;;;
090328;0000;18,2917;;;
090329;0000;8,625;;;
090330;0000;16,625;;;
090331;0000;21,25;;;
090401;0000;15,4583;;;
090402;0000;20,25;;;
090403;0000;12,125;;;
090404;0000;12,6667;;;
090405;0000;16,4167;;;
090406;0000;21,9583;;;
090407;0000;22,8333;;;
090408;0000;22,2083;;;
090409;0000;21,2917;;;
090410;0000;13,5;;;
090411;0000;10,75;;;
090412;0000;8,375;;;
090413;0000;17,9167;;;
090414;0000;23,375;;;
090415;0000;21,1667;;;
090416;0000;18,8333;;;
090417;0000;22,625;;;
090418;0000;26,625;;;
090419;0000;20,2917;;;
090420;0000;29,125;;;
090421;0000;28,3333;;;
090422;0000;20,2083;;;
090423;0000;17,9167;;;
090424;0000;23,9583;;;
090425;0000;29,9167;;;
090426;0000;22,6667;;;
090427;0000;26,2083;;;
090428;0000;26,3478;;;
090429;0000;19,125;;;
090430;0000;16,6667;;;
090501;0000;22,5417;;;
090502;0000;11,875;;;
090503;0000;11;;;
090504;0000;10,5417;;;
090505;0000;26,9583;;;
090506;0000;19,7083;;;
090507;0000;17,0833;;;
090508;0000;18,3333;;;
090509;0000;15,2917;;;
090510;0000;26,9167;;;
090511;0000;41,7916;;;
090512;0000;28,125;;;
090513;0000;13,2917;;;
090514;0000;10,75;;;
090515;0000;16,2083;;;
090516;0000;17,0833;;;
090517;0000;7,83333;;;
090518;0000;14;;;
090519;0000;19,4167;;;
090520;0000;23,3333;;;
090521;0000;26,8333;;;
090522;0000;23,875;;;
090523;0000;22,375;;;
090524;0000;14,5833;;;
090525;0000;10,6667;;;
090526;0000;10,875;;;
090527;0000;21,3333;;;
090528;0000;16,4583;;;
090529;0000;17,7917;;;
090530;0000;16,9583;;;
090531;0000;14,2917;;;
090601;0000;25,9167;;;
090602;0000;30,25;;;
090603;0000;29,0833;;;
090604;0000;26,6667;;;
090605;0000;31,6667;;;
090606;0000;25,3333;;;
090607;0000;14;;;
090608;0000;27,2083;;;
090609;0000;30,0417;;;
090610;0000;30,2083;;;
090611;0000;52,5217;;;
090612;0000;68,6521;;;
090613;0000;33,75;;;
090614;0000;27,0833;;;
090615;0000;23,1667;;;
090616;0000;29,9167;;;
090617;0000;22,8333;;;
090618;0000;29,4167;;;
090619;0000;;;17,896;
090620;0000;;;6,55955;
090621;0000;;;5,15771;
090622;0000;;;7,85417;
090623;0000;;;19,8508;
090624;0000;;;15,4205;
090625;0000;;;18,9579;
090626;0000;24,9167;;;
090627;0000;;;19,3551;
090628;0000;;;11,6741;
090629;0000;;;15,9702;
090630;0000;;;26,3944;
090701;0000;;;21,7546;
090702;0000;;;28,7025;
090703;0000;36,7083;;;
090704;0000;30,2083;;;
090705;0000;30,25;;;
090706;0000;24,0833;;;
090707;0000;23,0417;;;
090708;0000;27,1667;;;
090709;0000;37,5;;;
090710;0000;26,75;;;
090711;0000;30,9545;;;
090712;0000;25,6667;;;
090713;0000;31,8333;;;
090714;0000;33,2083;;;
090715;0000;24,5417;;;
090716;0000;32,25;;;
090717;0000;26,7917;;;
090718;0000;20,375;;;
090719;0000;22,5417;;;
090720;0000;23,5833;;;
090721;0000;20,6667;;;
090722;0000;19,8333;;;
090723;0000;30,5;;;
090724;0000;46,3333;;;
090725;0000;37,1666;;;
090726;0000;31,7917;;;
090727;0000;41,9583;;;
090728;0000;40,5;;;
090729;0000;41,1666;;;
090730;0000;37,875;;;
090731;0000;28,25;;;
090801;0000;28,125;;;
090802;0000;31,6667;;;
090803;0000;33,5833;;;
090804;0000;15,7917;;;
090805;0000;17,75;;;
090806;0000;28,125;;;
090807;0000;19,9583;;;
090808;0000;26,0833;;;
090809;0000;25,625;;;
090810;0000;36,5416;;;
090811;0000;44,375;;;
090812;0000;22,2917;;;
090813;0000;29,375;;;
090814;0000;26,7917;;;
090815;0000;14,4583;;;
090816;0000;18,25;;;
090817;0000;29,4167;;;
090818;0000;26,875;;;
090819;0000;24,2083;;;
090820;0000;27,625;;;
090821;0000;23,7917;;;
090822;0000;17,375;;;
090823;0000;18,375;;;
090824;0000;31,5;;;
090825;0000;38,4583;;;
090826;0000;43,4166;;;
090827;0000;40,7916;;;
090828;0000;31,7917;;;
090829;0000;16,25;;;
090830;0000;14,6667;;;
090831;0000;15,625;;;
090901;0000;18,25;;;
090902;0000;13,6667;;;
090903;0000;19,0417;;;
090904;0000;28,7917;;;
090905;0000;25,125;;;
090906;0000;11,25;;;
090907;0000;15,0833;;;
090908;0000;15,5;;;
090909;0000;21,5417;;;
090910;0000;27,2083;;;
090911;0000;28,3333;;;
090912;0000;23,5417;;;
090913;0000;14,3333;;;
090914;0000;19;;;
090915;0000;17,5417;;;
090916;0000;16,5;;;
090917;0000;14,25;;;
090918;0000;16,4167;;;
090919;0000;17;;;
090920;0000;13,4583;;;
090921;0000;11,4167;;;
090922;0000;16,2083;;;
090923;0000;18,9167;;;
090924;0000;20,4583;;;
090925;0000;10,1667;;;
090926;0000;5,54166;;;
090927;0000;9,5;;;
090928;0000;12,0417;;;
090929;0000;18,125;;;
090930;0000;16,1667;;;
091001;0000;20,5417;;;
091002;0000;19,75;;;
091003;0000;23,8182;;;
091004;0000;7,54166;;;
091005;0000;15,6364;;;
091006;0000;23,2917;;;
091007;0000;29,9583;;;
091008;0000;27,9167;;;
091009;0000;23,7917;;;
091010;0000;12,375;;;
091011;0000;8,04166;;;
091012;0000;15,7917;;;
091013;0000;15,2083;;;
091014;0000;11,9583;;;
091015;0000;16,3333;;;
091016;0000;14,9167;;;
091017;0000;9,41666;;;
091018;0000;7,04166;;;
091019;0000;16,8333;;;
091020;0000;15,875;;;
091021;0000;29,375;;;
091022;0000;27,25;;;
091023;0000;14,625;;;
091024;0000;20,1667;;;
091025;0000;14,2917;;;
091026;0000;22,2083;;;
091027;0000;34,375;;;
091028;0000;25,7083;;;
091029;0000;21,5833;;;
091030;0000;16,5417;;;
091031;0000;13,1667;;;
091101;0000;9,25;;;
091102;0000;10,0417;;;
091103;0000;10,6667;;;
091104;0000;9,66666;;;
091105;0000;;;12,5676;
091106;0000;;;11,8961;
091107;0000;;;10,5509;
091108;0000;;;9,26157;
091109;0000;;;14,0822;
091110;0000;;;19,1516;
091111;0000;;;18,1423;
091112;0000;;;15,8889;
091113;0000;;;;
091114;0000;;;16,6967;
091115;0000;;;16,6111;
091116;0000;;;20,7275;
091117;0000;23,7083;;;
091118;0000;17,9583;;;
091119;0000;19,5417;;;
091120;0000;25,1667;;;
091121;0000;17,25;;;
091122;0000;19,375;;;
091123;0000;13,5;;;
091124;0000;9,20833;;;
091125;0000;11,75;;;
091126;0000;14,5;;;
091127;0000;14,625;;;
091128;0000;11,5417;;;
091129;0000;10,625;;;
091130;0000;11,7083;;;
091201;0000;10,5417;;;
091202;0000;14,2917;;;
091203;0000;17,4167;;;
091204;0000;14,0417;;;
091205;0000;9,16666;;;
091206;0000;8,08333;;;
091207;0000;7,16666;;;
091208;0000;5,875;;;
091209;0000;11,7083;;;
091210;0000;12,75;;;
091211;0000;12,7917;;;
091212;0000;14,625;;;
091213;0000;11,4167;;;
091214;0000;11,5417;;;
091215;0000;16,7917;;;
091216;0000;21,3333;;;
091217;0000;15,9167;;;
091218;0000;13,7917;;;
091219;0000;13,9167;;;
091220;0000;13,6667;;;
091221;0000;14,1667;;;
091222;0000;12,5417;;;
091223;0000;15,2917;;;
091224;0000;15,4583;;;
091225;0000;8,36841;;;
091226;0000;;;8,71179;
091227;0000;;;8,25346;
091228;0000;;;7,26672;
091229;0000;;;11,6065;
091230;0000;;;12,0289;
091231;0000;;;10,5643;
100101;0000;;;8,6655;
100102;0000;;;11,0949;
