FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090326;0000;48,2083;;;
090327;0000;34,0833;;;
090328;0000;55,8333;;;
090329;0000;16,8333;;;
090330;0000;27,4167;;;
090331;0000;37,7083;;;
090401;0000;30,7083;;;
090402;0000;29,375;;;
090403;0000;27,0417;;;
090404;0000;18,875;;;
090405;0000;44,1666;;;
090406;0000;72,9166;;;
090407;0000;68,875;;;
090408;0000;58,4583;;;
090409;0000;49,2083;;;
090410;0000;33,375;;;
090411;0000;23,25;;;
090412;0000;17,2917;;;
090413;0000;42,9166;;;
090414;0000;60,2083;;;
090415;0000;36,5416;;;
090416;0000;35,9166;;;
090417;0000;62,875;;;
090418;0000;90,625;;;
090419;0000;69,0833;;;
090420;0000;72,8333;;;
090421;0000;104,458;;;
090422;0000;58,75;;;
090423;0000;36,875;;;
090424;0000;56,0833;;;
090425;0000;86;;;
090426;0000;61,75;;;
090427;0000;45;;;
090428;0000;88,8695;;;
090429;0000;34,9166;;;
090430;0000;35,0416;;;
090501;0000;53,3333;;;
090502;0000;15,5417;;;
090503;0000;14,2083;;;
090504;0000;27,4583;;;
090505;0000;126,792;;;
090506;0000;98,2083;;;
090507;0000;79,5416;;;
090508;0000;77,8333;;;
090509;0000;40,4166;;;
090510;0000;100;;;
090511;0000;187,458;;;
090512;0000;117,292;;;
090513;0000;63,7083;;;
090514;0000;67,2916;;;
090515;0000;63,0416;;;
090516;0000;75,7916;;;
090517;0000;25,75;;;
090518;0000;38,0833;;;
090519;0000;77,375;;;
090520;0000;133,417;;;
090521;0000;105;;;
090522;0000;95,9166;;;
090523;0000;74,3333;;;
090524;0000;63,6666;;;
090525;0000;25,5;;;
090526;0000;21,75;;;
090527;0000;84,8333;;;
090528;0000;50,1666;;;
090529;0000;46,6666;;;
090530;0000;62,9166;;;
090531;0000;86,7916;;;
090601;0000;139,375;;;
090602;0000;173,833;;;
090603;0000;126,833;;;
090604;0000;131,083;;;
