FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
970402;0000;18,875;;;
970403;0000;14,2083;;;
970404;0000;30,4545;;;
970405;0000;;;;
970406;0000;;;;
970407;0000;;;;
970408;0000;20;;;
970409;0000;33,1666;;;
970410;0000;31,1667;;;
970411;0000;27,5833;;;
970412;0000;25,375;;;
970413;0000;28,5;;;
970414;0000;22,5;;;
970415;0000;22,0417;;;
970416;0000;19,7083;;;
970417;0000;10,1667;;;
970418;0000;11,375;;;
970419;0000;18,75;;;
970420;0000;20,6667;;;
970421;0000;17,125;;;
970422;0000;8,04166;;;
970423;0000;;;;
970424;0000;;;;
970425;0000;14,8333;;;
970426;0000;6,20833;;;
970427;0000;13,4167;;;
970428;0000;13,0833;;;
970429;0000;5,79166;;;
970430;0000;9,33333;;;
970501;0000;20,7083;;;
970502;0000;13,8636;;;
970503;0000;28,9583;;;
970504;0000;21,5833;;;
970505;0000;20,7083;;;
970506;0000;27,4583;;;
970507;0000;17,2083;;;
970508;0000;15,9583;;;
970509;0000;16,6667;;;
970510;0000;17,375;;;
970511;0000;28,875;;;
970512;0000;6,20833;;;
970513;0000;17,2083;;;
970514;0000;10,2105;;;
970515;0000;18,5833;;;
970516;0000;6;;;
970517;0000;4;;;
970518;0000;5,66666;;;
970519;0000;8,125;;;
970520;0000;6,66666;;;
970521;0000;15,5417;;;
970522;0000;17,1304;;;
970523;0000;15,25;;;
970524;0000;18,6667;;;
970525;0000;16,4167;;;
970526;0000;6,70833;;;
970527;0000;8,875;;;
970528;0000;2,125;;;
970529;0000;2,125;;;
970530;0000;2,875;;;
970531;0000;2,375;;;
970601;0000;12,4583;;;
970602;0000;;;;
970603;0000;;;;
970604;0000;3,41666;;;
970605;0000;7,125;;;
970606;0000;8,375;;;
970607;0000;10,9167;;;
970608;0000;6,58333;;;
970609;0000;2,21739;;;
970610;0000;5,875;;;
970611;0000;1,95833;;;
970612;0000;5,66666;;;
970613;0000;7,66666;;;
970614;0000;3,91666;;;
970615;0000;1,125;;;
970616;0000;4,83333;;;
970617;0000;5,5;;;
970618;0000;2,25;;;
970619;0000;4,08333;;;
970620;0000;11,1667;;;
970621;0000;7,58333;;;
970622;0000;5,41666;;;
970623;0000;3,91666;;;
970624;0000;6,66666;;;
970625;0000;8,04166;;;
970626;0000;6,79166;;;
970627;0000;9,125;;;
970628;0000;11,8333;;;
970629;0000;13,625;;;
970630;0000;8,57143;;;
970701;0000;7,43478;;;
970702;0000;6,125;;;
970703;0000;2,5;;;
970704;0000;9,08333;;;
970705;0000;9,54166;;;
970706;0000;13,2917;;;
970707;0000;4,29166;;;
970708;0000;2,70833;;;
970709;0000;5,5;;;
970710;0000;4,33333;;;
970711;0000;9,41666;;;
970712;0000;7,25;;;
970713;0000;11,5833;;;
970714;0000;2,79166;;;
970715;0000;8,43477;;;
970716;0000;8,70833;;;
970717;0000;4,54166;;;
970718;0000;8,45833;;;
970719;0000;16,5;;;
970720;0000;12,375;;;
970721;0000;2,83333;;;
970722;0000;9,39999;;;
970723;0000;13,5714;;;
970724;0000;3,75;;;
970725;0000;8,95833;;;
970726;0000;4;;;
970727;0000;13,9583;;;
970728;0000;8,91666;;;
970729;0000;4,625;;;
970730;0000;2,16666;;;
970731;0000;6,70833;;;
970801;0000;8,5;;;
970802;0000;5,41666;;;
970803;0000;13,1739;;;
970804;0000;6,41666;;;
970805;0000;12,5652;;;
970806;0000;17,4167;;;
970807;0000;15,6667;;;
970808;0000;16,2917;;;
970809;0000;17,7391;;;
970810;0000;18,9565;;;
970811;0000;17,875;;;
970812;0000;12,875;;;
970813;0000;3,04166;;;
970814;0000;2,45833;;;
970815;0000;1,875;;;
970816;0000;2,5;;;
970817;0000;6,82608;;;
970818;0000;6,91304;;;
970819;0000;8,875;;;
970820;0000;11,7917;;;
970821;0000;14,4167;;;
970822;0000;13;;;
970823;0000;24,2917;;;
970824;0000;18,25;;;
970825;0000;20,0417;;;
970826;0000;20,5417;;;
970827;0000;25,75;;;
970828;0000;18,7917;;;
970829;0000;11,2917;;;
970830;0000;2,5;;;
970831;0000;1,54167;;;
970901;0000;3,125;;;
970902;0000;2,58333;;;
970903;0000;3,16666;;;
970904;0000;1,45833;;;
970905;0000;2,625;;;
970906;0000;3,33333;;;
970907;0000;16,9167;;;
970908;0000;13,7083;;;
970909;0000;15,0417;;;
970910;0000;16,375;;;
970911;0000;17,4583;;;
970912;0000;18,85;;;
970913;0000;18,1818;;;
970914;0000;16,5652;;;
970915;0000;25,2917;;;
970916;0000;29,4583;;;
970917;0000;22,4167;;;
970918;0000;9,71428;;;
970919;0000;10,8182;;;
970920;0000;16,4583;;;
970921;0000;21,2083;;;
970922;0000;12,8571;;;
970923;0000;14,9167;;;
970924;0000;20,5;;;
970925;0000;19,25;;;
970926;0000;6,79166;;;
970927;0000;9,91666;;;
970928;0000;15,625;;;
970929;0000;15,7917;;;
970930;0000;16,2917;;;
971001;0000;23,0417;;;
971002;0000;7,20833;;;
971003;0000;9,875;;;
971004;0000;7,75;;;
971005;0000;15,3333;;;
971006;0000;17,1667;;;
971007;0000;17,4167;;;
971008;0000;17,2917;;;
971009;0000;21,125;;;
971010;0000;15,8333;;;
971011;0000;12,5833;;;
971012;0000;16,0417;;;
971013;0000;10,4783;;;
971014;0000;11,2609;;;
971015;0000;14,0435;;;
971016;0000;16,5;;;
971017;0000;17,875;;;
971018;0000;19,7083;;;
971019;0000;24,875;;;
971020;0000;22,8333;;;
971021;0000;21,4583;;;
971022;0000;16,4583;;;
971023;0000;24,4167;;;
971024;0000;20,4583;;;
971025;0000;20,125;;;
971026;0000;14,7917;;;
971027;0000;16,375;;;
971028;0000;19,375;;;
971029;0000;21,0833;;;
971030;0000;21,0417;;;
971031;0000;28,2083;;;
971101;0000;19,2083;;;
971102;0000;25,5833;;;
971103;0000;20;;;
971104;0000;18,8333;;;
971105;0000;15,875;;;
971106;0000;17,5833;;;
971107;0000;28,625;;;
971108;0000;17,9583;;;
971109;0000;18,125;;;
971110;0000;18,375;;;
971111;0000;18,4583;;;
971112;0000;14,5417;;;
971113;0000;20,1667;;;
971114;0000;23,2083;;;
971115;0000;26,5652;;;
971116;0000;23,1667;;;
971117;0000;26,625;;;
971118;0000;29,2083;;;
971119;0000;21,2917;;;
971120;0000;22,125;;;
971121;0000;25,9167;;;
971122;0000;24;;;
971123;0000;28,0833;;;
971124;0000;16,2083;;;
971125;0000;15,7917;;;
971126;0000;18,1667;;;
971127;0000;20,9583;;;
971128;0000;22,9583;;;
971129;0000;17,5833;;;
971130;0000;22,7917;;;
971201;0000;20,9167;;;
971202;0000;18,7083;;;
971203;0000;22,6667;;;
971204;0000;23,0417;;;
971205;0000;26,875;;;
971206;0000;29;;;
971207;0000;30,5;;;
971208;0000;26,6667;;;
971209;0000;18,125;;;
971210;0000;16,3333;;;
971211;0000;16,2083;;;
971212;0000;7,29166;;;
971213;0000;19,8333;;;
971214;0000;30,7917;;;
971215;0000;25;;;
971216;0000;17,1667;;;
971217;0000;21,0833;;;
971218;0000;24,7917;;;
971219;0000;24,9583;;;
971220;0000;23,9167;;;
971221;0000;11,4783;;;
971222;0000;21,3333;;;
971223;0000;29;;;
971224;0000;30,6667;;;
971225;0000;20,125;;;
971226;0000;13,1905;;;
971227;0000;19,7083;;;
971228;0000;24,875;;;
971229;0000;17,2273;;;
971230;0000;19,2609;;;
971231;0000;20,7917;;;
980101;0000;28,625;;;
980102;0000;24,375;;;
980103;0000;30,125;;;
980104;0000;26,875;;;
980105;0000;22,7917;;;
980106;0000;26,4782;;;
980107;0000;29,8333;;;
980108;0000;30,5;;;
980109;0000;19,9167;;;
980110;0000;23,5417;;;
980111;0000;27,2917;;;
980112;0000;28,1667;;;
980113;0000;21,0417;;;
980114;0000;23,5833;;;
980115;0000;23,5;;;
980116;0000;24,9583;;;
980117;0000;37,0416;;;
980118;0000;20,7917;;;
980119;0000;17,9167;;;
980120;0000;17,7917;;;
980121;0000;21,75;;;
980122;0000;28,1667;;;
980123;0000;24,625;;;
980124;0000;26,875;;;
980125;0000;22,5;;;
980126;0000;16,5;;;
980127;0000;21,3333;;;
980128;0000;24,9167;;;
980129;0000;27,625;;;
980130;0000;32,1666;;;
980131;0000;30,0833;;;
980201;0000;21,8333;;;
980202;0000;18,25;;;
980203;0000;21,5417;;;
980204;0000;25,875;;;
980205;0000;12,875;;;
980206;0000;27,75;;;
980207;0000;25,125;;;
980208;0000;25,7083;;;
980209;0000;24,5833;;;
980210;0000;24,25;;;
980211;0000;28,25;;;
980212;0000;21,9583;;;
980213;0000;24,5;;;
980214;0000;32,25;;;
980215;0000;21,5833;;;
980216;0000;13,9167;;;
980217;0000;27,2917;;;
980218;0000;26,875;;;
980219;0000;17,6667;;;
980220;0000;21,8333;;;
980221;0000;20,5;;;
980222;0000;13,0417;;;
980223;0000;15,5;;;
980224;0000;16,9583;;;
980225;0000;24,375;;;
980226;0000;20,1667;;;
980227;0000;22,8333;;;
980228;0000;31,9167;;;
980301;0000;18,5833;;;
980302;0000;18,8333;;;
980303;0000;22,25;;;
980304;0000;24,3333;;;
980305;0000;4,375;;;
980306;0000;19,4167;;;
980307;0000;26,625;;;
980308;0000;28,625;;;
980309;0000;22,4167;;;
980310;0000;8,25;;;
980311;0000;21,2083;;;
980312;0000;19,8333;;;
980313;0000;28,8333;;;
980314;0000;28,5833;;;
980315;0000;26,7083;;;
980316;0000;15,5;;;
980317;0000;14,25;;;
980318;0000;19,4167;;;
980319;0000;17,625;;;
980320;0000;21,375;;;
980321;0000;23,6667;;;
980322;0000;22,2917;;;
980323;0000;16,9167;;;
980324;0000;30,9583;;;
980325;0000;21,5;;;
980326;0000;15,0417;;;
980327;0000;16,7917;;;
980328;0000;17,5417;;;
980329;0000;30,625;;;
980330;0000;23,7917;;;
980331;0000;17,5417;;;
980401;0000;34,25;;;
980402;0000;30,2083;;;
980403;0000;11,5833;;;
980404;0000;18;;;
980405;0000;22,75;;;
980406;0000;14,625;;;
980407;0000;10,9583;;;
980408;0000;11,75;;;
980409;0000;1,45833;;;
980410;0000;8,66666;;;
980411;0000;9,66666;;;
980412;0000;5,83333;;;
980413;0000;4,95833;;;
980414;0000;5,16666;;;
980415;0000;11,9583;;;
980416;0000;18,4583;;;
980417;0000;28,875;;;
980418;0000;14,25;;;
980419;0000;;;;
980420;0000;7,66666;;;
980421;0000;6,375;;;
980422;0000;13,875;;;
980423;0000;17,75;;;
980424;0000;16,4583;;;
980425;0000;23,3333;;;
980426;0000;4,625;;;
980427;0000;11,125;;;
980428;0000;15,6667;;;
980429;0000;2,41666;;;
980430;0000;16,7083;;;
980501;0000;16,75;;;
980502;0000;19,625;;;
980503;0000;18,375;;;
980504;0000;11,8333;;;
980505;0000;11,3333;;;
980506;0000;1,75;;;
980507;0000;11;;;
980508;0000;16,5417;;;
980509;0000;10,75;;;
980510;0000;4,04166;;;
980511;0000;2,54166;;;
980512;0000;7,83333;;;
980513;0000;7,83333;;;
980514;0000;9,75;;;
980515;0000;14,875;;;
980516;0000;21,4167;;;
980517;0000;29,125;;;
980518;0000;24,5417;;;
980519;0000;13,2083;;;
980520;0000;4,91666;;;
980521;0000;9,70833;;;
980522;0000;1,54167;;;
980523;0000;6,625;;;
980524;0000;9,83333;;;
980525;0000;5,875;;;
980526;0000;3,75;;;
980527;0000;1,125;;;
980528;0000;6,45833;;;
980529;0000;7,79166;;;
980530;0000;2,95833;;;
980531;0000;12,4167;;;
980601;0000;8,375;;;
980602;0000;3,83333;;;
980603;0000;11,5;;;
980604;0000;6,95833;;;
980605;0000;1,75;;;
980606;0000;5,66666;;;
980607;0000;11,1667;;;
980608;0000;2,42105;;;
980609;0000;6,66666;;;
980610;0000;3,79166;;;
980611;0000;3,29166;;;
980612;0000;2,08333;;;
980613;0000;2,83333;;;
980614;0000;2,375;;;
980615;0000;1;;;
980616;0000;2,95833;;;
980617;0000;6,95833;;;
980618;0000;6,54166;;;
980619;0000;9,70833;;;
980620;0000;4,16666;;;
980621;0000;2,125;;;
980622;0000;7,625;;;
980623;0000;9,20833;;;
980624;0000;9,79166;;;
980625;0000;10,5417;;;
980626;0000;10,8333;;;
980627;0000;10,5417;;;
980628;0000;5,125;;;
980629;0000;5,91666;;;
980630;0000;5,875;;;
980701;0000;7,33333;;;
980702;0000;7,41666;;;
980703;0000;9,29166;;;
980704;0000;16,5417;;;
980705;0000;5,125;;;
980706;0000;8,79166;;;
980707;0000;5,70833;;;
980708;0000;8,45833;;;
980709;0000;9,33333;;;
980710;0000;12,5833;;;
980711;0000;8,79166;;;
980712;0000;5,625;;;
980713;0000;3,70833;;;
980714;0000;5,625;;;
980715;0000;1,875;;;
980716;0000;2,83333;;;
980717;0000;7,375;;;
980718;0000;12,6667;;;
980719;0000;11,625;;;
980720;0000;8,66666;;;
980721;0000;5,625;;;
980722;0000;11,125;;;
980723;0000;2,33333;;;
980724;0000;9,58333;;;
980725;0000;13,1667;;;
980726;0000;7,66666;;;
980727;0000;1,79167;;;
980728;0000;8,58333;;;
980729;0000;11,25;;;
980730;0000;6,75;;;
980731;0000;15,25;;;
980801;0000;19,2083;;;
980802;0000;11,8333;;;
980803;0000;9,79166;;;
980804;0000;13,2174;;;
980805;0000;10,2083;;;
980806;0000;8,04166;;;
980807;0000;12,125;;;
980808;0000;12,0833;;;
980809;0000;11,125;;;
980810;0000;10,3333;;;
980811;0000;10,4583;;;
980812;0000;6,45833;;;
980813;0000;11;;;
980814;0000;13,0417;;;
980815;0000;5,75;;;
980816;0000;7,66666;;;
980817;0000;13,2083;;;
980818;0000;6,79166;;;
980819;0000;13,9167;;;
980820;0000;14,625;;;
980821;0000;17,2917;;;
980822;0000;16,7917;;;
980823;0000;17,6667;;;
980824;0000;14,625;;;
980825;0000;12,75;;;
980826;0000;18,6667;;;
980827;0000;20,8333;;;
980828;0000;18,8636;;;
980829;0000;;;;
980830;0000;18,625;;;
980831;0000;17,8333;;;
980901;0000;12,5;;;
980902;0000;16,7083;;;
980903;0000;16,4167;;;
980904;0000;18,625;;;
980905;0000;19,5417;;;
980906;0000;13,75;;;
980907;0000;15,7083;;;
980908;0000;11,9583;;;
980909;0000;9,125;;;
980910;0000;3,33333;;;
980911;0000;2,41666;;;
980912;0000;9,08333;;;
980913;0000;19,7727;;;
980914;0000;21,1053;;;
980915;0000;22,0417;;;
980916;0000;23,125;;;
980917;0000;19,2083;;;
980918;0000;21,4583;;;
980919;0000;20,0417;;;
980920;0000;21,125;;;
980921;0000;20,8333;;;
980922;0000;13,4583;;;
980923;0000;16,2917;;;
980924;0000;15,1667;;;
980925;0000;9,16666;;;
980926;0000;20,2917;;;
980927;0000;19,125;;;
980928;0000;18,0417;;;
980929;0000;21,625;;;
980930;0000;20,625;;;
981001;0000;26,9167;;;
981002;0000;30,8333;;;
981003;0000;22,75;;;
981004;0000;22,0417;;;
981005;0000;24,25;;;
981006;0000;22,6667;;;
981007;0000;25,2083;;;
981008;0000;30,0833;;;
981009;0000;18,2917;;;
981010;0000;33,25;;;
981011;0000;30,5417;;;
981012;0000;18,3333;;;
981013;0000;21,625;;;
981014;0000;26,2083;;;
981015;0000;19,875;;;
981016;0000;20,625;;;
981017;0000;29,7083;;;
981018;0000;23,9583;;;
981019;0000;23,4167;;;
981020;0000;23,0417;;;
981021;0000;24,875;;;
981022;0000;19,8333;;;
981023;0000;24,875;;;
981024;0000;21,9565;;;
981025;0000;27,7083;;;
981026;0000;20,7083;;;
981027;0000;25,4583;;;
981028;0000;27,4583;;;
981029;0000;27,2917;;;
981030;0000;27;;;
981031;0000;25,4583;;;
981101;0000;27,3333;;;
981102;0000;22,0417;;;
981103;0000;21,25;;;
981104;0000;22,9167;;;
981105;0000;18,4583;;;
981106;0000;22,0417;;;
981107;0000;20,625;;;
981108;0000;20,8333;;;
981109;0000;;;;
981110;0000;;;;
981111;0000;25,4782;;;
981112;0000;25,625;;;
981113;0000;;;;
981114;0000;;;;
981115;0000;;;;
981116;0000;19,6667;;;
981117;0000;30,9091;;;
981118;0000;24,5909;;;
981119;0000;22,9091;;;
981120;0000;26,2273;;;
981121;0000;28,0454;;;
981122;0000;;;;
981123;0000;;;;
981124;0000;;;;
981125;0000;23,9167;;;
981126;0000;27,3333;;;
981127;0000;16,875;;;
981128;0000;22,6667;;;
981129;0000;26,625;;;
981130;0000;25,7083;;;
981201;0000;22,7826;;;
981202;0000;29,5;;;
981203;0000;30,8333;;;
981204;0000;28,7917;;;
981205;0000;31,25;;;
981206;0000;22,125;;;
981207;0000;20,25;;;
981208;0000;18,9583;;;
981209;0000;28,125;;;
981210;0000;24,6667;;;
981211;0000;19,2917;;;
981212;0000;16,1667;;;
981213;0000;26,625;;;
981214;0000;26,0833;;;
981215;0000;18,6667;;;
981216;0000;21,2917;;;
981217;0000;23,2083;;;
981218;0000;21,125;;;
981219;0000;22,0417;;;
981220;0000;17,75;;;
981221;0000;22,1667;;;
981222;0000;27,0417;;;
981223;0000;25,4167;;;
981224;0000;25,75;;;
981225;0000;30,125;;;
981226;0000;26,375;;;
981227;0000;21,4;;;
981228;0000;;;;
981229;0000;26,3333;;;
981230;0000;20,5909;;;
981231;0000;24,2083;;;
990101;0000;25,9583;;;
990102;0000;20;;;
990103;0000;21,0833;;;
990104;0000;19,8333;;;
990105;0000;21,5833;;;
990106;0000;29,1667;;;
990107;0000;17,375;;;
990108;0000;23,25;;;
990109;0000;30,4583;;;
990110;0000;20,3333;;;
990111;0000;19,125;;;
990112;0000;23,2609;;;
990113;0000;26,3333;;;
990114;0000;20,625;;;
990115;0000;17,0833;;;
990116;0000;17,75;;;
990117;0000;15,3333;;;
990118;0000;23,55;;;
990119;0000;21,0417;;;
990120;0000;14,5833;;;
990121;0000;27,0417;;;
990122;0000;23,1667;;;
990123;0000;23,125;;;
990124;0000;28,5;;;
990125;0000;21,2917;;;
990126;0000;20,3333;;;
990127;0000;24,9167;;;
990128;0000;25,5;;;
990129;0000;23,6667;;;
990130;0000;24,4167;;;
990131;0000;25,7917;;;
990201;0000;19,25;;;
990202;0000;21,2083;;;
990203;0000;20,9167;;;
990204;0000;23,9583;;;
990205;0000;18,1667;;;
990206;0000;18,375;;;
990207;0000;24,0833;;;
990208;0000;26,5;;;
990209;0000;34,875;;;
990210;0000;37,0416;;;
990211;0000;34,3333;;;
990212;0000;23,2917;;;
990213;0000;;;;
990214;0000;;;;
990215;0000;21,7083;;;
990216;0000;22,8333;;;
990217;0000;16,5789;;;
990218;0000;21,6818;;;
990219;0000;21,4167;;;
990220;0000;25,25;;;
990221;0000;24,375;;;
990222;0000;22,5417;;;
990223;0000;22,7083;;;
990224;0000;23,375;;;
990225;0000;15,375;;;
990226;0000;24,4167;;;
990227;0000;21,375;;;
990228;0000;12,2083;;;
990301;0000;14,6667;;;
990302;0000;26,9167;;;
990303;0000;26,0833;;;
990304;0000;23,0417;;;
990305;0000;19,875;;;
990306;0000;9,70833;;;
990307;0000;19,0417;;;
990308;0000;19,875;;;
990309;0000;26,125;;;
990310;0000;26,9583;;;
990311;0000;25,375;;;
990312;0000;20,9583;;;
990313;0000;19,0833;;;
990314;0000;19,5;;;
990315;0000;17,9583;;;
990316;0000;16,2083;;;
990317;0000;25,4167;;;
990318;0000;25,3333;;;
990319;0000;26,4167;;;
990320;0000;30,25;;;
990321;0000;28,4167;;;
990322;0000;24,375;;;
990323;0000;17,7619;;;
990324;0000;16,7083;;;
990325;0000;29,375;;;
990326;0000;18,0833;;;
990327;0000;15,125;;;
990328;0000;17,4583;;;
990329;0000;13,8261;;;
990330;0000;17;;;
990331;0000;20,125;;;
990401;0000;;;;
990402;0000;15,25;;;
990403;0000;15,75;;;
990404;0000;18,625;;;
990405;0000;15,7917;;;
990406;0000;20,3478;;;
990407;0000;18,9565;;;
990408;0000;15,9565;;;
990409;0000;14,0435;;;
990410;0000;19,7826;;;
990411;0000;26,1667;;;
