FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
970719;0000;14,6667;;;
970720;0000;14,625;;;
970721;0000;20,25;;;
970722;0000;21,8;;;
970723;0000;23,4091;;;
970724;0000;25;;;
970725;0000;25,7083;;;
970726;0000;21,5417;;;
970727;0000;12,2917;;;
970728;0000;3,43478;;;
970729;0000;7,75;;;
970730;0000;3,33333;;;
970731;0000;5,83333;;;
970801;0000;8,73683;;;
970802;0000;;;;
970803;0000;;;;
970804;0000;;;;
970805;0000;24,4348;;;
970806;0000;19,7391;;;
970807;0000;20,1667;;;
970808;0000;25,7917;;;
970809;0000;18,6956;;;
970810;0000;16,6087;;;
970811;0000;19,125;;;
970812;0000;13,625;;;
970813;0000;5,08333;;;
970814;0000;7,625;;;
970815;0000;7,625;;;
970816;0000;4,41666;;;
970817;0000;3,43478;;;
970818;0000;4,95454;;;
970819;0000;4,91666;;;
970820;0000;10,8333;;;
970821;0000;13,25;;;
970822;0000;14,625;;;
970823;0000;12,4583;;;
970824;0000;18,0417;;;
970825;0000;29,2083;;;
970826;0000;27,4583;;;
970827;0000;24,7083;;;
970828;0000;15,875;;;
970829;0000;13,0417;;;
970830;0000;3,45833;;;
970831;0000;4,75;;;
970901;0000;7,625;;;
970902;0000;9,79166;;;
970903;0000;;;;
970904;0000;;;;
970905;0000;;;;
970906;0000;;;;
970907;0000;;;;
970908;0000;;;;
970909;0000;5,33333;;;
970910;0000;7,375;;;
970911;0000;7,91666;;;
970912;0000;3,7;;;
970913;0000;12,4091;;;
970914;0000;13,7826;;;
970915;0000;19,75;;;
970916;0000;16,125;;;
970917;0000;13,7917;;;
970918;0000;7,38095;;;
970919;0000;3;;;
970920;0000;2,79166;;;
970921;0000;6,04166;;;
970922;0000;2;;;
970923;0000;2,41666;;;
970924;0000;5,79166;;;
970925;0000;6,45833;;;
970926;0000;9,45833;;;
970927;0000;1,54167;;;
970928;0000;3,41666;;;
970929;0000;4,625;;;
970930;0000;5,25;;;
971001;0000;5;;;
971002;0000;4,54166;;;
971003;0000;3,33333;;;
971004;0000;3,70833;;;
971005;0000;2,66666;;;
971006;0000;10,8333;;;
971007;0000;11,5;;;
971008;0000;5,58333;;;
971009;0000;3,41666;;;
971010;0000;3,375;;;
971011;0000;4,91666;;;
971012;0000;1,20833;;;
971013;0000;3,77777;;;
971014;0000;2,04166;;;
971015;0000;4,75;;;
971016;0000;4,79166;;;
971017;0000;6,04166;;;
971018;0000;3;;;
971019;0000;2,79166;;;
971020;0000;3,58333;;;
971021;0000;10,5;;;
971022;0000;2,33333;;;
971023;0000;17,5;;;
971024;0000;3,29166;;;
971025;0000;1,875;;;
971026;0000;2,16666;;;
971027;0000;2,375;;;
971028;0000;1,79167;;;
971029;0000;1,75;;;
971030;0000;1,91667;;;
971031;0000;6,25;;;
971101;0000;5,08333;;;
971102;0000;2,79166;;;
971103;0000;3,125;;;
971104;0000;5;;;
971105;0000;4,45833;;;
971106;0000;8,625;;;
971107;0000;4,20833;;;
971108;0000;4,04166;;;
971109;0000;3,16666;;;
971110;0000;1,29167;;;
971111;0000;1,91667;;;
971112;0000;1,33333;;;
971113;0000;13,9583;;;
971114;0000;6,66666;;;
971115;0000;5,04166;;;
971116;0000;2,875;;;
971117;0000;4,04166;;;
971118;0000;5,30434;;;
971119;0000;3,04166;;;
