FECHA (YYMMDD);HORA (HHMM);;
031215;0100;;
031215;0200;;
031215;0300;;
031215;0400;;
031215;0500;;
031215;0600;;
031215;0700;;
031215;0800;;
031215;0900;;
031215;1000;;
031215;1100;232,138;
031215;1200;210,572;
031215;1300;210,85;
031215;1400;201,213;
031215;1500;209,119;
031215;1600;217,781;
031215;1700;225,302;
031215;1800;236,547;
031215;1900;223,131;
031215;2000;206,831;
031215;2100;219,029;
031215;2200;219,907;
031215;2300;250,742;
031216;0000;226,676;
031216;0100;93,7549;
031216;0200;154,557;
031216;0300;178,544;
031216;0400;168,789;
031216;0500;116,173;
031216;0600;129,076;
031216;0700;205,932;
031216;0800;238,516;
031216;0900;291,865;
031216;1000;207,821;
031216;1100;209,007;
031216;1200;218,481;
031216;1300;203,953;
031216;1400;214,845;
031216;1500;212,75;
031216;1600;212,719;
031216;1700;227,341;
031216;1800;230,855;
031216;1900;215,575;
031216;2000;194,293;
031216;2100;192,199;
031216;2200;207,555;
031216;2300;210,455;
031217;0000;226,573;
031217;0100;209,087;
031217;0200;224,736;
031217;0300;278,471;
031217;0400;357,816;
031217;0500;248,547;
031217;0600;200,476;
031217;0700;244,845;
031217;0800;224,594;
031217;0900;230,813;
031217;1000;222,319;
031217;1100;214,412;
031217;1200;214,562;
031217;1300;209,93;
031217;1400;218,371;
031217;1500;223,933;
031217;1600;218,136;
031217;1700;213,971;
031217;1800;203,558;
031217;1900;191,017;
031217;2000;182,128;
031217;2100;190,558;
031217;2200;195,908;
031217;2300;195,775;
031218;0000;198,571;
031218;0100;211,1;
031218;0200;203,266;
031218;0300;193,506;
031218;0400;195,363;
031218;0500;196,845;
031218;0600;250,405;
031218;0700;256,014;
031218;0800;238,356;
031218;0900;201,337;
031218;1000;213,198;
031218;1100;214,861;
031218;1200;214,801;
031218;1300;205,601;
031218;1400;208,332;
031218;1500;208,229;
031218;1600;203,683;
031218;1700;200,473;
031218;1800;200,366;
031218;1900;196,617;
031218;2000;193,466;
031218;2100;185,396;
031218;2200;185,186;
031218;2300;200,555;
031219;0000;206,951;
031219;0100;205,825;
031219;0200;193,338;
031219;0300;220,854;
031219;0400;203,828;
031219;0500;190,355;
031219;0600;205,641;
031219;0700;242,067;
031219;0800;229,447;
031219;0900;226,259;
031219;1000;217,581;
031219;1100;218,624;
031219;1200;223,909;
031219;1300;216,071;
031219;1400;219,578;
031219;1500;210,824;
031219;1600;219,791;
031219;1700;234,259;
031219;1800;225,426;
031219;1900;200,5;
031219;2000;171,993;
031219;2100;188,266;
031219;2200;183,471;
031219;2300;152,916;
031220;0000;291,418;
031220;0100;234,534;
031220;0200;189,598;
031220;0300;266,266;
031220;0400;214,66;
031220;0500;190,319;
031220;0600;214,769;
031220;0700;215,287;
031220;0800;190,891;
031220;0900;258,349;
031220;1000;211,892;
031220;1100;220,488;
031220;1200;211,793;
031220;1300;207,886;
031220;1400;211,442;
031220;1500;221,245;
031220;1600;229,109;
031220;1700;225,825;
031220;1800;214,879;
031220;1900;188,106;
031220;2000;173,157;
031220;2100;167,353;
031220;2200;177,086;
031220;2300;211,375;
031221;0000;192,974;
031221;0100;189,629;
031221;0200;194,502;
031221;0300;174,751;
031221;0400;210,13;
031221;0500;188,441;
031221;0600;200,06;
031221;0700;213,391;
031221;0800;204,888;
031221;0900;265,323;
031221;1000;216,766;
031221;1100;212,71;
031221;1200;220,897;
031221;1300;222,315;
031221;1400;221,819;
031221;1500;220,237;
031221;1600;215,203;
031221;1700;221,633;
031221;1800;236,871;
031221;1900;245,057;
031221;2000;214,69;
031221;2100;210,369;
031221;2200;206,445;
031221;2300;212,236;
031222;0000;221,608;
031222;0100;225,417;
031222;0200;223,369;
031222;0300;236,566;
031222;0400;133,134;
031222;0500;132,463;
031222;0600;248,49;
031222;0700;301,635;
031222;0800;279,293;
031222;0900;229,975;
031222;1000;219,913;
031222;1100;221,618;
031222;1200;210,3;
031222;1300;209,864;
031222;1400;209,855;
031222;1500;216,398;
031222;1600;217,553;
031222;1700;223,631;
031222;1800;214,079;
031222;1900;207,624;
031222;2000;189,76;
031222;2100;189,58;
031222;2200;194,054;
031222;2300;175,69;
031223;0000;156,219;
031223;0100;220,251;
031223;0200;189,72;
031223;0300;176,621;
031223;0400;161,376;
031223;0500;57,8746;
031223;0600;294,767;
031223;0700;272,257;
031223;0800;214,522;
031223;0900;212,999;
031223;1000;215,613;
031223;1100;207,152;
031223;1200;217,584;
031223;1300;216,797;
031223;1400;219,637;
031223;1500;226,616;
031223;1600;232,197;
031223;1700;233,974;
031223;1800;209,707;
031223;1900;196,649;
031223;2000;183,105;
031223;2100;188,024;
031223;2200;188,444;
031223;2300;193,307;
031224;0000;199,033;
031224;0100;203,273;
031224;0200;198,137;
031224;0300;185,703;
031224;0400;205,641;
031224;0500;192,053;
031224;0600;192,757;
031224;0700;228,891;
031224;0800;213,642;
031224;0900;211,945;
031224;1000;212,198;
031224;1100;205,793;
031224;1200;214,597;
031224;1300;212,938;
031224;1400;209,72;
031224;1500;213,539;
031224;1600;210,805;
031224;1700;207,997;
031224;1800;200,007;
031224;1900;189,025;
031224;2000;183,67;
031224;2100;190,277;
031224;2200;191,255;
031224;2300;193,677;
031225;0000;204,686;
031225;0100;196,191;
031225;0200;183,621;
031225;0300;179,978;
031225;0400;186,114;
031225;0500;207,198;
031225;0600;204,825;
031225;0700;244,884;
031225;0800;248,994;
031225;0900;246,021;
031225;1000;221,796;
031225;1100;222,469;
031225;1200;222,112;
031225;1300;213,984;
031225;1400;218,742;
031225;1500;218,642;
031225;1600;224,943;
031225;1700;235,334;
031225;1800;220,499;
031225;1900;210,058;
031225;2000;189,956;
031225;2100;195,846;
031225;2200;199,681;
031225;2300;199,095;
031226;0000;188,867;
031226;0100;193,01;
031226;0200;199,536;
031226;0300;211,928;
031226;0400;196,269;
031226;0500;180,667;
031226;0600;213,837;
031226;0700;217,981;
031226;0800;241,792;
031226;0900;218,108;
031226;1000;209,381;
031226;1100;211,882;
031226;1200;212,589;
031226;1300;211,826;
031226;1400;218,901;
031226;1500;217,01;
031226;1600;224,334;
031226;1700;237,95;
031226;1800;230,877;
031226;1900;213,448;
031226;2000;207,445;
031226;2100;193,746;
031226;2200;189,829;
031226;2300;182,43;
031227;0000;187,411;
031227;0100;195,196;
031227;0200;206,78;
031227;0300;194,477;
031227;0400;201,612;
031227;0500;196,978;
031227;0600;208,45;
031227;0700;212,721;
031227;0800;213,416;
031227;0900;213,148;
031227;1000;213,603;
031227;1100;209,526;
031227;1200;214,054;
031227;1300;218,23;
031227;1400;223,129;
031227;1500;223,911;
031227;1600;221,162;
031227;1700;222,258;
031227;1800;222,175;
031227;1900;227,798;
031227;2000;207,318;
031227;2100;208,787;
031227;2200;214,223;
031227;2300;226,963;
031228;0000;231,31;
031228;0100;237,206;
031228;0200;223,991;
031228;0300;189,064;
031228;0400;160,418;
031228;0500;205,485;
031228;0600;257,22;
031228;0700;293,348;
031228;0800;299,038;
031228;0900;204,929;
031228;1000;214,717;
031228;1100;208,109;
031228;1200;205,483;
031228;1300;206,708;
031228;1400;215,595;
031228;1500;214,268;
031228;1600;209,727;
031228;1700;218,601;
031228;1800;230,662;
031228;1900;215,768;
031228;2000;196,382;
031228;2100;180,88;
031228;2200;182,318;
031228;2300;197,403;
031229;0000;197,759;
031229;0100;221,858;
031229;0200;206,098;
031229;0300;187,729;
031229;0400;180,994;
031229;0500;159,18;
031229;0600;278,448;
031229;0700;246,726;
031229;0800;246,698;
031229;0900;204,691;
031229;1000;214,683;
031229;1100;206,73;
031229;1200;215,735;
031229;1300;211,749;
031229;1400;213,772;
031229;1500;214,199;
031229;1600;220,943;
031229;1700;228,409;
031229;1800;208,295;
031229;1900;202,477;
031229;2000;173,107;
031229;2100;193,993;
031229;2200;187,65;
031229;2300;208,913;
031230;0000;199,611;
