FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
970404;0000;114,917;;;
970405;0000;102,5;;;
970406;0000;64,6666;;;
970407;0000;79,9166;;;
970408;0000;84,2916;;;
970409;0000;159,542;;;
970410;0000;233,167;;;
970411;0000;189,833;;;
970412;0000;130,25;;;
970413;0000;119,75;;;
970414;0000;104,042;;;
970415;0000;88,25;;;
970416;0000;64,7916;;;
970417;0000;127,958;;;
970418;0000;129,833;;;
970419;0000;91,0416;;;
970420;0000;120,917;;;
970421;0000;79,7083;;;
970422;0000;165,875;;;
970423;0000;129,542;;;
970424;0000;51,375;;;
970425;0000;163,042;;;
970426;0000;201,458;;;
970427;0000;178,833;;;
970428;0000;252,333;;;
970429;0000;205,917;;;
970430;0000;148,833;;;
970501;0000;130,318;;;
970502;0000;174,636;;;
970503;0000;233,083;;;
970504;0000;145,833;;;
970505;0000;175,833;;;
970506;0000;346,333;;;
970507;0000;235,083;;;
970508;0000;163,333;;;
970509;0000;214,375;;;
970510;0000;242,583;;;
970511;0000;197,167;;;
970512;0000;90,5;;;
970513;0000;142;;;
970514;0000;146,782;;;
970515;0000;154,625;;;
970516;0000;93,5833;;;
970517;0000;94,0833;;;
970518;0000;20,5;;;
970519;0000;66,875;;;
970520;0000;95,4166;;;
970521;0000;67,375;;;
970522;0000;249,625;;;
970523;0000;246,167;;;
970524;0000;313,417;;;
970525;0000;182,905;;;
970526;0000;126,75;;;
970527;0000;212,083;;;
970528;0000;200,792;;;
970529;0000;14,2917;;;
970530;0000;;;;
970531;0000;85,1666;;;
970601;0000;164,167;;;
970602;0000;106,375;;;
970603;0000;;;;
970604;0000;;;;
970605;0000;59,1364;;;
970606;0000;239,958;;;
970607;0000;220,375;;;
970608;0000;168;;;
970609;0000;148,042;;;
970610;0000;138,083;;;
970611;0000;35,875;;;
970612;0000;13,25;;;
970613;0000;64,625;;;
970614;0000;44,9166;;;
970615;0000;61,0416;;;
970616;0000;79,0416;;;
970617;0000;77,5833;;;
970618;0000;52,7916;;;
970619;0000;65,125;;;
970620;0000;8,20833;;;
970621;0000;14,2273;;;
970622;0000;15,7917;;;
970623;0000;34,2916;;;
970624;0000;82,7916;;;
970625;0000;109,375;;;
970626;0000;102,792;;;
970627;0000;144,5;;;
970628;0000;175,708;;;
970629;0000;252,375;;;
970630;0000;311,875;;;
970701;0000;211,25;;;
970702;0000;143,5;;;
970703;0000;152,625;;;
970704;0000;277,458;;;
970705;0000;177,292;;;
970706;0000;108,958;;;
970707;0000;91,875;;;
970708;0000;177,417;;;
970709;0000;147,042;;;
970710;0000;132,875;;;
970711;0000;111,125;;;
970712;0000;31,5833;;;
970713;0000;170,333;;;
970714;0000;187,042;;;
970715;0000;129,458;;;
970716;0000;226,083;;;
970717;0000;248,708;;;
970718;0000;274,583;;;
970719;0000;308,667;;;
970720;0000;235,917;;;
970721;0000;139,375;;;
970722;0000;236,5;;;
970723;0000;278,5;;;
970724;0000;269,042;;;
970725;0000;232,292;;;
970726;0000;251,958;;;
970727;0000;148,428;;;
970728;0000;31;;;
970729;0000;48,875;;;
970730;0000;8,66666;;;
970731;0000;25,7917;;;
970801;0000;47,5833;;;
970802;0000;85,9166;;;
970803;0000;111,25;;;
970804;0000;159,524;;;
970805;0000;162,625;;;
970806;0000;220,125;;;
970807;0000;270,25;;;
970808;0000;252,5;;;
970809;0000;198,75;;;
970810;0000;174,667;;;
970811;0000;192,625;;;
970812;0000;181,143;;;
970813;0000;70,2083;;;
970814;0000;122,708;;;
970815;0000;;;;
970816;0000;;;;
970817;0000;9,29166;;;
970818;0000;16,4583;;;
970819;0000;51,625;;;
970820;0000;105,542;;;
970821;0000;151,208;;;
970822;0000;148,208;;;
970823;0000;134,667;;;
970824;0000;145,375;;;
970825;0000;164,25;;;
970826;0000;194,958;;;
970827;0000;190,667;;;
970828;0000;170,75;;;
970829;0000;109,375;;;
970830;0000;60,875;;;
970831;0000;41,6522;;;
970901;0000;58,4166;;;
970902;0000;69,8333;;;
970903;0000;21,75;;;
970904;0000;31,6667;;;
970905;0000;68,2083;;;
970906;0000;52,0833;;;
970907;0000;16,3333;;;
970908;0000;31,1739;;;
970909;0000;38,5;;;
970910;0000;78,5833;;;
970911;0000;35,1428;;;
970912;0000;;;;
970913;0000;;;;
970914;0000;78,7083;;;
970915;0000;192,625;;;
970916;0000;187,375;;;
970917;0000;174,458;;;
970918;0000;63,1666;;;
970919;0000;44,75;;;
970920;0000;56,8333;;;
970921;0000;45,5;;;
970922;0000;32,2609;;;
970923;0000;40,4166;;;
970924;0000;53,875;;;
970925;0000;112,083;;;
970926;0000;96,5;;;
970927;0000;20,4167;;;
970928;0000;55,875;;;
970929;0000;72,375;;;
970930;0000;49,2083;;;
971001;0000;76,8333;;;
971002;0000;27,2917;;;
971003;0000;28,875;;;
971004;0000;19,875;;;
971005;0000;39,6666;;;
971006;0000;73,25;;;
971007;0000;89,4583;;;
971008;0000;62,5;;;
971009;0000;57,3333;;;
971010;0000;54,2083;;;
971011;0000;62,8333;;;
971012;0000;43,2916;;;
971013;0000;21,1818;;;
971014;0000;41,625;;;
971015;0000;48,5416;;;
971016;0000;62,5;;;
971017;0000;61,5;;;
971018;0000;47,6666;;;
971019;0000;42,5833;;;
971020;0000;60,6666;;;
971021;0000;70,2916;;;
971022;0000;55,75;;;
971023;0000;82,5833;;;
971024;0000;70,2083;;;
971025;0000;39,75;;;
971026;0000;34,125;;;
971027;0000;46,125;;;
971028;0000;42,0416;;;
971029;0000;54,75;;;
971030;0000;55,875;;;
971031;0000;105,833;;;
971101;0000;70,7083;;;
971102;0000;53,5833;;;
971103;0000;56,1666;;;
971104;0000;67;;;
971105;0000;110,292;;;
971106;0000;127,292;;;
971107;0000;84,0416;;;
971108;0000;87,1666;;;
971109;0000;91,6666;;;
971110;0000;37,5833;;;
971111;0000;65,4583;;;
971112;0000;;;;
971113;0000;59,0435;;;
971114;0000;68,0416;;;
971115;0000;60,25;;;
971116;0000;44,7916;;;
971117;0000;63,7916;;;
971118;0000;70,9583;;;
971119;0000;57,25;;;
971120;0000;59,375;;;
971121;0000;83,75;;;
971122;0000;82,125;;;
971123;0000;67,5833;;;
971124;0000;69,5416;;;
971125;0000;50,0416;;;
971126;0000;50,4166;;;
971127;0000;82,2916;;;
971128;0000;80,5416;;;
971129;0000;75,4583;;;
971130;0000;68,7916;;;
971201;0000;73,5;;;
971202;0000;81;;;
971203;0000;92,125;;;
971204;0000;98,8333;;;
971205;0000;95,4166;;;
971206;0000;98,9166;;;
971207;0000;88,3333;;;
971208;0000;81,9166;;;
971209;0000;76,625;;;
971210;0000;79,7083;;;
971211;0000;84,25;;;
971212;0000;36,5833;;;
971213;0000;86,375;;;
971214;0000;89,0416;;;
971215;0000;76,5833;;;
971216;0000;65,25;;;
971217;0000;61,25;;;
971218;0000;68,1666;;;
971219;0000;70,125;;;
971220;0000;61;;;
971221;0000;53,25;;;
971222;0000;62,625;;;
971223;0000;70,75;;;
971224;0000;91,85;;;
971225;0000;97,2999;;;
971226;0000;52,75;;;
971227;0000;54,625;;;
971228;0000;64,5416;;;
971229;0000;69,4166;;;
971230;0000;83,7083;;;
971231;0000;52,8333;;;
980101;0000;77;;;
980102;0000;67,4166;;;
980103;0000;73,2916;;;
980104;0000;76,5416;;;
980105;0000;80,4583;;;
980106;0000;84,7083;;;
980107;0000;116,708;;;
980108;0000;113,208;;;
980109;0000;83,7083;;;
980110;0000;88,0833;;;
980111;0000;86,5833;;;
980112;0000;102,708;;;
980113;0000;104,333;;;
980114;0000;91,125;;;
980115;0000;65,875;;;
980116;0000;106,417;;;
980117;0000;99,125;;;
980118;0000;104,583;;;
980119;0000;67,4166;;;
980120;0000;86,5833;;;
980121;0000;;;;
980122;0000;;;;
980123;0000;;;;
980124;0000;;;;
980125;0000;;;;
980126;0000;;;;
980127;0000;;;;
980128;0000;96,2856;;;
980129;0000;84,7916;;;
980130;0000;96,2083;;;
980131;0000;98,5833;;;
980201;0000;82,5;;;
980202;0000;51,4583;;;
980203;0000;92,4166;;;
980204;0000;64,8333;;;
980205;0000;79,375;;;
980206;0000;82,5;;;
980207;0000;92,6666;;;
980208;0000;85,5416;;;
980209;0000;90,1428;;;
980210;0000;102,042;;;
980211;0000;84,5416;;;
980212;0000;89,2083;;;
980213;0000;88,6666;;;
980214;0000;101,125;;;
980215;0000;69,9166;;;
980216;0000;45,4583;;;
980217;0000;71,826;;;
980218;0000;92,2916;;;
980219;0000;61,3333;;;
980220;0000;69,875;;;
980221;0000;61,0833;;;
980222;0000;61,4583;;;
980223;0000;57,5833;;;
980224;0000;66,5;;;
980225;0000;81,1666;;;
980226;0000;109,542;;;
980227;0000;137,75;;;
980228;0000;126,042;;;
980301;0000;76,9583;;;
980302;0000;52,7916;;;
980303;0000;69,375;;;
980304;0000;51,2083;;;
980305;0000;70,375;;;
980306;0000;121,542;;;
980307;0000;116,875;;;
980308;0000;133,125;;;
980309;0000;124,333;;;
980310;0000;163;;;
980311;0000;103,958;;;
980312;0000;91,9583;;;
980313;0000;108,208;;;
980314;0000;103,917;;;
980315;0000;68,5833;;;
980316;0000;68,0833;;;
980317;0000;67;;;
980318;0000;100,917;;;
980319;0000;124,167;;;
980320;0000;128,417;;;
980321;0000;112,542;;;
980322;0000;178,125;;;
980323;0000;143,333;;;
980324;0000;207,917;;;
980325;0000;209,542;;;
980326;0000;91;;;
980327;0000;99,5833;;;
980328;0000;108,875;;;
980329;0000;151,458;;;
980330;0000;151,75;;;
980331;0000;97,125;;;
980401;0000;146,125;;;
980402;0000;150,042;;;
980403;0000;69,0952;;;
980404;0000;66,4583;;;
980405;0000;87,0833;;;
980406;0000;135,167;;;
980407;0000;211,083;;;
980408;0000;166,167;;;
980409;0000;63,875;;;
980410;0000;19,3333;;;
980411;0000;36,0416;;;
980412;0000;31,3333;;;
980413;0000;46,3333;;;
980414;0000;48,4583;;;
980415;0000;68,6666;;;
980416;0000;176;;;
980417;0000;216,727;;;
980418;0000;209,917;;;
980419;0000;165,042;;;
980420;0000;135,625;;;
980421;0000;76,8333;;;
980422;0000;88,375;;;
980423;0000;131,958;;;
980424;0000;139,042;;;
980425;0000;102,5;;;
980426;0000;35,75;;;
980427;0000;91,5416;;;
980428;0000;228,652;;;
980429;0000;267,625;;;
980430;0000;148,333;;;
980501;0000;179,583;;;
980502;0000;156,542;;;
980503;0000;138,375;;;
980504;0000;137,708;;;
980505;0000;229,75;;;
980506;0000;189,958;;;
980507;0000;158,417;;;
980508;0000;200,5;;;
980509;0000;142,417;;;
980510;0000;55,6666;;;
980511;0000;73,4166;;;
980512;0000;58,75;;;
980513;0000;75,5;;;
980514;0000;153,833;;;
980515;0000;241,167;;;
980516;0000;335,458;;;
980517;0000;281,792;;;
980518;0000;183,375;;;
980519;0000;153,292;;;
980520;0000;126,542;;;
980521;0000;171,667;;;
980522;0000;164,708;;;
980523;0000;104,333;;;
980524;0000;63,4166;;;
980525;0000;54,5416;;;
980526;0000;157,125;;;
980527;0000;134,417;;;
980528;0000;78,5833;;;
980529;0000;135,125;;;
980530;0000;160,833;;;
980531;0000;150,792;;;
980601;0000;237,667;;;
980602;0000;257,5;;;
980603;0000;169,208;;;
980604;0000;110,333;;;
980605;0000;92,25;;;
980606;0000;80,9166;;;
980607;0000;172,125;;;
980608;0000;111;;;
980609;0000;92,7916;;;
980610;0000;69,9583;;;
980611;0000;180,292;;;
980612;0000;146,792;;;
980613;0000;137,25;;;
980614;0000;65,0416;;;
980615;0000;55,1666;;;
980616;0000;72,9583;;;
980617;0000;98,2916;;;
980618;0000;123,792;;;
980619;0000;56,2916;;;
980620;0000;104,5;;;
980621;0000;133,167;;;
980622;0000;91,4166;;;
980623;0000;203,125;;;
980624;0000;286,917;;;
980625;0000;165,333;;;
980626;0000;176,652;;;
980627;0000;292,25;;;
980628;0000;101,917;;;
980629;0000;146,958;;;
980630;0000;142,708;;;
980701;0000;102,792;;;
980702;0000;148,958;;;
980703;0000;178,083;;;
980704;0000;118,708;;;
980705;0000;94,2916;;;
980706;0000;69,875;;;
980707;0000;56,625;;;
980708;0000;141,75;;;
980709;0000;209;;;
980710;0000;184,375;;;
980711;0000;108,375;;;
980712;0000;77,5416;;;
980713;0000;78,6666;;;
980714;0000;88,7083;;;
980715;0000;146,792;;;
980716;0000;99,4166;;;
980717;0000;124,208;;;
980718;0000;186,708;;;
980719;0000;128,708;;;
980720;0000;101,25;;;
980721;0000;92;;;
980722;0000;;;;
980723;0000;;;;
980724;0000;109,458;;;
980725;0000;159,125;;;
980726;0000;145,625;;;
980727;0000;173,583;;;
980728;0000;153,375;;;
980729;0000;137,217;;;
980730;0000;76;;;
980731;0000;149,167;;;
980801;0000;207,905;;;
980802;0000;138,292;;;
980803;0000;98,1578;;;
980804;0000;151,375;;;
980805;0000;134,25;;;
980806;0000;99,75;;;
980807;0000;53,25;;;
980808;0000;85,0833;;;
980809;0000;78;;;
980810;0000;66;;;
980811;0000;118,5;;;
980812;0000;120,375;;;
980813;0000;121,25;;;
980814;0000;107,875;;;
980815;0000;158,458;;;
980816;0000;128,5;;;
980817;0000;77,6666;;;
980818;0000;86,9166;;;
980819;0000;64,9166;;;
980820;0000;111,583;;;
980821;0000;123,458;;;
980822;0000;71,9583;;;
980823;0000;64,25;;;
