FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
000101;0000;4,69582;;;
000102;0000;1,81667;;;
000103;0000;2,25833;;;
000104;0000;5,71666;;;
000105;0000;9,3739;;;
000106;0000;5,83333;;;
000107;0000;7,42499;;;
000108;0000;7,03749;;;
000109;0000;3,95416;;;
000110;0000;10,15;;;
000111;0000;9,96663;;;
000112;0000;5,32082;;;
000113;0000;5,52083;;;
000114;0000;4,22083;;;
000115;0000;2,70833;;;
000116;0000;2,15833;;;
000117;0000;1,97619;;;
000118;0000;5,43749;;;
000119;0000;9,84583;;;
000120;0000;6,33749;;;
000121;0000;3,3;;;
000122;0000;4,62083;;;
000123;0000;8,16249;;;
000124;0000;10,2125;;;
000125;0000;14,8375;;;
000126;0000;13,7791;;;
000127;0000;7,63748;;;
000128;0000;6,02499;;;
000129;0000;8,41249;;;
000130;0000;4,53333;;;
000131;0000;7,74166;;;
000201;0000;5,33749;;;
000202;0000;6,03333;;;
000203;0000;8,85832;;;
000204;0000;4,80833;;;
000205;0000;3,2875;;;
000206;0000;5,04166;;;
000207;0000;6,30416;;;
000208;0000;7,26666;;;
000209;0000;11,7666;;;
000210;0000;7,5375;;;
000211;0000;11,325;;;
000212;0000;11,02;;;
000213;0000;19,15;;;
000214;0000;14,525;;;
000215;0000;5,59999;;;
000216;0000;9,17915;;;
000217;0000;5,72499;;;
000218;0000;5,06249;;;
000219;0000;4,95833;;;
000220;0000;3,25416;;;
000221;0000;11,6348;;;
000222;0000;1,63333;;;
000223;0000;7,14165;;;
000224;0000;5,13809;;;
000225;0000;14,0667;;;
000226;0000;6,34999;;;
000227;0000;6,10832;;;
000228;0000;21,1666;;;
000229;0000;16,2291;;;
000301;0000;10,9166;;;
000302;0000;10,425;;;
000303;0000;13,5667;;;
000304;0000;15,4;;;
000305;0000;17,8542;;;
000306;0000;25,9625;;;
000307;0000;12,4583;;;
000308;0000;11,6792;;;
000309;0000;8,46666;;;
000310;0000;16,1583;;;
000311;0000;11,2;;;
000312;0000;7,55;;;
000313;0000;9,89165;;;
000314;0000;18,0541;;;
000315;0000;25,8791;;;
000316;0000;19,1125;;;
000317;0000;21,725;;;
000318;0000;24,9166;;;
000319;0000;7,64582;;;
000320;0000;13,3958;;;
000321;0000;59,7869;;;
000322;0000;67,2041;;;
000323;0000;15,3833;;;
000324;0000;30,8166;;;
000325;0000;25,9958;;;
000326;0000;20,2416;;;
000327;0000;19,225;;;
000328;0000;34,8375;;;
000329;0000;27,5291;;;
000330;0000;24,6333;;;
000331;0000;47,1499;;;
000401;0000;67,0332;;;
000402;0000;8,23332;;;
000403;0000;20,0652;;;
000404;0000;29,25;;;
000405;0000;43,0958;;;
000406;0000;13,3167;;;
000407;0000;7,46666;;;
000408;0000;15,1625;;;
000409;0000;20,0166;;;
000410;0000;22,4541;;;
000411;0000;102,448;;;
000412;0000;122,012;;;
000413;0000;37,6249;;;
000414;0000;49,0416;;;
000415;0000;35,5958;;;
000416;0000;34,8541;;;
000417;0000;57,6749;;;
000418;0000;137,279;;;
000419;0000;50,7956;;;
000420;0000;30,9666;;;
000421;0000;78,8875;;;
000422;0000;108,896;;;
000423;0000;99,5874;;;
000424;0000;8,42607;;;
000425;0000;27,0041;;;
000426;0000;35,1458;;;
000427;0000;34,3458;;;
000428;0000;155,9;;;
000429;0000;168,679;;;
000430;0000;29,7625;;;
000501;0000;9,72916;;;
000502;0000;13,75;;;
000503;0000;11,7917;;;
000504;0000;56,1041;;;
000505;0000;173,083;;;
000506;0000;241,375;;;
000507;0000;123,783;;;
000508;0000;76,339;;;
000509;0000;59,8083;;;
000510;0000;22,5166;;;
000511;0000;63,0166;;;
000512;0000;98,2582;;;
000513;0000;15,4958;;;
000514;0000;21,9474;;;
000515;0000;;;;
000516;0000;121,487;;;
000517;0000;177,837;;;
000518;0000;48,6124;;;
000519;0000;82,5374;;;
000520;0000;125,529;;;
000521;0000;123,467;;;
000522;0000;111,004;;;
000523;0000;22,9;;;
000524;0000;71,6957;;;
000525;0000;98,8749;;;
000526;0000;128,358;;;
000527;0000;241,296;;;
000528;0000;124,067;;;
000529;0000;146;;;
000530;0000;171,621;;;
000531;0000;147,183;;;
000601;0000;132,254;;;
000602;0000;155,613;;;
000603;0000;103,804;;;
000604;0000;57,9;;;
000605;0000;50,7458;;;
000606;0000;34,959;;;
000607;0000;74,7207;;;
000608;0000;122,875;;;
000609;0000;132,912;;;
000610;0000;77,9707;;;
000611;0000;101,596;;;
000612;0000;25,65;;;
000613;0000;11,9458;;;
000614;0000;12,2791;;;
000615;0000;23,1416;;;
000616;0000;86,3582;;;
000617;0000;96,4374;;;
000618;0000;127,083;;;
000619;0000;73,5499;;;
000620;0000;60,3666;;;
000621;0000;141,329;;;
000622;0000;171,761;;;
000623;0000;83,3666;;;
000624;0000;16,1791;;;
000625;0000;53,775;;;
000626;0000;89,9374;;;
000627;0000;24,9;;;
000628;0000;77,1541;;;
000629;0000;81,4541;;;
000630;0000;114,208;;;
000701;0000;32,075;;;
000702;0000;80,1332;;;
000703;0000;130,612;;;
000704;0000;255,733;;;
000705;0000;246,35;;;
000706;0000;53,7916;;;
000707;0000;45,8291;;;
000708;0000;16,9166;;;
000709;0000;24,4875;;;
000710;0000;100,492;;;
000711;0000;135,779;;;
000712;0000;249,17;;;
000713;0000;358,041;;;
000714;0000;206,225;;;
000715;0000;176,021;;;
000716;0000;149,837;;;
000717;0000;109,265;;;
000718;0000;102,956;;;
000719;0000;192,662;;;
000720;0000;141,958;;;
000721;0000;26,45;;;
000722;0000;106,346;;;
000723;0000;171,604;;;
000724;0000;266,774;;;
000725;0000;248,012;;;
000726;0000;214,421;;;
000727;0000;138,229;;;
000728;0000;133,525;;;
000729;0000;72,3707;;;
000730;0000;86,0374;;;
000731;0000;39,3916;;;
000801;0000;32,3166;;;
000802;0000;138,479;;;
000803;0000;222,112;;;
000804;0000;15,4958;;;
000805;0000;35,6;;;
000806;0000;55,3374;;;
000807;0000;71,2623;;;
000808;0000;152,179;;;
000809;0000;84,5332;;;
000810;0000;70,6041;;;
000811;0000;25,5583;;;
000812;0000;49,4999;;;
000813;0000;26,675;;;
000814;0000;24,7791;;;
000815;0000;;;;
000816;0000;89,3707;;;
000817;0000;162,896;;;
000818;0000;165,654;;;
000819;0000;56,4999;;;
000820;0000;29,3541;;;
000821;0000;33,15;;;
000822;0000;61,3571;;;
000823;0000;38,5249;;;
000824;0000;38,95;;;
000825;0000;39,0208;;;
000826;0000;32,0624;;;
000827;0000;13,6375;;;
000828;0000;53,2999;;;
000829;0000;43,7958;;;
000830;0000;28,8499;;;
000831;0000;72,4041;;;
000901;0000;74,5582;;;
000902;0000;65,2958;;;
000903;0000;84,129;;;
000904;0000;6,40415;;;
000905;0000;9,68748;;;
000906;0000;20,1458;;;
000907;0000;28,1291;;;
000908;0000;58,0791;;;
000909;0000;16,275;;;
000910;0000;13,1625;;;
000911;0000;38,4541;;;
000912;0000;33,6208;;;
000913;0000;;;;
000914;0000;57,4999;;;
000915;0000;17,1042;;;
000916;0000;28,7541;;;
000917;0000;46,15;;;
000918;0000;17,125;;;
000919;0000;27,1416;;;
000920;0000;18,5875;;;
000921;0000;50,7583;;;
000922;0000;69,6791;;;
000923;0000;7,76249;;;
000924;0000;11,8583;;;
000925;0000;45,7958;;;
000926;0000;79,8333;;;
000927;0000;30,1292;;;
000928;0000;4,91304;;;
000929;0000;14,5166;;;
000930;0000;24,1458;;;
001001;0000;4,325;;;
001002;0000;4,23333;;;
001003;0000;7,32916;;;
001004;0000;14,1208;;;
001005;0000;;;;
001006;0000;24,3791;;;
001007;0000;22,2542;;;
001008;0000;2,6625;;;
001009;0000;5,4875;;;
001010;0000;10,0708;;;
001011;0000;15,3944;;;
001012;0000;12,0333;;;
001013;0000;27,4875;;;
001014;0000;14,4917;;;
001015;0000;8,71249;;;
001016;0000;28,3916;;;
001017;0000;10,8542;;;
001018;0000;9,82915;;;
001019;0000;9,79999;;;
001020;0000;18,0708;;;
001021;0000;5,08749;;;
001022;0000;4,175;;;
001023;0000;6,45833;;;
001024;0000;7,19582;;;
001025;0000;9,32915;;;
001026;0000;33,15;;;
001027;0000;30,7875;;;
001028;0000;22,375;;;
001029;0000;7,01249;;;
001030;0000;4,53749;;;
001031;0000;12,2167;;;
001101;0000;4,85416;;;
001102;0000;16,4333;;;
001103;0000;6,37083;;;
001104;0000;18,925;;;
001105;0000;6,07915;;;
001106;0000;9,70415;;;
001107;0000;19,2833;;;
001108;0000;16,3666;;;
001109;0000;21,6166;;;
001110;0000;15,6542;;;
001111;0000;11,7375;;;
001112;0000;5,89999;;;
001113;0000;14,6125;;;
001114;0000;10,9541;;;
001115;0000;24,7291;;;
001116;0000;14,0083;;;
001117;0000;14,0625;;;
001118;0000;10,35;;;
001119;0000;9,60832;;;
001120;0000;14,5208;;;
001121;0000;25,2333;;;
001122;0000;20,3083;;;
001123;0000;15,8125;;;
001124;0000;13,8583;;;
001125;0000;13,5667;;;
001126;0000;7,59583;;;
001127;0000;8,53333;;;
001128;0000;13,9304;;;
001129;0000;15,1;;;
001130;0000;19,1458;;;
001201;0000;16,1826;;;
001202;0000;7,1125;;;
001203;0000;7,84999;;;
001204;0000;10,4375;;;
001205;0000;13,2708;;;
001206;0000;10,3958;;;
001207;0000;13,6409;;;
001208;0000;9,76665;;;
001209;0000;8,72916;;;
001210;0000;5,32916;;;
001211;0000;13,75;;;
001212;0000;14,1292;;;
001213;0000;6,90416;;;
001214;0000;7,30416;;;
001215;0000;8,21666;;;
001216;0000;13,0416;;;
001217;0000;13,3625;;;
001218;0000;6,85833;;;
001219;0000;8,7238;;;
001220;0000;10,4458;;;
001221;0000;5,49583;;;
001222;0000;16,475;;;
001223;0000;16,2875;;;
001224;0000;11,2333;;;
001225;0000;8,07915;;;
001226;0000;9,32498;;;
001227;0000;11,35;;;
001228;0000;8,89581;;;
001229;0000;19,5042;;;
001230;0000;21,3166;;;
001231;0000;5,01666;;;
010101;0000;11,2792;;;
010102;0000;13,1667;;;
010103;0000;10,6042;;;
010104;0000;13,8708;;;
010105;0000;16,5583;;;
010106;0000;12,9875;;;
010107;0000;9,36249;;;
010108;0000;10,4875;;;
010109;0000;13,25;;;
010110;0000;13,1583;;;
010111;0000;18,2791;;;
010112;0000;18,7166;;;
010113;0000;13,6792;;;
010114;0000;14,8;;;
010115;0000;18,4291;;;
010116;0000;16,5833;;;
010117;0000;15,0208;;;
010118;0000;18,4958;;;
010119;0000;28,4791;;;
010120;0000;18,7208;;;
010121;0000;14,0208;;;
010122;0000;14,475;;;
010123;0000;18,6958;;;
010124;0000;13,4708;;;
010125;0000;16,5708;;;
010126;0000;27,4708;;;
010127;0000;13,725;;;
010128;0000;11,6958;;;
010129;0000;12,8042;;;
010130;0000;16,3958;;;
010131;0000;19,5166;;;
010201;0000;20,2791;;;
010202;0000;15,9916;;;
010203;0000;11,575;;;
010204;0000;9,20833;;;
010205;0000;15,2917;;;
010206;0000;28,5166;;;
010207;0000;19,475;;;
010208;0000;20,5416;;;
010209;0000;11,9;;;
010210;0000;14,9125;;;
010211;0000;11,5958;;;
010212;0000;24,0875;;;
010213;0000;12,4458;;;
010214;0000;25,8;;;
010215;0000;23,4083;;;
010216;0000;26,1249;;;
010217;0000;13,1625;;;
010218;0000;9,42082;;;
010219;0000;16,3375;;;
010220;0000;75,1416;;;
010221;0000;38,4083;;;
010222;0000;19,7083;;;
010223;0000;19,4208;;;
010224;0000;34,6583;;;
010225;0000;26,1791;;;
010226;0000;26,8041;;;
010227;0000;25,2083;;;
010228;0000;25,5416;;;
010301;0000;22,9041;;;
010302;0000;32,4208;;;
010303;0000;42,0166;;;
010304;0000;22,2416;;;
010305;0000;29,9708;;;
010306;0000;32,0958;;;
010307;0000;31,9666;;;
010308;0000;41,1625;;;
010309;0000;19,1125;;;
010310;0000;22,6541;;;
010311;0000;29,1083;;;
010312;0000;18,6333;;;
010313;0000;26,9333;;;
010314;0000;30,1624;;;
010315;0000;39,5374;;;
010316;0000;26,475;;;
