FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
040101;0000;;;12,32;
040102;0000;;;12,962;
040103;0000;;;12,9477;
040104;0000;;;9,95589;
040105;0000;;;11,1563;
040106;0000;;;11,0931;
040107;0000;;;12,0039;
040108;0000;;;13,295;
040109;0000;;;15,9813;
040110;0000;;;12,4569;
040111;0000;;;14,7317;
040112;0000;;;15,4329;
040113;0000;;;14,657;
040114;0000;;;11,8322;
040115;0000;;;;
040116;0000;;;12,3398;
040117;0000;;;12,2619;
040118;0000;;;10,4312;
040119;0000;;;10,0988;
040120;0000;;;9,19423;
040121;0000;;;11,9986;
040122;0000;;;;
040123;0000;;;12,138;
040124;0000;;;13,9689;
040125;0000;;;10,2722;
040126;0000;;;8,23132;
040127;0000;;;11,1779;
040128;0000;;;11,2407;
040129;0000;;;10,1269;
040130;0000;;;10,0899;
040131;0000;;;13,1596;
040201;0000;;;;
040202;0000;;;13,0477;
040203;0000;;;16,3046;
040204;0000;;;17,5799;
040205;0000;;;;
040206;0000;;;14,4298;
040207;0000;;;11,1305;
040208;0000;;;10,2126;
040209;0000;;;17,2083;
040210;0000;;;17,309;
040211;0000;;;10,3336;
040212;0000;;;15,0035;
040213;0000;;;16,5475;
040214;0000;;;17,5259;
040215;0000;;;14,0872;
040216;0000;;;11,5759;
040217;0000;;;13,4404;
040218;0000;;;20,072;
040219;0000;;;21,3512;
040220;0000;;;13,1983;
040221;0000;;;14,9299;
040222;0000;;;12,6437;
040223;0000;;;12,8017;
040224;0000;;;12,1368;
040225;0000;;;11,6858;
040226;0000;;;14,2574;
040227;0000;;;9,88387;
040228;0000;;;13,21;
040229;0000;;;10,0207;
040301;0000;;;8,85379;
040302;0000;;;17,1722;
040303;0000;;;22,5649;
040304;0000;;;16,5924;
040305;0000;;;;
040306;0000;;;13,8133;
040307;0000;;;17,6259;
040308;0000;;;17,4856;
040309;0000;;;14,3549;
040310;0000;;;18,5769;
040311;0000;;;14,8223;
040312;0000;;;18,8077;
040313;0000;;;;
040314;0000;;;13,5815;
040315;0000;;;21,2545;
040316;0000;;;19,972;
040317;0000;;;16,3213;
040318;0000;;;23,4645;
040319;0000;;;27,3121;
040320;0000;;;28,9254;
040321;0000;;;25,5175;
040322;0000;;;23,0888;
040323;0000;;;22,9662;
040324;0000;;;26,7715;
040325;0000;;;28,4158;
040326;0000;;;;
040327;0000;;;24,3811;
040328;0000;;;13,9813;
040329;0000;;;15,8526;
040330;0000;;;16,3879;
040331;0000;;;12,852;
040401;0000;;;;
040402;0000;;;28,1449;
040403;0000;;;23,6235;
040404;0000;;;16,6034;
040405;0000;;;15,6508;
040406;0000;;;19,2263;
040407;0000;;;24,9216;
040408;0000;;;27,4951;
040409;0000;;;25,5542;
040410;0000;;;20,4414;
040411;0000;;;17,5702;
040412;0000;;;18,5327;
040413;0000;;;11,2402;
040414;0000;;;16,3059;
040415;0000;;;15,5019;
040416;0000;;;21,7349;
040417;0000;;;26,3064;
040418;0000;;;17,1898;
040419;0000;;;27,6104;
040420;0000;;;36,8085;
040421;0000;;;19,8066;
040422;0000;;;14,1986;
040423;0000;;;20,6451;
040424;0000;;;;
040425;0000;;;17,303;
040426;0000;;;26,0679;
040427;0000;;;19,384;
040428;0000;;;22,2177;
040429;0000;;;26,9698;
040430;0000;;;38,4;
040501;0000;;;32,0408;
