FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
000101;0000;14,4875;;;
000102;0000;10,6083;;;
000103;0000;11,4125;;;
000104;0000;17,2291;;;
000105;0000;19,9087;;;
000106;0000;16,8;;;
000107;0000;18,1833;;;
000108;0000;17,1125;;;
000109;0000;15,025;;;
000110;0000;24,1042;;;
000111;0000;23,375;;;
000112;0000;16,3416;;;
000113;0000;14,225;;;
000114;0000;12,8916;;;
000115;0000;10,4167;;;
000116;0000;9,91248;;;
000117;0000;11,1238;;;
000118;0000;18,6;;;
000119;0000;23,6666;;;
000120;0000;18,6625;;;
000121;0000;15,0417;;;
000122;0000;16,8416;;;
000123;0000;20,3041;;;
000124;0000;22,3;;;
000125;0000;31,0583;;;
000126;0000;30,4;;;
000127;0000;21,4666;;;
000128;0000;17,8916;;;
000129;0000;17,125;;;
000130;0000;13,1083;;;
000131;0000;18,7125;;;
000201;0000;14,3375;;;
000202;0000;15,2917;;;
000203;0000;19,4875;;;
000204;0000;14,6458;;;
000205;0000;12,5083;;;
000206;0000;14,5833;;;
000207;0000;16,8291;;;
000208;0000;19,2791;;;
000209;0000;22,5833;;;
000210;0000;17,2958;;;
000211;0000;21,0333;;;
000212;0000;21,75;;;
000213;0000;30,8708;;;
000214;0000;30,1375;;;
000215;0000;18,8333;;;
000216;0000;21,2458;;;
000217;0000;17,4041;;;
000218;0000;18,6625;;;
000219;0000;17,5291;;;
000220;0000;15,2;;;
000221;0000;25,1782;;;
000222;0000;13,3833;;;
000223;0000;20,7791;;;
000224;0000;20,9857;;;
000225;0000;27,625;;;
000226;0000;19,0166;;;
000227;0000;17,7292;;;
000228;0000;38,5333;;;
000229;0000;33,2291;;;
000301;0000;26,0875;;;
000302;0000;25,6208;;;
000303;0000;33,7208;;;
000304;0000;37,6749;;;
000305;0000;39,6332;;;
000306;0000;47,3291;;;
000307;0000;33,3749;;;
000308;0000;27,7291;;;
000309;0000;26,8524;;;
000310;0000;34,7458;;;
000311;0000;27,1125;;;
000312;0000;19,1625;;;
000313;0000;22,9625;;;
000314;0000;36,025;;;
000315;0000;43,3333;;;
000316;0000;33,4291;;;
000317;0000;42,4166;;;
000318;0000;47,3457;;;
000319;0000;22,3416;;;
000320;0000;29,95;;;
000321;0000;85,6912;;;
000322;0000;90,4707;;;
000323;0000;31,8541;;;
000324;0000;54,6666;;;
000325;0000;48,4;;;
000326;0000;35,9166;;;
000327;0000;34,65;;;
000328;0000;65,4707;;;
000329;0000;56,9416;;;
000330;0000;48,4708;;;
000331;0000;72,2083;;;
000401;0000;92,3707;;;
000402;0000;22,125;;;
000403;0000;36,4434;;;
000404;0000;49,7875;;;
000405;0000;68,5748;;;
000406;0000;29,9625;;;
000407;0000;25,8916;;;
000408;0000;33,8041;;;
000409;0000;39,325;;;
000410;0000;45,9041;;;
000411;0000;137,769;;;
000412;0000;155,542;;;
000413;0000;60,9374;;;
000414;0000;71,9082;;;
000415;0000;53,4166;;;
000416;0000;51,1124;;;
000417;0000;76,0707;;;
000418;0000;161,854;;;
000419;0000;67,1521;;;
000420;0000;60,0958;;;
000421;0000;103,421;;;
000422;0000;136,704;;;
000423;0000;126,187;;;
000424;0000;27,0043;;;
000425;0000;60,2374;;;
000426;0000;64,3041;;;
000427;0000;56,2582;;;
000428;0000;191,762;;;
000429;0000;206,454;;;
000430;0000;52,7625;;;
000501;0000;19,6583;;;
000502;0000;29,4333;;;
000503;0000;27,6166;;;
000504;0000;77,3207;;;
000505;0000;205,808;;;
000506;0000;288,97;;;
000507;0000;155,821;;;
000508;0000;103,535;;;
000509;0000;85,104;;;
000510;0000;44,8749;;;
000511;0000;90,4874;;;
000512;0000;129,917;;;
000513;0000;34,4416;;;
000514;0000;44,5999;;;
000515;0000;;;;
000516;0000;146,312;;;
000517;0000;204,962;;;
000518;0000;71,5249;;;
000519;0000;110,333;;;
000520;0000;159,566;;;
000521;0000;166,108;;;
000522;0000;141,304;;;
000523;0000;46,4374;;;
000524;0000;94,8207;;;
000525;0000;117,75;;;
000526;0000;153,746;;;
000527;0000;277,575;;;
000528;0000;152,479;;;
000529;0000;171,179;;;
000530;0000;203,2;;;
000531;0000;176,579;;;
000601;0000;165,237;;;
000602;0000;190,061;;;
000603;0000;128,129;;;
000604;0000;74,325;;;
000605;0000;67,6458;;;
000606;0000;54,8909;;;
000607;0000;99,254;;;
000608;0000;157,604;;;
000609;0000;172,921;;;
000610;0000;108,079;;;
000611;0000;137,091;;;
000612;0000;46,2888;;;
000613;0000;25,8458;;;
000614;0000;31,325;;;
000615;0000;39,8708;;;
000616;0000;103,175;;;
000617;0000;116,425;;;
000618;0000;144,796;;;
000619;0000;93,8665;;;
000620;0000;87,4666;;;
000621;0000;165,862;;;
000622;0000;197,966;;;
000623;0000;106,637;;;
000624;0000;33,8916;;;
000625;0000;79,3583;;;
000626;0000;113,862;;;
000627;0000;49,9958;;;
000628;0000;107,804;;;
000629;0000;115,154;;;
000630;0000;146,333;;;
000701;0000;50,6458;;;
000702;0000;103,704;;;
000703;0000;165,483;;;
000704;0000;293,654;;;
000705;0000;283,054;;;
000706;0000;84,2582;;;
000707;0000;71,4498;;;
000708;0000;36,4958;;;
000709;0000;44,0624;;;
000710;0000;121,646;;;
000711;0000;161,092;;;
000712;0000;283,216;;;
000713;0000;401,708;;;
000714;0000;245,47;;;
000715;0000;218,008;;;
000716;0000;188,441;;;
000717;0000;136,735;;;
000718;0000;131,069;;;
000719;0000;223,783;;;
000720;0000;180,204;;;
000721;0000;44,5499;;;
000722;0000;135,408;;;
000723;0000;197,65;;;
000724;0000;306,104;;;
000725;0000;281,625;;;
000726;0000;247,75;;;
000727;0000;168,342;;;
000728;0000;164,971;;;
000729;0000;93,7915;;;
000730;0000;119,362;;;
000731;0000;65,6624;;;
000801;0000;53,2582;;;
000802;0000;169,641;;;
000803;0000;253,041;;;
000804;0000;38,2125;;;
000805;0000;66,7499;;;
000806;0000;86,1082;;;
000807;0000;100,708;;;
000808;0000;178,612;;;
000809;0000;109,583;;;
000810;0000;94,7083;;;
000811;0000;47,0416;;;
000812;0000;67,5416;;;
000813;0000;42,1083;;;
000814;0000;42,6083;;;
000815;0000;;;;
000816;0000;120,367;;;
000817;0000;198,591;;;
000818;0000;196,5;;;
000819;0000;80,354;;;
000820;0000;46,9958;;;
000821;0000;57,6916;;;
000822;0000;85,1379;;;
000823;0000;57,0666;;;
000824;0000;55,8624;;;
000825;0000;55,6583;;;
000826;0000;48,3124;;;
000827;0000;28,525;;;
000828;0000;79,5833;;;
000829;0000;72,1832;;;
000830;0000;46,4208;;;
000831;0000;93,0916;;;
000901;0000;95,2499;;;
000902;0000;89,0833;;;
000903;0000;101,792;;;
000904;0000;19,575;;;
000905;0000;27,8875;;;
000906;0000;40,6666;;;
000907;0000;45,8666;;;
000908;0000;78,1749;;;
000909;0000;32,3916;;;
000910;0000;25,4166;;;
000911;0000;58,1041;;;
000912;0000;60,9624;;;
000913;0000;;;;
000914;0000;78,3666;;;
000915;0000;36,4249;;;
000916;0000;50,7208;;;
000917;0000;64,4999;;;
000918;0000;31,3333;;;
000919;0000;38,5541;;;
000920;0000;35,4125;;;
000921;0000;70,4583;;;
000922;0000;93,7791;;;
000923;0000;22,6667;;;
000924;0000;28,9583;;;
000925;0000;68,729;;;
000926;0000;104,183;;;
000927;0000;49,0458;;;
000928;0000;17,1826;;;
000929;0000;34,7791;;;
000930;0000;44,6624;;;
001001;0000;16,7208;;;
001002;0000;15,2458;;;
001003;0000;19,4041;;;
001004;0000;30,3291;;;
001005;0000;;;;
001006;0000;43,0916;;;
001007;0000;39,575;;;
001008;0000;12,1667;;;
001009;0000;17,2625;;;
001010;0000;26,4041;;;
