FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
970601;0000;13,7083;;;
970602;0000;9;;;
970603;0000;4,41666;;;
970604;0000;6,5;;;
970605;0000;11,1667;;;
970606;0000;9,08333;;;
970607;0000;8,70833;;;
970608;0000;6,66666;;;
970609;0000;4,70833;;;
970610;0000;9,75;;;
970611;0000;5,04166;;;
970612;0000;10,2083;;;
970613;0000;9,70833;;;
970614;0000;7,66666;;;
970615;0000;1,58333;;;
970616;0000;4,95833;;;
970617;0000;4,08333;;;
970618;0000;3,66666;;;
970619;0000;6;;;
970620;0000;15,7917;;;
970621;0000;9,375;;;
970622;0000;8,58333;;;
970623;0000;8,33333;;;
970624;0000;8;;;
970625;0000;8,79166;;;
970626;0000;7,625;;;
970627;0000;10,0833;;;
970628;0000;11,5417;;;
970629;0000;14,2917;;;
970630;0000;10,875;;;
970701;0000;7,91304;;;
970702;0000;8,25;;;
970703;0000;6,95833;;;
970704;0000;9,5;;;
970705;0000;8,625;;;
970706;0000;10,5;;;
970707;0000;6,16666;;;
970708;0000;6,375;;;
970709;0000;6,91666;;;
970710;0000;4,79166;;;
970711;0000;7,08333;;;
970712;0000;9,04166;;;
970713;0000;10,8333;;;
970714;0000;3,875;;;
970715;0000;9,5;;;
970716;0000;9,54166;;;
970717;0000;6,08333;;;
970718;0000;9,66666;;;
970719;0000;14,25;;;
970720;0000;10,6522;;;
970721;0000;4,875;;;
970722;0000;11,0417;;;
970723;0000;16;;;
970724;0000;5,83333;;;
970725;0000;12,9167;;;
970726;0000;6,25;;;
970727;0000;12,4545;;;
970728;0000;9,86955;;;
970729;0000;6,58333;;;
970730;0000;4;;;
970731;0000;8,79166;;;
970801;0000;10,2917;;;
970802;0000;8,625;;;
970803;0000;14,0417;;;
970804;0000;8,69565;;;
970805;0000;14,8333;;;
970806;0000;18,7917;;;
970807;0000;14,5833;;;
970808;0000;15,9167;;;
970809;0000;15,2083;;;
970810;0000;17,625;;;
970811;0000;15,2083;;;
970812;0000;11,9583;;;
970813;0000;5,5;;;
970814;0000;6,33333;;;
970815;0000;;;;
970816;0000;;;;
970817;0000;13,9167;;;
970818;0000;10,7083;;;
970819;0000;12,3333;;;
970820;0000;12,1667;;;
970821;0000;14,7917;;;
970822;0000;14,5417;;;
970823;0000;22,625;;;
970824;0000;18,3333;;;
970825;0000;18,9167;;;
970826;0000;18,0417;;;
970827;0000;16,4167;;;
970828;0000;16,4583;;;
970829;0000;9,79166;;;
970830;0000;5,375;;;
970831;0000;2,95833;;;
970901;0000;5,04166;;;
970902;0000;4,79166;;;
970903;0000;4,75;;;
970904;0000;4,08333;;;
970905;0000;4,20833;;;
970906;0000;7,95833;;;
970907;0000;18,625;;;
970908;0000;15,875;;;
970909;0000;14,4167;;;
970910;0000;16,4583;;;
970911;0000;16,8636;;;
970912;0000;;;;
970913;0000;;;;
970914;0000;19;;;
970915;0000;21,0833;;;
970916;0000;23,25;;;
970917;0000;19,9583;;;
970918;0000;12,8333;;;
970919;0000;13,75;;;
970920;0000;15,125;;;
970921;0000;17,375;;;
970922;0000;16,3333;;;
970923;0000;15,5417;;;
970924;0000;20,2917;;;
970925;0000;19,625;;;
970926;0000;11,7917;;;
970927;0000;11,6667;;;
970928;0000;15;;;
970929;0000;14,625;;;
970930;0000;15,875;;;
971001;0000;22,625;;;
971002;0000;8,66666;;;
971003;0000;11,9167;;;
971004;0000;10,8333;;;
971005;0000;15,75;;;
971006;0000;17,9583;;;
971007;0000;19,6667;;;
971008;0000;15,625;;;
971009;0000;20,2083;;;
971010;0000;14,5833;;;
971011;0000;12,0833;;;
971012;0000;14,0833;;;
971013;0000;12,3182;;;
971014;0000;15,25;;;
971015;0000;14,3333;;;
971016;0000;15,8333;;;
971017;0000;16,125;;;
971018;0000;19,8333;;;
971019;0000;22,8333;;;
971020;0000;23,2083;;;
971021;0000;19,5;;;
971022;0000;17,4167;;;
971023;0000;23,2917;;;
971024;0000;19,2083;;;
971025;0000;17,4583;;;
971026;0000;16;;;
971027;0000;16,125;;;
971028;0000;20,875;;;
971029;0000;18,8333;;;
971030;0000;20,8333;;;
971031;0000;26,9167;;;
971101;0000;19,4167;;;
971102;0000;23,0417;;;
971103;0000;19,5833;;;
971104;0000;20,0833;;;
971105;0000;17,25;;;
971106;0000;19,75;;;
971107;0000;26,0833;;;
971108;0000;18,3333;;;
971109;0000;16,875;;;
971110;0000;17,875;;;
971111;0000;18;;;
971112;0000;;;;
971113;0000;20,25;;;
971114;0000;23,4167;;;
971115;0000;23,875;;;
971116;0000;21,25;;;
971117;0000;23,75;;;
971118;0000;25,5454;;;
971119;0000;18,125;;;
971120;0000;22,6667;;;
971121;0000;22,3333;;;
971122;0000;23,4583;;;
971123;0000;26,7083;;;
971124;0000;15,5833;;;
971125;0000;15,7083;;;
971126;0000;17,9167;;;
971127;0000;20;;;
971128;0000;24,875;;;
971129;0000;15,7917;;;
971130;0000;22,3333;;;
971201;0000;22,125;;;
971202;0000;19,25;;;
971203;0000;26,0833;;;
971204;0000;21,75;;;
971205;0000;25,2917;;;
971206;0000;30,8333;;;
971207;0000;31,2917;;;
971208;0000;23,5417;;;
971209;0000;16,0417;;;
971210;0000;16,1667;;;
971211;0000;16,4583;;;
971212;0000;9,58333;;;
971213;0000;20,9167;;;
971214;0000;28,9583;;;
971215;0000;24,4583;;;
971216;0000;16,9583;;;
971217;0000;20;;;
971218;0000;21,3333;;;
971219;0000;22,1667;;;
971220;0000;19,75;;;
971221;0000;13,7083;;;
971222;0000;19,0869;;;
971223;0000;26,25;;;
971224;0000;30,6667;;;
971225;0000;19,2632;;;
971226;0000;16,75;;;
971227;0000;18,5417;;;
971228;0000;26,9583;;;
971229;0000;19,5;;;
971230;0000;18,9583;;;
971231;0000;20,2083;;;
980101;0000;27,9583;;;
980102;0000;22,3333;;;
980103;0000;28,0417;;;
980104;0000;22,6667;;;
980105;0000;22,75;;;
980106;0000;25,5417;;;
980107;0000;29,5;;;
980108;0000;26,9583;;;
980109;0000;17,25;;;
980110;0000;18,0417;;;
980111;0000;25;;;
980112;0000;25,9167;;;
980113;0000;20,9167;;;
980114;0000;20,5417;;;
980115;0000;15,7143;;;
980116;0000;25,9583;;;
980117;0000;34,375;;;
980118;0000;21;;;
980119;0000;17,5217;;;
980120;0000;17,625;;;
980121;0000;19,9167;;;
980122;0000;28,375;;;
980123;0000;24,625;;;
980124;0000;25,375;;;
980125;0000;20,7083;;;
980126;0000;17,0417;;;
980127;0000;21,0417;;;
980128;0000;26,5833;;;
980129;0000;25,625;;;
980130;0000;28,9583;;;
980131;0000;26,25;;;
980201;0000;22,125;;;
980202;0000;18,4583;;;
980203;0000;21,125;;;
980204;0000;25,2917;;;
980205;0000;13,625;;;
980206;0000;28,2917;;;
980207;0000;23,75;;;
980208;0000;24;;;
980209;0000;23,1364;;;
980210;0000;23,125;;;
980211;0000;25,5;;;
980212;0000;20,4167;;;
980213;0000;22,6667;;;
980214;0000;28,25;;;
980215;0000;20,0833;;;
980216;0000;17,375;;;
980217;0000;27,2083;;;
980218;0000;24,3333;;;
980219;0000;16,75;;;
980220;0000;19,1667;;;
980221;0000;19,25;;;
980222;0000;14,8333;;;
980223;0000;16,9583;;;
980224;0000;15,25;;;
980225;0000;24,2083;;;
980226;0000;22,2083;;;
980227;0000;21,8333;;;
980228;0000;28,7083;;;
980301;0000;17,4167;;;
980302;0000;18,375;;;
980303;0000;19,2917;;;
980304;0000;24,375;;;
980305;0000;7,95833;;;
980306;0000;19,125;;;
980307;0000;25,3333;;;
980308;0000;27,2083;;;
980309;0000;23,7083;;;
980310;0000;14,3333;;;
980311;0000;21,375;;;
980312;0000;19,0833;;;
980313;0000;24,5417;;;
980314;0000;26,5;;;
980315;0000;23,6667;;;
980316;0000;17,375;;;
980317;0000;15,375;;;
980318;0000;18,5417;;;
980319;0000;18,625;;;
980320;0000;20,9583;;;
980321;0000;20,4583;;;
980322;0000;20,7917;;;
980323;0000;20,75;;;
980324;0000;29,5833;;;
980325;0000;21,2083;;;
980326;0000;16,5417;;;
980327;0000;17,7917;;;
980328;0000;20,8333;;;
980329;0000;29,75;;;
980330;0000;24;;;
980331;0000;17,5833;;;
980401;0000;32,875;;;
980402;0000;29,7917;;;
980403;0000;16,875;;;
980404;0000;21,75;;;
980405;0000;22,125;;;
980406;0000;18,5833;;;
980407;0000;14,9167;;;
980408;0000;15,3333;;;
980409;0000;4,08333;;;
980410;0000;7,75;;;
980411;0000;12,875;;;
980412;0000;8,16666;;;
980413;0000;7,04166;;;
980414;0000;7,70833;;;
980415;0000;15,125;;;
980416;0000;17,7917;;;
980417;0000;25,0869;;;
980418;0000;16,25;;;
980419;0000;8,79166;;;
980420;0000;9,75;;;
980421;0000;10,7083;;;
980422;0000;16,875;;;
980423;0000;18;;;
980424;0000;17,875;;;
980425;0000;23,2083;;;
980426;0000;8,79166;;;
980427;0000;12,1667;;;
980428;0000;17,875;;;
980429;0000;7,5;;;
980430;0000;19,375;;;
980501;0000;16,625;;;
980502;0000;20,4583;;;
980503;0000;18,4167;;;
980504;0000;15,5833;;;
980505;0000;15;;;
980506;0000;5;;;
980507;0000;13,5417;;;
980508;0000;21,6667;;;
980509;0000;11,625;;;
980510;0000;5,45833;;;
980511;0000;8,20833;;;
980512;0000;10,0833;;;
980513;0000;10,3333;;;
980514;0000;13,6667;;;
980515;0000;17,25;;;
980516;0000;20;;;
980517;0000;27,4167;;;
980518;0000;23,4167;;;
980519;0000;11,8333;;;
980520;0000;8,29166;;;
980521;0000;13,0417;;;
980522;0000;5,91666;;;
980523;0000;8,58333;;;
980524;0000;11,0417;;;
980525;0000;8,41666;;;
980526;0000;6,08333;;;
980527;0000;3,91666;;;
980528;0000;9,29166;;;
980529;0000;11,7917;;;
980530;0000;7,83333;;;
980531;0000;14,5833;;;
980601;0000;11,0417;;;
980602;0000;7,83333;;;
980603;0000;12,625;;;
980604;0000;9,375;;;
980605;0000;3;;;
980606;0000;7,875;;;
980607;0000;13;;;
980608;0000;6,29166;;;
980609;0000;8,5;;;
980610;0000;7;;;
980611;0000;7,875;;;
980612;0000;6,08333;;;
980613;0000;5,16666;;;
980614;0000;4,29166;;;
980615;0000;3,04166;;;
980616;0000;5,70833;;;
980617;0000;9,29166;;;
980618;0000;8,875;;;
980619;0000;11,4583;;;
980620;0000;8,54166;;;
980621;0000;5,91666;;;
980622;0000;11,0833;;;
980623;0000;15,75;;;
980624;0000;11,875;;;
980625;0000;11,5;;;
980626;0000;13,875;;;
980627;0000;15,1667;;;
980628;0000;8,20833;;;
980629;0000;8,25;;;
980630;0000;9,58333;;;
980701;0000;10,5833;;;
980702;0000;12,5417;;;
980703;0000;11,8333;;;
980704;0000;16,4583;;;
980705;0000;10;;;
980706;0000;11,0417;;;
980707;0000;9;;;
980708;0000;12,875;;;
980709;0000;11,9167;;;
980710;0000;13,125;;;
980711;0000;9,375;;;
980712;0000;8,66666;;;
980713;0000;7,25;;;
980714;0000;9,375;;;
980715;0000;5,625;;;
980716;0000;5,95833;;;
980717;0000;11,25;;;
980718;0000;14,4583;;;
980719;0000;12,4167;;;
980720;0000;10,9167;;;
980721;0000;;;;
980722;0000;12,9583;;;
980723;0000;7,29166;;;
980724;0000;11,3333;;;
980725;0000;17,2917;;;
980726;0000;9,04166;;;
980727;0000;7,04166;;;
980728;0000;13,125;;;
980729;0000;14,0833;;;
980730;0000;9,625;;;
980731;0000;17;;;
980801;0000;19,7619;;;
980802;0000;11,0417;;;
980803;0000;12,1905;;;
980804;0000;13,625;;;
980805;0000;13,2273;;;
980806;0000;11,4583;;;
980807;0000;14,2083;;;
980808;0000;13,2083;;;
980809;0000;11,25;;;
980810;0000;12,1667;;;
980811;0000;13,125;;;
980812;0000;9,66666;;;
980813;0000;14,5833;;;
980814;0000;14,75;;;
980815;0000;11,875;;;
980816;0000;9,16666;;;
980817;0000;13,25;;;
980818;0000;9,70833;;;
980819;0000;14,25;;;
980820;0000;17,4583;;;
980821;0000;18,375;;;
980822;0000;17,625;;;
980823;0000;17,625;;;
980824;0000;18,9167;;;
980825;0000;16,1667;;;
980826;0000;23,0833;;;
980827;0000;20,875;;;
980828;0000;23;;;
980829;0000;25,3333;;;
980830;0000;17,8333;;;
980831;0000;22,3333;;;
980901;0000;13,3333;;;
980902;0000;18,2917;;;
980903;0000;17,3333;;;
980904;0000;19,375;;;
980905;0000;18,2083;;;
980906;0000;16,9583;;;
980907;0000;15,9583;;;
980908;0000;16,75;;;
980909;0000;13,9565;;;
980910;0000;7,75;;;
980911;0000;5,31818;;;
980912;0000;;;;
980913;0000;19,5833;;;
980914;0000;20,3333;;;
980915;0000;23,2917;;;
980916;0000;24,9583;;;
980917;0000;20,7083;;;
980918;0000;20,7083;;;
980919;0000;18,8333;;;
980920;0000;22,25;;;
980921;0000;20,6667;;;
980922;0000;16,5833;;;
980923;0000;17,7917;;;
980924;0000;18,0417;;;
980925;0000;13,7083;;;
980926;0000;22,7917;;;
980927;0000;20,0833;;;
980928;0000;18,8333;;;
980929;0000;22,5417;;;
980930;0000;25,125;;;
981001;0000;27,1667;;;
981002;0000;28,625;;;
981003;0000;23,9167;;;
981004;0000;20,875;;;
981005;0000;26,5;;;
981006;0000;27,1667;;;
981007;0000;24,5217;;;
981008;0000;28,0833;;;
981009;0000;18,8333;;;
981010;0000;30,7917;;;
981011;0000;29,0417;;;
981012;0000;18;;;
981013;0000;22,8333;;;
981014;0000;25,125;;;
981015;0000;20,2917;;;
981016;0000;22,7083;;;
981017;0000;29,375;;;
981018;0000;23,75;;;
981019;0000;14;;;
981020;0000;13,25;;;
981021;0000;12,875;;;
981022;0000;10,4167;;;
981023;0000;14,1667;;;
981024;0000;10,5417;;;
981025;0000;14,2917;;;
981026;0000;11,9167;;;
981027;0000;15,25;;;
981028;0000;25,8333;;;
981029;0000;26,875;;;
981030;0000;26,125;;;
981031;0000;24,125;;;
981101;0000;25,375;;;
981102;0000;24;;;
981103;0000;19,4167;;;
981104;0000;24,0833;;;
981105;0000;17,875;;;
981106;0000;23,8333;;;
981107;0000;19,9583;;;
981108;0000;21,25;;;
981109;0000;22,9583;;;
981110;0000;21,625;;;
981111;0000;23,75;;;
981112;0000;27,0435;;;
981113;0000;23,2273;;;
981114;0000;24,0454;;;
981115;0000;23,2609;;;
981116;0000;21,125;;;
981117;0000;30,5909;;;
981118;0000;25,5909;;;
981119;0000;23,5;;;
981120;0000;26,8095;;;
981121;0000;25,5454;;;
981122;0000;26,2917;;;
981123;0000;24,4545;;;
981124;0000;23,4782;;;
981125;0000;24,8333;;;
981126;0000;30,4167;;;
981127;0000;18,125;;;
981128;0000;21,7083;;;
981129;0000;27,4167;;;
981130;0000;25,5833;;;
981201;0000;24,4167;;;
981202;0000;28,2917;;;
981203;0000;28,7083;;;
981204;0000;27,7917;;;
981205;0000;27,5417;;;
981206;0000;22,1667;;;
981207;0000;22;;;
981208;0000;22,0833;;;
981209;0000;29,25;;;
981210;0000;25,75;;;
981211;0000;18,5;;;
981212;0000;16,5833;;;
981213;0000;24,6667;;;
981214;0000;26,4167;;;
981215;0000;19,625;;;
981216;0000;20,5217;;;
981217;0000;21,5833;;;
981218;0000;21,3333;;;
981219;0000;19,3333;;;
981220;0000;17,9167;;;
981221;0000;21,2917;;;
981222;0000;25,6667;;;
981223;0000;25,375;;;
981224;0000;26,0417;;;
981225;0000;27,3333;;;
981226;0000;24,75;;;
981227;0000;18,3333;;;
981228;0000;15,8333;;;
981229;0000;25,7917;;;
981230;0000;21,4167;;;
981231;0000;23,75;;;
990101;0000;24,8333;;;
990102;0000;21,6667;;;
990103;0000;22,125;;;
990104;0000;23,85;;;
990105;0000;22,4583;;;
990106;0000;30,5833;;;
990107;0000;19,875;;;
990108;0000;23,6667;;;
990109;0000;31,75;;;
990110;0000;21,4167;;;
990111;0000;17,7083;;;
990112;0000;24,2917;;;
990113;0000;25,7083;;;
990114;0000;19,9167;;;
990115;0000;18,6667;;;
990116;0000;16,875;;;
990117;0000;16,0417;;;
990118;0000;28,625;;;
990119;0000;22,5417;;;
990120;0000;18,125;;;
990121;0000;25,7917;;;
990122;0000;22,625;;;
990123;0000;22,2917;;;
990124;0000;26,5;;;
990125;0000;23,375;;;
990126;0000;19,7083;;;
990127;0000;22,7917;;;
990128;0000;24,8333;;;
990129;0000;20,375;;;
990130;0000;21,75;;;
990131;0000;24,125;;;
990201;0000;16,25;;;
990202;0000;20,2917;;;
990203;0000;18,3333;;;
990204;0000;19,5;;;
990205;0000;17,4583;;;
990206;0000;16,5217;;;
990207;0000;23,6522;;;
990208;0000;28,1429;;;
990209;0000;33,1666;;;
990210;0000;32;;;
990211;0000;28,5417;;;
990212;0000;19,9583;;;
990213;0000;23,5;;;
990214;0000;22,2917;;;
990215;0000;21,5833;;;
990216;0000;22,0833;;;
990217;0000;19,75;;;
990218;0000;20,7083;;;
990219;0000;19,5909;;;
990220;0000;21,75;;;
990221;0000;20,8333;;;
990222;0000;20,625;;;
990223;0000;22,3333;;;
990224;0000;22,4583;;;
990225;0000;15,4583;;;
990226;0000;22,3333;;;
990227;0000;18,4583;;;
990228;0000;12,5417;;;
990301;0000;16,5;;;
990302;0000;25,375;;;
990303;0000;25,4583;;;
990304;0000;23,7083;;;
990305;0000;19,9583;;;
990306;0000;11,9583;;;
990307;0000;19,9583;;;
990308;0000;23,2917;;;
990309;0000;27,5417;;;
990310;0000;;;;
990311;0000;;;;
990312;0000;;;;
990313;0000;;;;
990314;0000;;;;
990315;0000;;;;
990316;0000;;;;
990317;0000;26,0417;;;
990318;0000;23,9167;;;
990319;0000;26,125;;;
990320;0000;27,3333;;;
990321;0000;25,1667;;;
990322;0000;24,5;;;
990323;0000;23,2083;;;
990324;0000;18,4583;;;
990325;0000;25,7917;;;
990326;0000;16,8333;;;
990327;0000;14,75;;;
990328;0000;17,5833;;;
990329;0000;17,375;;;
990330;0000;18,125;;;
990331;0000;18;;;
990401;0000;7,77272;;;
990402;0000;14,25;;;
990403;0000;16,375;;;
990404;0000;17,4167;;;
990405;0000;19,4583;;;
990406;0000;18,5217;;;
990407;0000;19,3478;;;
990408;0000;17,0435;;;
990409;0000;12,1739;;;
990410;0000;20,0417;;;
990411;0000;24,9583;;;
990412;0000;;;;
990413;0000;15,2609;;;
990414;0000;11,9565;;;
990415;0000;15,7391;;;
990416;0000;18,7391;;;
990417;0000;24,9167;;;
990418;0000;15,625;;;
990419;0000;11,9545;;;
990420;0000;16,0435;;;
990421;0000;18,1739;;;
990422;0000;15,6956;;;
990423;0000;8,1739;;;
990424;0000;19,8636;;;
