FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
970729;0000;6,125;;;
970730;0000;3,08333;;;
970731;0000;4,20833;;;
970801;0000;4,73913;;;
970802;0000;5,83333;;;
970803;0000;25,1667;;;
970804;0000;18,1304;;;
970805;0000;14,75;;;
970806;0000;12;;;
970807;0000;14,125;;;
970808;0000;16,6667;;;
970809;0000;9,20833;;;
970810;0000;8,54166;;;
970811;0000;7,04166;;;
970812;0000;9,125;;;
970813;0000;3,16666;;;
970814;0000;5,875;;;
970815;0000;;;;
970816;0000;;;;
970817;0000;3,04166;;;
970818;0000;3,04166;;;
970819;0000;3,08333;;;
970820;0000;7,125;;;
970821;0000;6,20833;;;
970822;0000;6,70833;;;
970823;0000;4,66666;;;
970824;0000;9,625;;;
970825;0000;16,6667;;;
970826;0000;23,125;;;
970827;0000;11,8333;;;
970828;0000;13,25;;;
970829;0000;7,5;;;
970830;0000;4,66666;;;
970831;0000;4,04166;;;
970901;0000;5,91666;;;
970902;0000;9,20833;;;
970903;0000;5;;;
970904;0000;6,875;;;
970905;0000;6,16666;;;
970906;0000;7,95833;;;
970907;0000;3,25;;;
970908;0000;;;;
970909;0000;;;;
970910;0000;;;;
970911;0000;2,68182;;;
970912;0000;;;;
970913;0000;;;;
970914;0000;10,25;;;
970915;0000;9,08333;;;
970916;0000;8,125;;;
970917;0000;6,125;;;
970918;0000;4,625;;;
970919;0000;2,29166;;;
970920;0000;3,16666;;;
970921;0000;3,25;;;
970922;0000;2,58333;;;
970923;0000;2,58333;;;
970924;0000;2,75;;;
970925;0000;4,625;;;
970926;0000;5,41666;;;
970927;0000;2,41666;;;
970928;0000;2,29166;;;
970929;0000;3,08333;;;
970930;0000;2,29166;;;
971001;0000;4;;;
971002;0000;2,95833;;;
971003;0000;3,125;;;
971004;0000;2,5;;;
971005;0000;2,16666;;;
971006;0000;9,08333;;;
971007;0000;9,70833;;;
971008;0000;3,41666;;;
971009;0000;2,70833;;;
971010;0000;3;;;
971011;0000;3,20833;;;
971012;0000;2,04166;;;
971013;0000;2,13636;;;
971014;0000;1,79167;;;
971015;0000;2,04166;;;
971016;0000;3,33333;;;
971017;0000;3,375;;;
971018;0000;4,125;;;
971019;0000;1,79167;;;
971020;0000;2,91666;;;
971021;0000;4,75;;;
971022;0000;2,625;;;
971023;0000;10,8333;;;
971024;0000;3;;;
971025;0000;1,41667;;;
971026;0000;1,70833;;;
971027;0000;1,83333;;;
971028;0000;1,5;;;
971029;0000;1,875;;;
971030;0000;1,54167;;;
971031;0000;4;;;
971101;0000;4,04166;;;
971102;0000;1,625;;;
971103;0000;2,04166;;;
971104;0000;4,20833;;;
971105;0000;3,04166;;;
971106;0000;3,66666;;;
971107;0000;2,91666;;;
971108;0000;2,95833;;;
971109;0000;2,54166;;;
971110;0000;1,25;;;
971111;0000;1,08333;;;
971112;0000;;;;
971113;0000;9,16666;;;
971114;0000;3,54166;;;
971115;0000;2,25;;;
971116;0000;1,83333;;;
971117;0000;1,83333;;;
971118;0000;2,66666;;;
971119;0000;1,66667;;;
971120;0000;4,08333;;;
971121;0000;7,66666;;;
971122;0000;3,66666;;;
971123;0000;7,5;;;
971124;0000;2,95833;;;
971125;0000;1,375;;;
971126;0000;1,41667;;;
971127;0000;2,04166;;;
971128;0000;5,75;;;
971129;0000;1,91667;;;
971130;0000;4,16666;;;
971201;0000;3,20833;;;
971202;0000;1,375;;;
971203;0000;5,29166;;;
971204;0000;2,70833;;;
971205;0000;9,04166;;;
971206;0000;5,04166;;;
971207;0000;5,625;;;
971208;0000;2,58333;;;
971209;0000;2,95833;;;
971210;0000;2,29166;;;
971211;0000;2,625;;;
971212;0000;2,79166;;;
971213;0000;9,25;;;
971214;0000;4,83333;;;
971215;0000;3,83333;;;
971216;0000;1,54167;;;
971217;0000;1,54167;;;
971218;0000;1,875;;;
971219;0000;3,33333;;;
971220;0000;3,25;;;
971221;0000;1,83333;;;
971222;0000;2,83333;;;
971223;0000;3,70833;;;
971224;0000;10,0476;;;
971225;0000;2,21053;;;
971226;0000;1;;;
971227;0000;1,16667;;;
971228;0000;2,70833;;;
971229;0000;1,70833;;;
971230;0000;3,04166;;;
971231;0000;1,70833;;;
980101;0000;2,20833;;;
980102;0000;1,875;;;
980103;0000;2,79166;;;
980104;0000;3,29166;;;
980105;0000;2,375;;;
980106;0000;3,08333;;;
980107;0000;4,58333;;;
980108;0000;3,29166;;;
980109;0000;2,20833;;;
980110;0000;3,33333;;;
980111;0000;3,58333;;;
980112;0000;4,66666;;;
980113;0000;2,58333;;;
980114;0000;3,04166;;;
980115;0000;2,54166;;;
980116;0000;3,41666;;;
980117;0000;5,04166;;;
980118;0000;2,04166;;;
980119;0000;1,5;;;
980120;0000;1,08333;;;
980121;0000;1,875;;;
980122;0000;7,16666;;;
980123;0000;3,25;;;
980124;0000;4,375;;;
980125;0000;2,66666;;;
980126;0000;1,33333;;;
980127;0000;1,125;;;
980128;0000;5,79166;;;
980129;0000;3,125;;;
980130;0000;6,54166;;;
980131;0000;3,79166;;;
980201;0000;1,70833;;;
980202;0000;1,70833;;;
980203;0000;2;;;
980204;0000;1,79167;;;
980205;0000;2,45833;;;
980206;0000;2,16666;;;
980207;0000;2,41666;;;
980208;0000;2,33333;;;
980209;0000;2,31818;;;
980210;0000;3,04166;;;
980211;0000;6,20833;;;
980212;0000;2;;;
980213;0000;1,25;;;
980214;0000;2,75;;;
980215;0000;4,04166;;;
980216;0000;1,08333;;;
980217;0000;1,20833;;;
980218;0000;2,45833;;;
980219;0000;1;;;
980220;0000;1,875;;;
980221;0000;1,54167;;;
980222;0000;1,5;;;
980223;0000;1,66667;;;
980224;0000;2,58333;;;
980225;0000;6;;;
980226;0000;4,58333;;;
980227;0000;9,625;;;
980228;0000;7,75;;;
980301;0000;1,625;;;
980302;0000;1,125;;;
980303;0000;1,875;;;
980304;0000;1,29167;;;
980305;0000;2,20833;;;
980306;0000;2,75;;;
980307;0000;6,20833;;;
980308;0000;6,04166;;;
980309;0000;8,29166;;;
980310;0000;5,41666;;;
980311;0000;3,83333;;;
980312;0000;2,58333;;;
980313;0000;5,58333;;;
980314;0000;3,125;;;
980315;0000;2,41666;;;
980316;0000;2,08333;;;
980317;0000;2,41666;;;
980318;0000;3,375;;;
980319;0000;4,70833;;;
980320;0000;5,70833;;;
980321;0000;3,45833;;;
980322;0000;5,04166;;;
980323;0000;8,41666;;;
980324;0000;12,8333;;;
980325;0000;9,79166;;;
980326;0000;2,41666;;;
980327;0000;2,79166;;;
980328;0000;4,25;;;
980329;0000;9,75;;;
980330;0000;8;;;
980331;0000;3,25;;;
980401;0000;8;;;
980402;0000;6,20833;;;
980403;0000;3;;;
980404;0000;2,125;;;
980405;0000;5,20833;;;
980406;0000;3,29166;;;
980407;0000;5,58333;;;
980408;0000;5,41666;;;
980409;0000;4;;;
980410;0000;2,58333;;;
980411;0000;2,04166;;;
980412;0000;2,04166;;;
980413;0000;2,70833;;;
980414;0000;2,83333;;;
980415;0000;3,83333;;;
980416;0000;9,75;;;
980417;0000;12,3913;;;
980418;0000;14,2083;;;
980419;0000;5,41666;;;
980420;0000;4,29166;;;
980421;0000;3,16666;;;
