FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090125;0000;2,37916;;;
090126;0000;2,3625;;;
090127;0000;2,34999;;;
090128;0000;2,47916;;;
090129;0000;2,575;;;
090130;0000;2,63333;;;
090131;0000;2,6875;;;
090201;0000;;;4,00821;
090202;0000;;;3,94316;
090203;0000;;;4,06353;
090204;0000;;;4,08482;
090205;0000;;;4,11328;
090206;0000;;;4,1986;
090207;0000;;;4,28041;
090208;0000;;;4,4082;
090209;0000;;;4,38771;
090210;0000;;;4,36249;
090211;0000;;;4,47398;
090212;0000;;;4,39188;
090213;0000;;;4,4692;
090214;0000;;;4,4707;
090215;0000;;;4,60716;
090216;0000;;;4,65137;
090217;0000;;;4,62592;
090218;0000;;;4,59721;
090219;0000;;;4,7479;
090220;0000;;;4,74686;
090221;0000;;;4,73494;
090222;0000;;;4,6692;
090223;0000;;;4,5729;
090224;0000;;;5,01214;
090225;0000;;;5,17927;
090226;0000;;;5,27094;
090227;0000;;;5,30658;
090228;0000;;;5,91283;
090301;0000;0,266666;;;
090302;0000;;;5,84675;
090303;0000;0,0999998;;;
090304;0000;0,108333;;;
090305;0000;0,133333;;;
090306;0000;0,120833;;;
090307;0000;0,158333;;;
090308;0000;0,1125;;;
090309;0000;0,154166;;;
090310;0000;0,170833;;;
090311;0000;0,158333;;;
090312;0000;0,195833;;;
090313;0000;0,166666;;;
090314;0000;0,1625;;;
090315;0000;0,145833;;;
090316;0000;0,108333;;;
090317;0000;0,191666;;;
090318;0000;0,1375;;;
090319;0000;0,2125;;;
090320;0000;0,366666;;;
090321;0000;0,387499;;;
090322;0000;0,479166;;;
090323;0000;0,224999;;;
090324;0000;0,391666;;;
090325;0000;0,391666;;;
090326;0000;0,324999;;;
090327;0000;0,408332;;;
090328;0000;0,412498;;;
090329;0000;0,529165;;;
090330;0000;0,549999;;;
090331;0000;0,620832;;;
090401;0000;0,558332;;;
090402;0000;0,449999;;;
090403;0000;0,541665;;;
090404;0000;0,987497;;;
090405;0000;1,00833;;;
090406;0000;0,791665;;;
090407;0000;0,391666;;;
090408;0000;0,154166;;;
090409;0000;0,299999;;;
090410;0000;0,3125;;;
090411;0000;0,220833;;;
090412;0000;0,304166;;;
090413;0000;0,366666;;;
090414;0000;0,416666;;;
090415;0000;0,387499;;;
090416;0000;0,549998;;;
090417;0000;0,595832;;;
090418;0000;0,745832;;;
090419;0000;0,554166;;;
090420;0000;0,316666;;;
090421;0000;0,420833;;;
090422;0000;0,416666;;;
090423;0000;0,449999;;;
090424;0000;0,683332;;;
090425;0000;0,966665;;;
090426;0000;0,933331;;;
090427;0000;1,0625;;;
090428;0000;1,24782;;;
090429;0000;1,62083;;;
090430;0000;1,31666;;;
090501;0000;1,52083;;;
090502;0000;0,929166;;;
090503;0000;0,533332;;;
090504;0000;0,574999;;;
090505;0000;1,05;;;
090506;0000;0,954165;;;
090507;0000;0,737499;;;
090508;0000;1,25417;;;
090509;0000;1,1625;;;
090510;0000;1,63333;;;
090511;0000;1,7625;;;
090512;0000;0,941665;;;
090513;0000;0,699999;;;
090514;0000;0,637498;;;
090515;0000;1,17083;;;
090516;0000;0,870832;;;
090517;0000;0,691666;;;
090518;0000;0,595833;;;
090519;0000;1,0625;;;
090520;0000;0,749998;;;
090521;0000;0,724998;;;
090522;0000;0,670833;;;
090523;0000;0,841665;;;
090524;0000;1,31666;;;
090525;0000;0,570832;;;
090526;0000;0,641665;;;
090527;0000;1,11666;;;
090528;0000;1,375;;;
090529;0000;1,0625;;;
090530;0000;1,0125;;;
090531;0000;1,3375;;;
090601;0000;1,17619;;;
090602;0000;0,61818;;;
090603;0000;0,795453;;;
090604;0000;0,304166;;;
090605;0000;0,547825;;;
090606;0000;0,737499;;;
090607;0000;0,412499;;;
090608;0000;0,654165;;;
090609;0000;0,904165;;;
090610;0000;0,582607;;;
090611;0000;0,495832;;;
090612;0000;0,637499;;;
090613;0000;0,712499;;;
090614;0000;0,941665;;;
090615;0000;0,808332;;;
090616;0000;1,5;;;
090617;0000;1,2;;;
090618;0000;1,82083;;;
090619;0000;1,4;;;
090620;0000;0,912498;;;
090621;0000;1,3125;;;
090622;0000;2,075;;;
090623;0000;2,84166;;;
090624;0000;2,7875;;;
090625;0000;2,28333;;;
090626;0000;2,26666;;;
090627;0000;1,4625;;;
090628;0000;0,829165;;;
090629;0000;1,54166;;;
090630;0000;1,29583;;;
090701;0000;1,52917;;;
090702;0000;1,89583;;;
090703;0000;2,24583;;;
090704;0000;2,50833;;;
090705;0000;2,25416;;;
090706;0000;1,62917;;;
090707;0000;1,94167;;;
090708;0000;2,60416;;;
090709;0000;2,28333;;;
090710;0000;2,1625;;;
090711;0000;2,40833;;;
090712;0000;2,175;;;
090713;0000;2,12083;;;
090714;0000;1,6375;;;
090715;0000;1,94167;;;
090716;0000;2,575;;;
090717;0000;2,13333;;;
090718;0000;2,25;;;
090719;0000;2,30416;;;
090720;0000;2,125;;;
090721;0000;1,41667;;;
090722;0000;1,52083;;;
090723;0000;1,99166;;;
090724;0000;2,7;;;
090725;0000;2,59583;;;
090726;0000;2,60416;;;
090727;0000;2,6;;;
090728;0000;3,09999;;;
090729;0000;2,83333;;;
090730;0000;2,4875;;;
090731;0000;2,18333;;;
090801;0000;2,85;;;
090802;0000;2,94583;;;
090803;0000;2,59583;;;
090804;0000;2,02083;;;
090805;0000;;;;
090806;0000;2,66249;;;
090807;0000;2,40833;;;
090808;0000;2,8625;;;
090809;0000;2,7;;;
090810;0000;2,59999;;;
090811;0000;2,85416;;;
090812;0000;2,36666;;;
090813;0000;2,74166;;;
090814;0000;2,5125;;;
090815;0000;2,19583;;;
090816;0000;2,27083;;;
090817;0000;2,6;;;
090818;0000;2,30833;;;
090819;0000;2,16249;;;
090820;0000;2,4625;;;
090821;0000;2,80833;;;
090822;0000;3,12083;;;
090823;0000;2,88333;;;
090824;0000;3,57083;;;
090825;0000;3,14583;;;
090826;0000;3,18333;;;
090827;0000;3,05416;;;
090828;0000;3,0375;;;
090829;0000;2,84166;;;
090830;0000;2,62916;;;
090831;0000;2,52083;;;
090901;0000;1,775;;;
090902;0000;1,425;;;
090903;0000;1,56667;;;
090904;0000;2,2375;;;
090905;0000;1,86666;;;
090906;0000;1,43333;;;
090907;0000;1,21818;;;
090908;0000;1,06667;;;
090909;0000;1,41667;;;
090910;0000;1,6625;;;
090911;0000;1,8;;;
090912;0000;1,815;;;
090913;0000;1,76666;;;
090914;0000;1,53333;;;
090915;0000;1,5625;;;
090916;0000;1,46667;;;
090917;0000;1,475;;;
090918;0000;2,07083;;;
090919;0000;2,03333;;;
090920;0000;1,67916;;;
090921;0000;1,35833;;;
090922;0000;1,4375;;;
090923;0000;1,62917;;;
090924;0000;1,57083;;;
090925;0000;1,4875;;;
090926;0000;1,32916;;;
090927;0000;1,44583;;;
090928;0000;1,52917;;;
090929;0000;1,62917;;;
090930;0000;1,72083;;;
091001;0000;0,816666;;;
091002;0000;0,833332;;;
091003;0000;1,10833;;;
091004;0000;0,624999;;;
091005;0000;0,683331;;;
091006;0000;0,866665;;;
091007;0000;0,808331;;;
091008;0000;0,904164;;;
091009;0000;0,770831;;;
091010;0000;0,666665;;;
091011;0000;0,720831;;;
091012;0000;0,929165;;;
091013;0000;0,772726;;;
091014;0000;0,799998;;;
091015;0000;1,06666;;;
091016;0000;0,929165;;;
091017;0000;0,970832;;;
091018;0000;0,829164;;;
091019;0000;0,874998;;;
091020;0000;0,862497;;;
091021;0000;1,15833;;;
091022;0000;1,3625;;;
091023;0000;1,1875;;;
091024;0000;1,4625;;;
091025;0000;1,425;;;
091026;0000;1,275;;;
091027;0000;1,37917;;;
091028;0000;1,3875;;;
091029;0000;1,42083;;;
091030;0000;1,39583;;;
091031;0000;1,32083;;;
091101;0000;0,116666;;;
091102;0000;0,15;;;
091103;0000;0,1875;;;
091104;0000;0,15;;;
091105;0000;0,183333;;;
091106;0000;0,204166;;;
091107;0000;0,25;;;
091108;0000;0,2375;;;
091109;0000;0,208333;;;
091110;0000;0,362499;;;
091111;0000;0,316666;;;
091112;0000;0,304166;;;
091113;0000;0,283332;;;
091114;0000;0,441666;;;
091115;0000;0,629166;;;
091116;0000;0,341666;;;
091117;0000;0,487499;;;
091118;0000;0,487499;;;
091119;0000;0,347619;;;
091120;0000;0,304166;;;
091121;0000;0,537498;;;
091122;0000;0,424999;;;
091123;0000;0,283333;;;
091124;0000;0,129166;;;
091125;0000;0,266666;;;
091126;0000;0,420833;;;
091127;0000;0,391666;;;
091128;0000;0,366666;;;
091129;0000;0,358333;;;
091130;0000;0,375;;;
091201;0000;0,166667;;;
091202;0000;0,220833;;;
091203;0000;0,158333;;;
091204;0000;0,225;;;
091205;0000;0,220833;;;
091206;0000;0,25;;;
091207;0000;0,0999998;;;
091208;0000;0,108333;;;
091209;0000;0,25;;;
091210;0000;0,333333;;;
091211;0000;0,283333;;;
091212;0000;0,345833;;;
091213;0000;0,316666;;;
091214;0000;0,387499;;;
091215;0000;0,449999;;;
091216;0000;0,416666;;;
091217;0000;0,454165;;;
091218;0000;0,416666;;;
091219;0000;0,383333;;;
091220;0000;0,458332;;;
091221;0000;0,366666;;;
091222;0000;0,379166;;;
091223;0000;0,341666;;;
091224;0000;0,449999;;;
091225;0000;0,329166;;;
091226;0000;0,1875;;;
091227;0000;0,329166;;;
091228;0000;0,154166;;;
091229;0000;0,3375;;;
091230;0000;0,433333;;;
091231;0000;0,533332;;;
100101;0000;0,399999;;;
100102;0000;0,274999;;;
100103;0000;0,258333;;;
100104;0000;0,25;;;
100105;0000;0,270833;;;
100106;0000;0,355;;;
100107;0000;0,2125;;;
100108;0000;0,345832;;;
100109;0000;0,479166;;;
100110;0000;0,262499;;;
100111;0000;0,204166;;;
100112;0000;0,208333;;;
100113;0000;0,254166;;;
100114;0000;0,183333;;;
100115;0000;0,291666;;;
100116;0000;0,399999;;;
100117;0000;0,429165;;;
100118;0000;0,195833;;;
100119;0000;0,424999;;;
100120;0000;0,345832;;;
100121;0000;;;0,282585;
100122;0000;0,566666;;;
100123;0000;0,583332;;;
100124;0000;0,570832;;;
100125;0000;0,572725;;;
100126;0000;0,470832;;;
100127;0000;0,445832;;;
100128;0000;0,454166;;;
100129;0000;0,399999;;;
100130;0000;0,504166;;;
100131;0000;0,541665;;;
100201;0000;0,316666;;;
100202;0000;0,320833;;;
100203;0000;0,354166;;;
100204;0000;0,358333;;;
100205;0000;0,383332;;;
100206;0000;0,295833;;;
100207;0000;0,325;;;
100208;0000;0,341666;;;
100209;0000;0,329166;;;
100210;0000;0,291666;;;
100211;0000;0,245833;;;
100212;0000;0,291666;;;
100213;0000;0,395833;;;
100214;0000;0,237499;;;
100215;0000;0,213043;;;
100216;0000;0,287499;;;
100217;0000;0,291666;;;
100218;0000;0,258333;;;
