FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
080521;0000;;;3;
080522;0000;;;;
080523;0000;;;42,7083;
080524;0000;;;77,0416;
080525;0000;;;75,5416;
080526;0000;;;40,7916;
080527;0000;;;13,9583;
080528;0000;;;63,2708;
080529;0000;;;62,1875;
080530;0000;;;83,9166;
080531;0000;;;97,0416;
080601;0000;;;71,5833;
080602;0000;;;82,5416;
080603;0000;;;95,5833;
080604;0000;;;21,25;
080605;0000;;;;
080606;0000;;;;
080607;0000;;;;
080608;0000;;;;
080609;0000;;;;
080610;0000;;;;
080611;0000;;;;
080612;0000;;;105,25;
080613;0000;;;112,688;
080614;0000;;;91,0625;
080615;0000;;;107,833;
080616;0000;;;76,3541;
080617;0000;;;164,188;
080618;0000;;;55,6041;
080619;0000;;;13,5;
080620;0000;;;58,4583;
080621;0000;;;98,1666;
080622;0000;;;78,9166;
080623;0000;;;99,0416;
080624;0000;;;144,333;
080625;0000;;;99,1041;
080626;0000;;;104,396;
080627;0000;;;113,875;
080628;0000;;;101,542;
080629;0000;;;90,5833;
080630;0000;;;112,396;
080701;0000;;;86,9375;
080702;0000;;;78,2708;
080703;0000;;;95,2708;
080704;0000;;;37,75;
080705;0000;;;68,375;
080706;0000;;;64,4166;
080707;0000;;;84,3125;
080708;0000;;;98,7083;
080709;0000;;;;
080710;0000;;;;
080711;0000;;;;
080712;0000;;;63,8333;
080713;0000;;;40,7916;
080714;0000;;;68,125;
080715;0000;;;58,9583;
080716;0000;;;50,7291;
080717;0000;;;18,4375;
080718;0000;;;67,9166;
080719;0000;;;90,7083;
080720;0000;;;43,5;
080721;0000;;;42,75;
080722;0000;;;63,125;
080723;0000;;;29,5417;
080724;0000;;;135,25;
080725;0000;;;94,1458;
080726;0000;;;59,3125;
080727;0000;;;66,9791;
080728;0000;;;98,6666;
080729;0000;;;88,9375;
080730;0000;;;108,583;
080731;0000;;;70,3541;
080801;0000;;;21,6042;
080802;0000;;;25,2917;
080803;0000;;;57,0833;
080804;0000;;;45,7291;
080805;0000;;;66,5;
080806;0000;;;77,3958;
080807;0000;;;86,6458;
080808;0000;;;92,7708;
080809;0000;;;125,417;
080810;0000;;;71,5833;
080811;0000;;;30,1042;
080812;0000;;;70,8333;
080813;0000;;;101,417;
080814;0000;;;91,4583;
080815;0000;;;21,4167;
080816;0000;;;19,5833;
080817;0000;;;36,875;
080818;0000;;;39,4166;
080819;0000;;;20,3542;
080820;0000;;;32,0208;
080821;0000;;;54,625;
080822;0000;;;49,5;
080823;0000;;;0;
080824;0000;;;0;
080825;0000;;;0;
080826;0000;;;0;
080827;0000;;;0;
080828;0000;;;0;
080829;0000;;;22,1667;
080830;0000;;;51,2291;
080831;0000;;;43,9791;
080901;0000;;;42,8125;
080902;0000;;;26,0833;
080903;0000;;;23,1458;
080904;0000;;;35,5;
080905;0000;;;27,3958;
080906;0000;;;44,4791;
080907;0000;;;59,6875;
080908;0000;;;56,9791;
080909;0000;;;81,2291;
080910;0000;;;54,0833;
080911;0000;;;38,3958;
080912;0000;;;72,2916;
080913;0000;;;91,25;
080914;0000;;;63,8958;
080915;0000;;;76,875;
080916;0000;;;79,8125;
080917;0000;;;41,3958;
080918;0000;;;49,7083;
080919;0000;;;59,0625;
080920;0000;;;52,7291;
080921;0000;;;50,0833;
080922;0000;;;44,4583;
080923;0000;;;58,6458;
080924;0000;;;78,1666;
080925;0000;;;62,2083;
080926;0000;;;22,4375;
080927;0000;;;33,9375;
080928;0000;;;41,5833;
080929;0000;;;54,0208;
080930;0000;;;23,8333;
081001;0000;;;46,0416;
081002;0000;;;53,0208;
081003;0000;;;53,4583;
081004;0000;;;60,2083;
081005;0000;;;57,9791;
081006;0000;;;66,125;
081007;0000;;;74,7291;
081008;0000;;;72,9791;
081009;0000;;;76,125;
081010;0000;;;55,2916;
081011;0000;;;40,8125;
081012;0000;;;39;
081013;0000;;;44,5;
081014;0000;;;43,5;
081015;0000;;;56,25;
081016;0000;;;66,1666;
081017;0000;;;69,4583;
081018;0000;;;69,7916;
081019;0000;;;52,5208;
081020;0000;;;44,9791;
081021;0000;;;41,8541;
081022;0000;;;66,2291;
081023;0000;;;76,75;
081024;0000;;;73,2916;
081025;0000;;;32,625;
081026;0000;;;46,0208;
081027;0000;;;48,9375;
081028;0000;;;34,9583;
081029;0000;;;61,5833;
081030;0000;;;68,0416;
081031;0000;;;56,9583;
081101;0000;;;47,75;
081102;0000;;;45,7708;
081103;0000;;;58,0833;
081104;0000;;;65,5;
081105;0000;;;55,4583;
081106;0000;;;54,3333;
081107;0000;;;42,5416;
081108;0000;;;43,1041;
081109;0000;;;44,75;
081110;0000;;;63,8333;
081111;0000;;;48,0833;
081112;0000;;;59,9166;
081113;0000;;;51,7708;
081114;0000;;;30,2083;
081115;0000;;;38,9791;
081116;0000;;;42,5625;
081117;0000;;;49,6041;
081118;0000;;;62,3958;
081119;0000;;;56,4583;
081120;0000;;;55,6666;
081121;0000;;;;
081122;0000;;;;
081123;0000;;;;
081124;0000;;;;
081125;0000;;;51,6875;
081126;0000;;;54,2916;
081127;0000;;;37,4375;
081128;0000;;;40,75;
081129;0000;;;37,2916;
081130;0000;;;36,1875;
081201;0000;;;40,3125;
081202;0000;;;49,875;
081203;0000;;;42,3541;
081204;0000;;;46;
081205;0000;;;44,6875;
081206;0000;;;42,8541;
081207;0000;;;30,0208;
081208;0000;;;26,8542;
081209;0000;;;37,7916;
081210;0000;;;42,9375;
081211;0000;;;52,3958;
081212;0000;;;36,0526;
081213;0000;;;49,5416;
081214;0000;;;41,9166;
081215;0000;;;26,1042;
081216;0000;;;34,6458;
081217;0000;;;38,5625;
081218;0000;;;45,2083;
081219;0000;;;42,75;
081220;0000;;;39,9791;
081221;0000;;;42,125;
081222;0000;;;57,125;
081223;0000;;;53,3333;
081224;0000;;;50,25;
081225;0000;;;40,3125;
081226;0000;;;48,3125;
081227;0000;;;53,7291;
081228;0000;;;50,2291;
081229;0000;;;43,2708;
081230;0000;;;54,4166;
081231;0000;;;55,375;
090101;0000;49,0208;;;
090102;0000;50,75;;;
090103;0000;51,4583;;;
090104;0000;53,4166;;;
090105;0000;43,75;;;
090106;0000;30,9167;;;
090107;0000;41,6666;;;
090108;0000;44,5833;;;
090109;0000;49,7916;;;
090110;0000;51,9583;;;
090111;0000;40,625;;;
090112;0000;43,75;;;
090113;0000;46,9583;;;
090114;0000;46,7916;;;
090115;0000;48,9583;;;
090116;0000;45,0416;;;
090117;0000;55,4166;;;
090118;0000;40,875;;;
090119;0000;48,875;;;
090120;0000;52,2916;;;
090121;0000;52,3333;;;
090122;0000;56,2916;;;
090123;0000;70,7083;;;
090124;0000;30,7917;;;
090125;0000;36,2916;;;
090126;0000;53,6666;;;
090127;0000;54,9166;;;
090128;0000;64,125;;;
090129;0000;66,5416;;;
090130;0000;59,7083;;;
090131;0000;41,875;;;
090201;0000;40,9583;;;
090202;0000;46,1666;;;
090203;0000;53,2916;;;
090204;0000;36,0833;;;
090205;0000;37,6666;;;
090206;0000;46,2916;;;
090207;0000;50,2083;;;
090208;0000;42,75;;;
090209;0000;53,3333;;;
090210;0000;51,8333;;;
090211;0000;56,375;;;
