FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090125;0000;6,375;;;
090126;0000;11,5;;;
090127;0000;6,45833;;;
090128;0000;6,83333;;;
090129;0000;5,70833;;;
090130;0000;6,04166;;;
090131;0000;5,875;;;
090201;0000;3,25;;;
090202;0000;4,875;;;
090203;0000;8,91666;;;
090204;0000;5,79166;;;
090205;0000;8,04166;;;
090206;0000;6,29166;;;
090207;0000;6,45833;;;
090208;0000;6,41666;;;
090209;0000;8,20833;;;
090210;0000;5,875;;;
090211;0000;8,83333;;;
090212;0000;7,33333;;;
090213;0000;7,20833;;;
090214;0000;3,04166;;;
090215;0000;2,91666;;;
090216;0000;10,0833;;;
090217;0000;6,25;;;
090218;0000;3,08333;;;
090219;0000;5,79166;;;
090220;0000;6,79166;;;
090221;0000;2,66666;;;
090222;0000;15,2083;;;
090223;0000;6,79166;;;
090224;0000;12,0417;;;
090225;0000;6,20833;;;
090226;0000;8,20833;;;
090227;0000;8,16666;;;
090228;0000;13,1667;;;
090301;0000;23,4167;;;
090302;0000;21,7917;;;
090303;0000;2,83333;;;
090304;0000;11,8333;;;
090305;0000;16,0417;;;
090306;0000;14,2917;;;
090307;0000;14,375;;;
090308;0000;7,875;;;
090309;0000;12,3333;;;
090310;0000;12,6667;;;
090311;0000;12,6667;;;
090312;0000;11;;;
090313;0000;18,4583;;;
090314;0000;4,33333;;;
090315;0000;5,29166;;;
090316;0000;14,3333;;;
090317;0000;26,3333;;;
090318;0000;12,8333;;;
090319;0000;12,0417;;;
090320;0000;20,0833;;;
090321;0000;8,20833;;;
090322;0000;10,25;;;
090323;0000;6,04166;;;
090324;0000;16,9167;;;
090325;0000;;;;
090326;0000;;;;
090327;0000;;;;
090328;0000;;;;
090329;0000;;;;
090330;0000;;;;
090331;0000;;;;
090401;0000;;;;
090402;0000;;;;
090403;0000;;;13,8743;
090404;0000;;;21,0777;
090405;0000;;;21,7435;
090406;0000;;;15,7798;
090407;0000;;;;
090408;0000;;;12,053;
090409;0000;;;18,2581;
090410;0000;;;17,4722;
090411;0000;;;12,5846;
090412;0000;;;15,6244;
090413;0000;;;26,1603;
090414;0000;;;26,2563;
090415;0000;;;;
090416;0000;;;;
090417;0000;;;69,0541;
090418;0000;;;106,929;
090419;0000;;;;
090420;0000;;;;
090421;0000;;;;
090422;0000;;;;
090423;0000;;;;
090424;0000;;;;
090425;0000;20,2083;;;
090426;0000;13,5;;;
090427;0000;24,3333;;;
090428;0000;28,8333;;;
090429;0000;40,1666;;;
090430;0000;23,2917;;;
090501;0000;29,375;;;
090502;0000;11,3333;;;
090503;0000;2,625;;;
090504;0000;19,1667;;;
090505;0000;37,5;;;
090506;0000;33,6666;;;
090507;0000;16,125;;;
090508;0000;31,25;;;
090509;0000;24,0833;;;
090510;0000;21,4167;;;
090511;0000;47,9166;;;
090512;0000;20,2917;;;
090513;0000;17,9583;;;
090514;0000;12,7917;;;
090515;0000;34,0833;;;
090516;0000;15,875;;;
090517;0000;12,25;;;
090518;0000;14,0417;;;
090519;0000;36,6666;;;
090520;0000;;;;
090521;0000;;;;
090522;0000;;;;
090523;0000;20,7917;;;
090524;0000;35,625;;;
090525;0000;12,2917;;;
090526;0000;18,75;;;
090527;0000;43,5;;;
090528;0000;63,7916;;;
090529;0000;32,4583;;;
090530;0000;29,5833;;;
090531;0000;39,0833;;;
