FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090125;0000;8,08333;;;
090126;0000;12,0833;;;
090127;0000;12,4583;;;
090128;0000;11,9167;;;
090129;0000;10,4167;;;
090130;0000;11,9167;;;
090131;0000;10,9167;;;
090201;0000;8,58333;;;
090202;0000;9,41666;;;
090203;0000;10,4583;;;
090204;0000;8,375;;;
090205;0000;6,75;;;
090206;0000;11,4167;;;
090207;0000;9,83333;;;
090208;0000;10,9583;;;
090209;0000;11,5833;;;
090210;0000;10,875;;;
090211;0000;15,7917;;;
090212;0000;12,7917;;;
090213;0000;12,2917;;;
090214;0000;8,91666;;;
090215;0000;7,83333;;;
090216;0000;11,1667;;;
090217;0000;10,625;;;
090218;0000;7,58333;;;
090219;0000;9;;;
090220;0000;7,875;;;
090221;0000;6,04166;;;
090222;0000;15,2083;;;
090223;0000;11;;;
090224;0000;11,75;;;
090225;0000;13,7083;;;
090226;0000;15,6667;;;
090227;0000;11,4583;;;
090228;0000;17,2083;;;
090301;0000;11,2083;;;
090302;0000;12,7917;;;
090303;0000;8,70833;;;
090304;0000;10,5;;;
090305;0000;14,25;;;
090306;0000;12,2083;;;
090307;0000;12,125;;;
090308;0000;13,3333;;;
090309;0000;15,625;;;
090310;0000;13,9167;;;
090311;0000;13,4167;;;
090312;0000;13,4167;;;
090313;0000;19,0417;;;
090314;0000;16,875;;;
090315;0000;14,9167;;;
090316;0000;24,7083;;;
090317;0000;25,7917;;;
090318;0000;21,5833;;;
090319;0000;18,1667;;;
090320;0000;22,4167;;;
090321;0000;22,6667;;;
090322;0000;16,6667;;;
090323;0000;14,7917;;;
090324;0000;20,5833;;;
090325;0000;;;15,3923;
090326;0000;;;14,5104;
090327;0000;;;13,6875;
090328;0000;;;12,4514;
090329;0000;;;9,84026;
090330;0000;;;12,9687;
090331;0000;;;15,0173;
090401;0000;;;12,2083;
090402;0000;;;12,6268;
090403;0000;;;10,999;
090404;0000;;;10,4745;
090405;0000;;;13,4595;
090406;0000;;;13,9456;
090407;0000;;;14,163;
090408;0000;;;14,9629;
090409;0000;;;20,9143;
090410;0000;;;16,6736;
090411;0000;;;13,4201;
090412;0000;;;10,3322;
090413;0000;;;16,2766;
090414;0000;;;21,3264;
090415;0000;;;10,4735;
090416;0000;;;;
090417;0000;;;;
090418;0000;;;;
090419;0000;;;;
090420;0000;;;;
090421;0000;;;4,41984;
090422;0000;;;11,6857;
090423;0000;;;17,1308;
090424;0000;;;15,3164;
090425;0000;14,8333;;;
090426;0000;14;;;
090427;0000;16,9583;;;
090428;0000;18,5417;;;
090429;0000;20,2083;;;
090430;0000;15,375;;;
090501;0000;17,2083;;;
090502;0000;11,7917;;;
090503;0000;7,04166;;;
090504;0000;8,79166;;;
090505;0000;18,6667;;;
090506;0000;17,125;;;
090507;0000;12,375;;;
090508;0000;16,7083;;;
090509;0000;16;;;
090510;0000;22,9583;;;
090511;0000;26,5417;;;
090512;0000;20,375;;;
090513;0000;7,625;;;
090514;0000;9,04166;;;
090515;0000;12,125;;;
090516;0000;14,9583;;;
090517;0000;7,29166;;;
090518;0000;9,45833;;;
090519;0000;16,25;;;
090520;0000;;;;
090521;0000;;;;
090522;0000;;;;
090523;0000;22,125;;;
090524;0000;21,5417;;;
090525;0000;8,625;;;
090526;0000;11,5417;;;
090527;0000;23,2917;;;
090528;0000;24,1667;;;
090529;0000;21,6667;;;
090530;0000;15,5417;;;
090531;0000;16,4583;;;
090601;0000;25,5;;;
090602;0000;28;;;
090603;0000;28,375;;;
090604;0000;23,625;;;
090605;0000;25,75;;;
090606;0000;28,5;;;
090607;0000;16,3333;;;
090608;0000;24,9583;;;
090609;0000;30,25;;;
090610;0000;28,125;;;
090611;0000;33,7083;;;
090612;0000;31,7083;;;
090613;0000;29,375;;;
090614;0000;21,75;;;
090615;0000;19,5833;;;
090616;0000;19,7083;;;
090617;0000;20,625;;;
090618;0000;26,125;;;
090619;0000;17,3333;;;
090620;0000;6,625;;;
090621;0000;9,79166;;;
090622;0000;17,4583;;;
090623;0000;30,9583;;;
090624;0000;38,4166;;;
090625;0000;34,7916;;;
090626;0000;31,6667;;;
090627;0000;;;20,9988;
090628;0000;;;8,39496;
090629;0000;;;14,7323;
090630;0000;;;16,8352;
090701;0000;18,25;;;
090702;0000;18,5;;;
090703;0000;30,6667;;;
090704;0000;26,0833;;;
090705;0000;21,5;;;
090706;0000;14,0417;;;
090707;0000;18,375;;;
090708;0000;22,7917;;;
090709;0000;24,875;;;
090710;0000;21,75;;;
090711;0000;23,4583;;;
090712;0000;16,5833;;;
090713;0000;28,5417;;;
090714;0000;21,0417;;;
