FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090125;0000;14,4583;;;
090126;0000;23,5833;;;
090127;0000;18,9167;;;
090128;0000;18,75;;;
090129;0000;16,125;;;
090130;0000;17,9583;;;
090131;0000;16,7917;;;
090201;0000;11,75;;;
090202;0000;14,2917;;;
090203;0000;19,375;;;
090204;0000;14,1667;;;
090205;0000;14,7083;;;
090206;0000;17,7083;;;
090207;0000;16,25;;;
090208;0000;17,2083;;;
090209;0000;19,7917;;;
090210;0000;16,75;;;
090211;0000;24,625;;;
090212;0000;20,125;;;
090213;0000;19,5;;;
090214;0000;11,9583;;;
090215;0000;10,75;;;
090216;0000;21,25;;;
090217;0000;16,875;;;
090218;0000;10,625;;;
090219;0000;14,7917;;;
090220;0000;14,6667;;;
090221;0000;8,54166;;;
090222;0000;30,4167;;;
090223;0000;17,7917;;;
090224;0000;23,7917;;;
090225;0000;19,9167;;;
090226;0000;23,875;;;
090227;0000;19,625;;;
090228;0000;30,375;;;
090301;0000;34,625;;;
090302;0000;34,5833;;;
090303;0000;11,5417;;;
090304;0000;22,3333;;;
090305;0000;30,2917;;;
090306;0000;26,5;;;
090307;0000;26,5;;;
090308;0000;21,2083;;;
090309;0000;27,9583;;;
090310;0000;26,5833;;;
090311;0000;26,0833;;;
090312;0000;24,4167;;;
090313;0000;37,5;;;
090314;0000;21,2083;;;
090315;0000;20,2083;;;
090316;0000;39,0416;;;
090317;0000;52,125;;;
090318;0000;34,4166;;;
090319;0000;30,2083;;;
090320;0000;42,5;;;
090321;0000;30,875;;;
090322;0000;26,9167;;;
090323;0000;20,8333;;;
090324;0000;37,5;;;
090325;0000;;;25,4097;
090326;0000;;;19,2326;
090327;0000;;;21,502;
090328;0000;;;18,4652;
090329;0000;;;16,3159;
090330;0000;;;24,177;
090331;0000;;;34,4617;
090401;0000;;;26,1805;
090402;0000;;;20,663;
090403;0000;;;22,1469;
090404;0000;;;27,1284;
090405;0000;;;29,7233;
090406;0000;;;29,2905;
090407;0000;;;30,3305;
090408;0000;;;26,3472;
090409;0000;;;39,5057;
090410;0000;;;34,5335;
090411;0000;;;25,4166;
090412;0000;;;25,6423;
090413;0000;;;40,515;
090414;0000;;;44,2777;
090415;0000;;;;
090416;0000;;;;
090417;0000;;;70,1406;
090418;0000;;;109,18;
090419;0000;;;;
090420;0000;;;;
090421;0000;;;;
090422;0000;;;;
090423;0000;;;;
090424;0000;;;23,6425;
090425;0000;34,9166;;;
090426;0000;27,5;;;
090427;0000;41,2916;;;
090428;0000;47,375;;;
090429;0000;60,375;;;
090430;0000;38,6666;;;
090501;0000;46,5833;;;
090502;0000;23,125;;;
090503;0000;9,66666;;;
090504;0000;27,9583;;;
090505;0000;56,1666;;;
090506;0000;50,7916;;;
090507;0000;28,4583;;;
090508;0000;47,9583;;;
090509;0000;40,0833;;;
090510;0000;44,375;;;
090511;0000;74,4583;;;
090512;0000;40,6666;;;
090513;0000;25,5833;;;
090514;0000;21,8333;;;
090515;0000;46,2083;;;
090516;0000;30,8333;;;
090517;0000;19,5417;;;
090518;0000;23,5;;;
090519;0000;52,9166;;;
090520;0000;;;26,3;
090521;0000;;;;
090522;0000;;;;
090523;0000;42,9166;;;
090524;0000;57,1666;;;
090525;0000;20,9167;;;
090526;0000;30,2917;;;
090527;0000;66,7916;;;
090528;0000;87,9583;;;
090529;0000;54,125;;;
090530;0000;45,125;;;
090531;0000;55,5416;;;
090601;0000;87,125;;;
090602;0000;82,7916;;;
090603;0000;84,2916;;;
090604;0000;55,2916;;;
090605;0000;79,1666;;;
090606;0000;85,1666;;;
090607;0000;29,4583;;;
090608;0000;60,5833;;;
090609;0000;94,2916;;;
090610;0000;66,25;;;
090611;0000;64,5;;;
090612;0000;66,0833;;;
090613;0000;54,7916;;;
090614;0000;54,625;;;
090615;0000;59,6666;;;
090616;0000;73,7083;;;
090617;0000;56,0416;;;
090618;0000;115,458;;;
090619;0000;51,5416;;;
090620;0000;10,375;;;
090621;0000;29;;;
090622;0000;77,9166;;;
090623;0000;145;;;
090624;0000;155,375;;;
090625;0000;117,458;;;
090626;0000;120,167;;;
090627;0000;;;51,6666;
090628;0000;;;;
090629;0000;;;50,7648;
090630;0000;;;34,7045;
090701;0000;46,4166;;;
090702;0000;69,125;;;
090703;0000;94,0833;;;
090704;0000;92,75;;;
090705;0000;56;;;
090706;0000;34,375;;;
090707;0000;57,25;;;
090708;0000;110,542;;;
090709;0000;83,4166;;;
090710;0000;71,8333;;;
090711;0000;70,1666;;;
090712;0000;42,5;;;
090713;0000;61,875;;;
090714;0000;34,2916;;;
090715;0000;46,375;;;
090716;0000;71,7916;;;
090717;0000;44,8333;;;
090718;0000;46,8333;;;
090719;0000;38,4166;;;
090720;0000;39,1666;;;
090721;0000;17,25;;;
090722;0000;;;25,2395;
090723;0000;49,2272;;;
090724;0000;88,625;;;
090725;0000;62,0833;;;
090726;0000;52,0833;;;
090727;0000;63,375;;;
090728;0000;110,583;;;
090729;0000;93,4166;;;
090730;0000;63;;;
090731;0000;39,75;;;
090801;0000;66,875;;;
090802;0000;62,2916;;;
090803;0000;60,9166;;;
090804;0000;21,25;;;
090805;0000;;;;
090806;0000;69,5;;;
090807;0000;45,2083;;;
090808;0000;61,9166;;;
090809;0000;43,625;;;
090810;0000;60,9166;;;
090811;0000;83,2916;;;
090812;0000;33,0833;;;
090813;0000;59,0833;;;
090814;0000;41,7083;;;
090815;0000;13,125;;;
090816;0000;15,2917;;;
090817;0000;41,7916;;;
090818;0000;21,2083;;;
090819;0000;13,875;;;
090820;0000;30,375;;;
090821;0000;56,5416;;;
090822;0000;60,5833;;;
090823;0000;32,5;;;
090824;0000;87,9583;;;
090825;0000;73,1666;;;
090826;0000;84,125;;;
090827;0000;67,2916;;;
090828;0000;57,375;;;
090829;0000;35,625;;;
090830;0000;17,0833;;;
090831;0000;14,9583;;;
090901;0000;34,5833;;;
090902;0000;16,5417;;;
090903;0000;24,25;;;
090904;0000;72,5416;;;
090905;0000;33,2083;;;
090906;0000;8,16666;;;
090907;0000;;;18,0153;
090908;0000;;;39,3174;
090909;0000;34,1666;;;
090910;0000;54,5416;;;
090911;0000;64;;;
090912;0000;41,7142;;;
090913;0000;29,625;;;
090914;0000;20,1667;;;
090915;0000;27,2083;;;
090916;0000;32,4166;;;
090917;0000;20,8333;;;
090918;0000;37,25;;;
090919;0000;38,2083;;;
090920;0000;26,9167;;;
090921;0000;15,6667;;;
090922;0000;23,2083;;;
090923;0000;42,1666;;;
090924;0000;32,7083;;;
090925;0000;18,0417;;;
090926;0000;2,33333;;;
090927;0000;7,29166;;;
090928;0000;14,6667;;;
090929;0000;22,6667;;;
090930;0000;27,25;;;
091001;0000;36,75;;;
091002;0000;31,0833;;;
091003;0000;40,5;;;
091004;0000;7,70833;;;
091005;0000;18,0833;;;
091006;0000;33,375;;;
091007;0000;29,25;;;
091008;0000;30,4583;;;
091009;0000;19,5417;;;
091010;0000;5,54166;;;
091011;0000;8,125;;;
091012;0000;26,8333;;;
091013;0000;20,6956;;;
091014;0000;14,2917;;;
091015;0000;23,9583;;;
091016;0000;11;;;
091017;0000;10,1667;;;
091018;0000;6,95833;;;
091019;0000;21,2917;;;
091020;0000;14;;;
091021;0000;23,0833;;;
091022;0000;34,875;;;
091023;0000;19,4583;;;
091024;0000;30,125;;;
091025;0000;24,7917;;;
091026;0000;26,2083;;;
091027;0000;29,7917;;;
091028;0000;34,2916;;;
091029;0000;25,5;;;
091030;0000;17,5;;;
091031;0000;11,2083;;;
091101;0000;5,66666;;;
091102;0000;5,625;;;
091103;0000;7,70833;;;
091104;0000;9,58333;;;
091105;0000;11;;;
091106;0000;9,75;;;
091107;0000;10,2083;;;
091108;0000;7,58333;;;
091109;0000;9,16666;;;
091110;0000;22,0833;;;
091111;0000;24,4286;;;
091112;0000;23,0833;;;
091113;0000;14;;;
091114;0000;16,6667;;;
091115;0000;;;;
091116;0000;;;37,92;
091117;0000;44,8333;;;
091118;0000;38,0416;;;
091119;0000;32,1666;;;
091120;0000;45,5833;;;
091121;0000;42,875;;;
091122;0000;30,0833;;;
091123;0000;22,25;;;
091124;0000;8,58333;;;
091125;0000;;;;
091126;0000;;;38,4282;
091127;0000;;;23,6682;
091128;0000;;;;
091129;0000;;;13,1986;
091130;0000;;;;
091201;0000;;;;
091202;0000;23,25;;;
091203;0000;14,1667;;;
091204;0000;17,9583;;;
091205;0000;11,9167;;;
091206;0000;11,5417;;;
091207;0000;3,5;;;
091208;0000;3;;;
091209;0000;18,0833;;;
091210;0000;18,4167;;;
091211;0000;14,2917;;;
091212;0000;14,8333;;;
091213;0000;11;;;
091214;0000;24,3;;;
091215;0000;20,7083;;;
091216;0000;18,8333;;;
091217;0000;21,7917;;;
091218;0000;21,125;;;
091219;0000;14,4583;;;
091220;0000;14,4167;;;
091221;0000;15,7083;;;
091222;0000;15;;;
091223;0000;16,3333;;;
091224;0000;19,3333;;;
091225;0000;11,6667;;;
091226;0000;8,45833;;;
091227;0000;10,375;;;
091228;0000;4,04166;;;
091229;0000;10,9583;;;
091230;0000;12,0417;;;
091231;0000;12,2917;;;
100101;0000;13,2083;;;
100102;0000;11,625;;;
100103;0000;9,125;;;
100104;0000;9,75;;;
100105;0000;10,5417;;;
100106;0000;18,7143;;;
100107;0000;20,5833;;;
100108;0000;29,0417;;;
100109;0000;30,0833;;;
100110;0000;15,1667;;;
100111;0000;14,8333;;;
100112;0000;19,7083;;;
100113;0000;23,5789;;;
100114;0000;;;18,2138;
100115;0000;;;;
100116;0000;16,5417;;;
100117;0000;12,5417;;;
100118;0000;15,5833;;;
100119;0000;22,2917;;;
100120;0000;17,7917;;;
100121;0000;20,4167;;;
100122;0000;21,5417;;;
100123;0000;18,2083;;;
100124;0000;11;;;
100125;0000;13,3333;;;
100126;0000;19,0417;;;
100127;0000;21,5417;;;
100128;0000;18,4167;;;
100129;0000;16,0417;;;
100130;0000;20,0417;;;
100131;0000;22,375;;;
100201;0000;23,5417;;;
100202;0000;22,4167;;;
100203;0000;17,5909;;;
100204;0000;19,6667;;;
100205;0000;23,7083;;;
100206;0000;13,4167;;;
100207;0000;13,7917;;;
100208;0000;26,25;;;
100209;0000;25,1667;;;
100210;0000;21,125;;;
100211;0000;17,5;;;
100212;0000;14,8182;;;
100213;0000;24,2917;;;
100214;0000;15,7917;;;
100215;0000;16,6667;;;
100216;0000;17,1667;;;
100217;0000;20,875;;;
100218;0000;17,3333;;;
100219;0000;16,5;;;
100220;0000;22,8333;;;
100221;0000;15,0417;;;
100222;0000;9,41666;;;
100223;0000;31,2609;;;
100224;0000;26;;;
100225;0000;11,5417;;;
100226;0000;19,75;;;
100227;0000;;;;
100228;0000;;;;
100301;0000;23,8333;;;
100302;0000;15,4167;;;
100303;0000;25,5833;;;
100304;0000;32,6666;;;
100305;0000;38,2083;;;
100306;0000;;;;
100307;0000;19,9167;;;
100308;0000;22,75;;;
100309;0000;41,9166;;;
100310;0000;37,3333;;;
100311;0000;16,2083;;;
100312;0000;18,5833;;;
100313;0000;28,6667;;;
100314;0000;29,2917;;;
100315;0000;;;;
100316;0000;32,0416;;;
100317;0000;17,0833;;;
100318;0000;34,7916;;;
100319;0000;47,375;;;
100320;0000;29,9167;;;
100321;0000;15,8333;;;
100322;0000;27,5;;;
100323;0000;34,125;;;
100324;0000;44,1666;;;
100325;0000;38,0416;;;
100326;0000;44,1666;;;
100327;0000;42,0833;;;
100328;0000;32,2083;;;
100329;0000;44,7083;;;
100330;0000;67,5416;;;
100331;0000;49,5416;;;
100401;0000;57;;;
100402;0000;35,0416;;;
100403;0000;27,4583;;;
100404;0000;32,0416;;;
100405;0000;38;;;
