FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090123;0000;24,9167;;;
090124;0000;19,4167;;;
090125;0000;23,625;;;
090126;0000;23,3333;;;
090127;0000;35,125;;;
090128;0000;34,875;;;
090129;0000;25,9167;;;
090130;0000;25,8333;;;
090131;0000;26,3333;;;
090201;0000;26,5833;;;
090202;0000;22,375;;;
090203;0000;23,125;;;
090204;0000;17,9167;;;
090205;0000;20,25;;;
090206;0000;23,7083;;;
090207;0000;23,125;;;
090208;0000;25,2917;;;
090209;0000;23;;;
090210;0000;24,125;;;
090211;0000;28,2083;;;
090212;0000;28,7917;;;
090213;0000;24,5417;;;
090214;0000;31,4167;;;
090215;0000;25,7917;;;
090216;0000;19,125;;;
090217;0000;28,3333;;;
090218;0000;24,2083;;;
090219;0000;21,125;;;
090220;0000;22,8333;;;
090221;0000;19,5;;;
090222;0000;20,25;;;
090223;0000;26,8333;;;
090224;0000;23,625;;;
090225;0000;25,0417;;;
090226;0000;24,5833;;;
090227;0000;25,2917;;;
090228;0000;11,4583;;;
090301;0000;19,5833;;;
090302;0000;16,75;;;
090303;0000;11,5417;;;
090304;0000;20,4583;;;
090305;0000;24,125;;;
090306;0000;21,5833;;;
090307;0000;19,8333;;;
090308;0000;23,625;;;
090309;0000;28,3333;;;
090310;0000;19,6667;;;
090311;0000;22,875;;;
090312;0000;27;;;
090313;0000;24,75;;;
090314;0000;24,125;;;
090315;0000;29,0417;;;
090316;0000;21,25;;;
090317;0000;25,2083;;;
090318;0000;28,8333;;;
090319;0000;16,9583;;;
090320;0000;25,2083;;;
090321;0000;30;;;
090322;0000;28,4583;;;
090323;0000;27,9167;;;
090324;0000;21,1667;;;
090325;0000;23,6667;;;
090326;0000;26,7917;;;
090327;0000;22,0833;;;
090328;0000;24,75;;;
090329;0000;19,4583;;;
090330;0000;20;;;
090331;0000;14,0833;;;
090401;0000;20,625;;;
090402;0000;17,1667;;;
090403;0000;10,25;;;
090404;0000;14,9583;;;
090405;0000;18,5;;;
090406;0000;18;;;
090407;0000;22,5;;;
090408;0000;20,9167;;;
090409;0000;20,75;;;
090410;0000;16,9583;;;
090411;0000;17,0833;;;
090412;0000;13,7917;;;
090413;0000;17,5417;;;
090414;0000;24,0833;;;
090415;0000;22,25;;;
090416;0000;21,5417;;;
090417;0000;16,8333;;;
090418;0000;18,25;;;
090419;0000;21,625;;;
