FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090125;0000;3,04166;;;
090126;0000;2,16666;;;
090127;0000;3,375;;;
090128;0000;2,79166;;;
090129;0000;1,54167;;;
090130;0000;1,125;;;
090131;0000;1,95833;;;
090201;0000;1,79167;;;
090202;0000;1,70833;;;
090203;0000;3,625;;;
090204;0000;1,29167;;;
090205;0000;2,20833;;;
090206;0000;3,66666;;;
090207;0000;1,79167;;;
090208;0000;2,04166;;;
090209;0000;1,79167;;;
090210;0000;2,125;;;
090211;0000;3,45833;;;
090212;0000;2,33333;;;
090213;0000;1,83333;;;
090214;0000;1,54167;;;
090215;0000;1,5;;;
090216;0000;1,29167;;;
090217;0000;2,45833;;;
090218;0000;2,29166;;;
090219;0000;1,58333;;;
090220;0000;1,91667;;;
090221;0000;1,5;;;
090222;0000;2;;;
090223;0000;1,5;;;
090224;0000;3,375;;;
090225;0000;3,125;;;
090226;0000;2,91666;;;
090227;0000;2,04166;;;
090228;0000;1,41667;;;
090301;0000;1,41667;;;
090302;0000;1,5;;;
090303;0000;1,04167;;;
090304;0000;3,29166;;;
090305;0000;2,25;;;
090306;0000;2,25;;;
090307;0000;2,33333;;;
090308;0000;1,875;;;
090309;0000;3,29166;;;
090310;0000;1,5;;;
090311;0000;3,54166;;;
090312;0000;2,16666;;;
090313;0000;2,58333;;;
090314;0000;1,66667;;;
090315;0000;2,58333;;;
090316;0000;1,16667;;;
090317;0000;1,5;;;
090318;0000;1,56522;;;
090319;0000;1,83333;;;
090320;0000;1,91667;;;
090321;0000;2,29166;;;
090322;0000;2,20833;;;
090323;0000;2,75;;;
090324;0000;2,375;;;
090325;0000;2,91666;;;
090326;0000;2,83333;;;
090327;0000;2,33333;;;
090328;0000;3,20833;;;
090329;0000;2,45833;;;
090330;0000;2,66666;;;
090331;0000;3,66666;;;
090401;0000;2,25;;;
090402;0000;2,54166;;;
090403;0000;;;71,8036;
090404;0000;;;37,1996;
090405;0000;;;23,8961;
090406;0000;;;8,02081;
090407;0000;;;18,0761;
090408;0000;2,5;;;
090409;0000;2,95833;;;
090410;0000;2,04166;;;
090411;0000;1,875;;;
090412;0000;1,66667;;;
090413;0000;2;;;
090414;0000;4;;;
090415;0000;3,79166;;;
090416;0000;2,83333;;;
090417;0000;2,16666;;;
090418;0000;2,79166;;;
090419;0000;2,95833;;;
090420;0000;3,29166;;;
090421;0000;3,16666;;;
090422;0000;3,04166;;;
090423;0000;4,16666;;;
090424;0000;4,25;;;
090425;0000;5,66666;;;
090426;0000;5,83333;;;
090427;0000;4,54166;;;
090428;0000;5,25;;;
090429;0000;3,08333;;;
090430;0000;2,125;;;
090501;0000;3;;;
090502;0000;2,04166;;;
090503;0000;2,04166;;;
090504;0000;3;;;
090505;0000;5,875;;;
090506;0000;5,08333;;;
090507;0000;2,20833;;;
090508;0000;3,08333;;;
090509;0000;3,04166;;;
090510;0000;2,79166;;;
090511;0000;3,25;;;
090512;0000;2,83333;;;
090513;0000;2,375;;;
090514;0000;2,33333;;;
090515;0000;3,875;;;
090516;0000;3,66666;;;
090517;0000;2,83333;;;
090518;0000;2,95833;;;
090519;0000;5,16666;;;
090520;0000;4,66666;;;
090521;0000;4,33333;;;
090522;0000;5,5;;;
090523;0000;4,625;;;
090524;0000;3,66666;;;
090525;0000;3,04166;;;
090526;0000;2,66666;;;
090527;0000;3,41666;;;
090528;0000;4,125;;;
090529;0000;3,25;;;
090530;0000;2,95833;;;
090531;0000;4,33333;;;
090601;0000;8,45833;;;
090602;0000;6,58333;;;
090603;0000;6,33333;;;
090604;0000;6,08333;;;
090605;0000;5,95833;;;
090606;0000;5,16666;;;
090607;0000;2,45833;;;
090608;0000;3,16666;;;
090609;0000;5,58333;;;
090610;0000;5,29166;;;
090611;0000;6,5;;;
090612;0000;5,20833;;;
090613;0000;3,25;;;
090614;0000;3,125;;;
090615;0000;3,04166;;;
090616;0000;3,29166;;;
090617;0000;3,54166;;;
090618;0000;4,25;;;
090619;0000;3,70833;;;
090620;0000;2,79166;;;
090621;0000;3,79166;;;
090622;0000;3,83333;;;
090623;0000;4,95833;;;
090624;0000;4,91666;;;
090625;0000;4,41666;;;
090626;0000;4,25;;;
090627;0000;4,20833;;;
090628;0000;2,875;;;
090629;0000;3,25;;;
090630;0000;3,125;;;
090701;0000;1,16667;;;
090702;0000;2,83333;;;
090703;0000;3,625;;;
090704;0000;2,625;;;
090705;0000;1,33333;;;
090706;0000;1,29167;;;
090707;0000;1,54167;;;
090708;0000;4;;;
090709;0000;3,375;;;
090710;0000;3;;;
090711;0000;4,08333;;;
090712;0000;3,41666;;;
090713;0000;2,41666;;;
090714;0000;1,91667;;;
090715;0000;2,04166;;;
090716;0000;2,16666;;;
090717;0000;1,25;;;
090718;0000;1,20833;;;
090719;0000;1,04167;;;
090720;0000;1,66667;;;
090721;0000;1,20833;;;
090722;0000;1,20833;;;
090723;0000;4,5;;;
090724;0000;7,08333;;;
090725;0000;5,70833;;;
090726;0000;4,33333;;;
090727;0000;4,58333;;;
090728;0000;5,54166;;;
090729;0000;3,91666;;;
090730;0000;3,54166;;;
090731;0000;3,29166;;;
090801;0000;5,58333;;;
090802;0000;4,16666;;;
090803;0000;4,04166;;;
090804;0000;2,66666;;;
090805;0000;;;;
090806;0000;3,83333;;;
090807;0000;3,45833;;;
090808;0000;4,45833;;;
090809;0000;4,45833;;;
090810;0000;6,375;;;
090811;0000;6,95833;;;
090812;0000;3,58333;;;
090813;0000;3,29166;;;
090814;0000;3,33333;;;
090815;0000;2,08333;;;
090816;0000;2,58333;;;
090817;0000;3,33333;;;
090818;0000;2,58333;;;
090819;0000;2,41666;;;
090820;0000;3,16666;;;
090821;0000;3,25;;;
090822;0000;3,70833;;;
090823;0000;3,29166;;;
090824;0000;3,95833;;;
090825;0000;5,25;;;
090826;0000;6,25;;;
090827;0000;7,04166;;;
090828;0000;5,5;;;
090829;0000;3,25;;;
090830;0000;3,29166;;;
090831;0000;3,29166;;;
090901;0000;3,16666;;;
090902;0000;3,08333;;;
090903;0000;3,25;;;
090904;0000;4,41666;;;
090905;0000;3,20833;;;
090906;0000;3;;;
090907;0000;2,91666;;;
090908;0000;3,95833;;;
090909;0000;4,875;;;
090910;0000;5,04545;;;
090911;0000;3,45454;;;
090912;0000;;;;
090913;0000;1;;;
090914;0000;1;;;
090915;0000;1,04167;;;
090916;0000;1,58333;;;
090917;0000;1,08333;;;
090918;0000;1,20833;;;
090919;0000;2,29166;;;
090920;0000;2,83333;;;
090921;0000;1,04167;;;
090922;0000;2;;;
090923;0000;2,25;;;
090924;0000;1,70833;;;
090925;0000;1,16667;;;
090926;0000;1,04167;;;
090927;0000;1;;;
090928;0000;1,29167;;;
090929;0000;2,375;;;
090930;0000;1,20833;;;
091001;0000;3,04166;;;
091002;0000;1,08333;;;
091003;0000;2,125;;;
091004;0000;1,125;;;
091005;0000;1;;;
091006;0000;2,625;;;
091007;0000;1,08333;;;
091008;0000;1,08333;;;
091009;0000;1,375;;;
091010;0000;1,08333;;;
091011;0000;1;;;
091012;0000;2,95833;;;
091013;0000;1,09091;;;
091014;0000;1;;;
091015;0000;1;;;
091016;0000;;;;
091017;0000;1;;;
091018;0000;1;;;
091019;0000;2;;;
091020;0000;1,33333;;;
091021;0000;1,66667;;;
091022;0000;1,875;;;
091023;0000;1;;;
091024;0000;1,45833;;;
091025;0000;2,29166;;;
091026;0000;2,41666;;;
091027;0000;1,125;;;
091028;0000;4,25;;;
091029;0000;1,25;;;
091030;0000;1,375;;;
091031;0000;1;;;
091101;0000;1,04167;;;
091102;0000;1;;;
091103;0000;1;;;
091104;0000;1,08333;;;
091105;0000;1,08333;;;
091106;0000;1,08333;;;
091107;0000;1,04167;;;
091108;0000;1,04167;;;
091109;0000;1,04167;;;
091110;0000;3,375;;;
091111;0000;1;;;
091112;0000;1,125;;;
091113;0000;1;;;
091114;0000;1,33333;;;
