FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090125;0000;;;4,8001;
090126;0000;;;4,87892;
090127;0000;;;4,97105;
090128;0000;;;5,07695;
090129;0000;;;5,05659;
090130;0000;;;5,1692;
090131;0000;;;5,31133;
090201;0000;;;5,33262;
090202;0000;;;5,37058;
090203;0000;;;5,47093;
090204;0000;;;5,52557;
090205;0000;;;3,5662;
090206;0000;0,645832;;;
090207;0000;0,424998;;;
090208;0000;0,424999;;;
090209;0000;0,275;;;
090210;0000;0,358333;;;
090211;0000;0,3125;;;
090212;0000;0,166666;;;
090213;0000;0,279166;;;
090214;0000;0,229166;;;
090215;0000;0,304166;;;
090216;0000;0,316666;;;
090217;0000;0,866666;;;
090218;0000;1,52083;;;
090219;0000;1,5875;;;
090220;0000;1,65833;;;
090221;0000;1,65417;;;
090222;0000;1,82916;;;
090223;0000;1,89583;;;
090224;0000;1,83333;;;
090225;0000;1,89166;;;
090226;0000;1,93333;;;
090227;0000;1,94167;;;
090228;0000;2,06667;;;
090301;0000;2,12083;;;
090302;0000;2,10833;;;
090303;0000;2,18333;;;
090304;0000;2,16249;;;
090305;0000;2,35833;;;
090306;0000;2,09583;;;
090307;0000;1,0375;;;
090308;0000;1,725;;;
090309;0000;2,2625;;;
090310;0000;2,27083;;;
090311;0000;2,33333;;;
090312;0000;2,45416;;;
090313;0000;2,4375;;;
090314;0000;2,5875;;;
090315;0000;2,59583;;;
090316;0000;2,47083;;;
090317;0000;2,58333;;;
090318;0000;2,5875;;;
090319;0000;2,41249;;;
090320;0000;2,50416;;;
090321;0000;1,84167;;;
090322;0000;1,64583;;;
090323;0000;1,6125;;;
090324;0000;1,57916;;;
090325;0000;2,20416;;;
090326;0000;2,65833;;;
090327;0000;2,6;;;
090328;0000;2,70416;;;
090329;0000;2,05416;;;
090330;0000;1,79166;;;
090331;0000;1,73333;;;
090401;0000;1,7625;;;
090402;0000;1,84583;;;
090403;0000;2,24166;;;
090404;0000;2,80833;;;
090405;0000;2,57083;;;
090406;0000;2,14166;;;
090407;0000;2,23684;;;
090408;0000;;;;
090409;0000;;;;
090410;0000;;;;
090411;0000;;;;
090412;0000;;;;
090413;0000;;;;
090414;0000;;;;
090415;0000;;;;
090416;0000;;;;
090417;0000;;;;
090418;0000;;;;
090419;0000;;;;
090420;0000;;;;
090421;0000;;;;
090422;0000;;;;
090423;0000;;;3,32673;
090424;0000;;;3,41909;
090425;0000;;;3,78957;
090426;0000;;;;
090427;0000;;;;
090428;0000;;;;
090429;0000;;;;
090430;0000;;;;
090501;0000;;;;
090502;0000;;;;
090503;0000;;;;
090504;0000;;;;
090505;0000;;;;
090506;0000;;;;
090507;0000;;;;
090508;0000;0,220833;;;
090509;0000;0,0999998;;;
