FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
080526;0000;;;26,6667;
080527;0000;;;10,3055;
080528;0000;;;;
080529;0000;;;86,6041;
080530;0000;;;95,9583;
080531;0000;;;112,25;
080601;0000;;;90,9583;
080602;0000;;;64;
080603;0000;;;93,4166;
080604;0000;;;22,0833;
080605;0000;;;34,5;
080606;0000;;;37,7083;
080607;0000;;;50,0833;
080608;0000;;;52,6458;
080609;0000;;;67,25;
080610;0000;;;69,7083;
080611;0000;;;74,6875;
080612;0000;;;102,333;
080613;0000;;;104,521;
080614;0000;;;78,0833;
080615;0000;;;92,2916;
080616;0000;;;81,8958;
080617;0000;;;47,8958;
080618;0000;;;41,9791;
080619;0000;;;19,375;
080620;0000;;;39,5833;
080621;0000;;;69,625;
080622;0000;;;103,438;
080623;0000;;;118,938;
080624;0000;;;127,5;
080625;0000;;;128,25;
080626;0000;;;89,625;
080627;0000;;;78,4166;
080628;0000;;;139,562;
080629;0000;;;114,688;
080630;0000;;;90,6875;
080701;0000;;;116,792;
080702;0000;;;101,479;
080703;0000;;;69,8333;
080704;0000;;;19,2292;
080705;0000;;;82,3333;
080706;0000;;;77,3958;
080707;0000;;;42,9375;
080708;0000;;;83,0208;
080709;0000;;;82,3958;
080710;0000;;;;
080711;0000;;;65,3958;
080712;0000;;;42,8541;
080713;0000;;;46,6458;
080714;0000;;;60,7291;
080715;0000;;;35,5;
080716;0000;;;30,9792;
080717;0000;;;23,7708;
080718;0000;;;55,6875;
080719;0000;;;76,5416;
080720;0000;;;64,0208;
080721;0000;;;69,4375;
080722;0000;;;50,2708;
080723;0000;;;37,2291;
080724;0000;;;68,9583;
080725;0000;;;75,5416;
080726;0000;;;68,5;
080727;0000;;;50,2708;
080728;0000;;;85,75;
080729;0000;;;69,4166;
080730;0000;;;58,1041;
080731;0000;;;37,5416;
080801;0000;;;11,0208;
080802;0000;;;11,3958;
080803;0000;;;28;
080804;0000;;;25,1042;
080805;0000;;;43,3541;
080806;0000;;;67;
080807;0000;;;64,0625;
080808;0000;;;94,4166;
080809;0000;;;94,9791;
080810;0000;;;59,1458;
080811;0000;;;56,9166;
080812;0000;;;65,8541;
080813;0000;;;81,5833;
080814;0000;;;59,6458;
080815;0000;;;23,1667;
080816;0000;;;17,4583;
080817;0000;;;28,0208;
080818;0000;;;19,1458;
080819;0000;;;19,4583;
080820;0000;;;28,2292;
080821;0000;;;44,3125;
080822;0000;;;45,9375;
080823;0000;;;39,25;
080824;0000;;;58,7083;
080825;0000;;;35,0208;
080826;0000;;;18,9583;
080827;0000;;;10,3542;
080828;0000;;;17,6875;
080829;0000;;;68,3333;
080830;0000;;;58,9375;
080831;0000;;;25,8958;
080901;0000;;;20,3958;
080902;0000;;;19,3958;
080903;0000;;;16,3333;
080904;0000;;;27;
080905;0000;;;40;
080906;0000;;;60,5833;
080907;0000;;;52,5416;
080908;0000;;;38,1041;
080909;0000;;;3,64583;
080910;0000;;;28,8542;
080911;0000;;;36,9166;
080912;0000;;;66,8125;
080913;0000;;;73,6875;
080914;0000;;;68,625;
080915;0000;;;75,2708;
080916;0000;;;67,9791;
080917;0000;;;30,4167;
080918;0000;;;23,875;
080919;0000;;;53,7083;
080920;0000;;;75,125;
080921;0000;;;59,0625;
080922;0000;;;31,7083;
080923;0000;;;32,1875;
080924;0000;;;49,625;
080925;0000;;;24,4792;
080926;0000;;;14,3333;
080927;0000;;;17,8958;
080928;0000;;;27,625;
080929;0000;;;40,6666;
080930;0000;;;18,1458;
081001;0000;;;27,5;
081002;0000;;;37,875;
081003;0000;;;26,125;
081004;0000;;;36,4375;
081005;0000;;;39,1666;
081006;0000;;;46,0625;
081007;0000;;;52,7916;
081008;0000;;;22,6042;
081009;0000;;;29;
081010;0000;;;15,8542;
081011;0000;;;17,9167;
081012;0000;;;14,0833;
081013;0000;;;31,3542;
081014;0000;;;37,8125;
081015;0000;;;38,7291;
081016;0000;;;53;
081017;0000;;;50,6041;
081018;0000;;;48,1041;
081019;0000;;;37,3125;
081020;0000;;;26,4167;
081021;0000;;;34,7083;
081022;0000;;;49;
081023;0000;;;45,8541;
081024;0000;;;42,9375;
081025;0000;;;15,9375;
081026;0000;;;29,6875;
081027;0000;;;24,6667;
081028;0000;;;20;
081029;0000;;;35,0208;
081030;0000;;;43,9375;
081031;0000;;;24,875;
081101;0000;;;19,9375;
081102;0000;;;24,5;
081103;0000;;;27,3125;
081104;0000;;;36,6666;
081105;0000;;;28,4375;
081106;0000;;;29,3958;
081107;0000;;;21,1042;
081108;0000;;;21,2708;
081109;0000;;;33,1458;
081110;0000;;;42,9375;
081111;0000;;;44,625;
081112;0000;;;47,5;
081113;0000;;;30,5417;
081114;0000;;;22,5625;
081115;0000;;;29,5208;
081116;0000;;;42,2083;
081117;0000;;;53,7083;
081118;0000;;;50,3541;
081119;0000;;;37,1458;
081120;0000;;;28,2083;
081121;0000;;;24,5;
081122;0000;;;33,4583;
081123;0000;;;25,7917;
081124;0000;;;33,5416;
081125;0000;;;32,7916;
081126;0000;;;21,9167;
081127;0000;;;21,9167;
081128;0000;;;28,625;
081129;0000;;;26,8333;
081130;0000;;;32,625;
081201;0000;;;28,5833;
081202;0000;;;32,0208;
081203;0000;;;25,4583;
081204;0000;;;35,5416;
081205;0000;;;31,9792;
081206;0000;;;34,8541;
081207;0000;;;21,75;
081208;0000;;;24,8333;
081209;0000;;;43,0416;
081210;0000;;;51,375;
081211;0000;;;47,6666;
081212;0000;;;;
081213;0000;;;;
081214;0000;;;27,4583;
081215;0000;;;17,5208;
081216;0000;;;16,9565;
081217;0000;;;32,8125;
081218;0000;;;37,3333;
081219;0000;;;32,6458;
081220;0000;;;25,3542;
081221;0000;;;32,6041;
081222;0000;;;41;
081223;0000;;;46,8958;
081224;0000;;;28,1458;
081225;0000;;;33,5833;
081226;0000;;;40,9791;
081227;0000;;;26,375;
081228;0000;;;25,6875;
081229;0000;;;46,5208;
