FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090228;0000;1;;;
090301;0000;4,20833;;;
090302;0000;4,625;;;
090303;0000;1,04167;;;
090304;0000;2,45833;;;
090305;0000;13,7917;;;
090306;0000;;;51,6581;
090307;0000;;;;
090308;0000;;;;
090309;0000;;;;
090310;0000;;;703,078;
090311;0000;;;;
090312;0000;;;;
090313;0000;;;;
090314;0000;6,125;;;
090315;0000;4,54166;;;
090316;0000;2,95833;;;
090317;0000;6,79166;;;
090318;0000;6,75;;;
090319;0000;1;;;
090320;0000;8,25;;;
090321;0000;11,9583;;;
090322;0000;6,5;;;
090323;0000;9,91666;;;
090324;0000;4,70833;;;
090325;0000;3,70833;;;
090326;0000;7,95833;;;
090327;0000;1,29167;;;
090328;0000;11,125;;;
090329;0000;4,5;;;
090330;0000;13,8333;;;
090331;0000;12,6667;;;
090401;0000;6,54166;;;
090402;0000;4,58333;;;
090403;0000;2,20833;;;
090404;0000;6,45833;;;
090405;0000;15,1667;;;
090406;0000;20,5417;;;
090407;0000;20,5789;;;
090408;0000;;;;
090409;0000;;;;
090410;0000;;;;
090411;0000;;;;
090412;0000;;;;
090413;0000;;;;
090414;0000;;;;
090415;0000;;;;
090416;0000;;;;
090417;0000;;;;
090418;0000;;;;
090419;0000;;;;
090420;0000;;;;
090421;0000;;;;
090422;0000;;;;
090423;0000;12,875;;;
090424;0000;10,0833;;;
090425;0000;18,875;;;
090426;0000;13,0417;;;
090427;0000;8,91666;;;
090428;0000;4,58333;;;
090429;0000;3,375;;;
090430;0000;1,125;;;
090501;0000;5,20833;;;
090502;0000;1;;;
090503;0000;1,125;;;
090504;0000;10,6667;;;
090505;0000;15,75;;;
090506;0000;12,6667;;;
090507;0000;13,0833;;;
090508;0000;26,375;;;
090509;0000;2,83333;;;
090510;0000;24,4583;;;
090511;0000;36,625;;;
090512;0000;42,7916;;;
090513;0000;7,08333;;;
090514;0000;8,54166;;;
090515;0000;15,5;;;
090516;0000;26,8333;;;
090517;0000;5,75;;;
090518;0000;8,125;;;
090519;0000;26,375;;;
090520;0000;39,625;;;
090521;0000;41,375;;;
090522;0000;32,5;;;
090523;0000;28;;;
090524;0000;6,375;;;
090525;0000;5,25;;;
090526;0000;20,5833;;;
090527;0000;14,625;;;
090528;0000;9,875;;;
090529;0000;8,29166;;;
090530;0000;13,75;;;
090531;0000;32,375;;;
090601;0000;36,2916;;;
090602;0000;55,6666;;;
090603;0000;42,25;;;
090604;0000;25,8333;;;
090605;0000;41,4583;;;
090606;0000;15,5833;;;
090607;0000;3,58333;;;
090608;0000;10,5417;;;
090609;0000;43,625;;;
090610;0000;54,0833;;;
090611;0000;45,75;;;
090612;0000;10,8333;;;
090613;0000;2,16666;;;
090614;0000;5,41666;;;
090615;0000;19,5833;;;
090616;0000;43,1666;;;
090617;0000;10,5;;;
090618;0000;28,875;;;
090619;0000;;;;
090620;0000;;;;
090621;0000;;;;
090622;0000;;;;
090623;0000;;;;
090624;0000;;;;
090625;0000;;;;
090626;0000;;;;
090627;0000;;;;
090628;0000;;;;
090629;0000;;;;
090630;0000;;;;
090701;0000;;;;
090702;0000;;;;
090703;0000;;;;
090704;0000;;;;
090705;0000;;;;
090706;0000;;;;
090707;0000;16,4583;;;
090708;0000;21;;;
090709;0000;30,25;;;
090710;0000;20,5417;;;
090711;0000;43,3333;;;
090712;0000;33,8333;;;
090713;0000;24,9167;;;
090714;0000;34,1666;;;
090715;0000;18,375;;;
090716;0000;32,5833;;;
090717;0000;3,375;;;
090718;0000;28,0833;;;
090719;0000;19,8333;;;
090720;0000;13,0417;;;
090721;0000;9,20833;;;
090722;0000;11,3333;;;
090723;0000;15,4583;;;
