FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090228;0000;2,20833;;;
090301;0000;3,41666;;;
090302;0000;4,29166;;;
090303;0000;1,95833;;;
090304;0000;3,66666;;;
090305;0000;10,9583;;;
090306;0000;;;10,8244;
090307;0000;;;;
090308;0000;;;;
090309;0000;;;;
090310;0000;;;;
090311;0000;;;;
090312;0000;;;;
090313;0000;;;;
090314;0000;7,91666;;;
090315;0000;5,29166;;;
090316;0000;4,25;;;
090317;0000;6,08333;;;
090318;0000;6,625;;;
090319;0000;1,91667;;;
090320;0000;7,5;;;
090321;0000;8,66666;;;
090322;0000;8,33333;;;
090323;0000;8,16666;;;
090324;0000;5,95833;;;
090325;0000;4,75;;;
090326;0000;7,08333;;;
090327;0000;3,95833;;;
090328;0000;5,29166;;;
090329;0000;4,04166;;;
090330;0000;6,25;;;
090331;0000;8,45833;;;
090401;0000;5,79166;;;
090402;0000;6,16666;;;
090403;0000;2,83333;;;
090404;0000;4,375;;;
090405;0000;9,58333;;;
090406;0000;11,3333;;;
090407;0000;8,63158;;;
090408;0000;;;;
090409;0000;;;;
090410;0000;;;;
090411;0000;;;;
090412;0000;;;;
090413;0000;;;;
090414;0000;;;;
090415;0000;;;;
090416;0000;;;;
090417;0000;;;;
090418;0000;;;;
090419;0000;;;;
090420;0000;;;;
090421;0000;;;;
090422;0000;;;;
090423;0000;7,83333;;;
090424;0000;11,9167;;;
090425;0000;17,5417;;;
090426;0000;14,25;;;
090427;0000;7,83333;;;
090428;0000;6,875;;;
090429;0000;5,95833;;;
090430;0000;5,91666;;;
090501;0000;12,9167;;;
090502;0000;3,70833;;;
090503;0000;5,375;;;
090504;0000;8,41666;;;
090505;0000;14,0833;;;
090506;0000;9,08333;;;
090507;0000;9,5;;;
090508;0000;9,95833;;;
090509;0000;5;;;
090510;0000;13,4167;;;
090511;0000;26,5;;;
090512;0000;29,9167;;;
090513;0000;7,20833;;;
090514;0000;7,41666;;;
090515;0000;11,1667;;;
090516;0000;13,4167;;;
090517;0000;5,70833;;;
090518;0000;9,95833;;;
090519;0000;15,75;;;
090520;0000;17;;;
090521;0000;21,25;;;
090522;0000;19,9583;;;
090523;0000;13,5;;;
090524;0000;5,625;;;
090525;0000;4,125;;;
090526;0000;6,375;;;
090527;0000;10,625;;;
090528;0000;6,125;;;
090529;0000;8,25;;;
090530;0000;12,125;;;
090531;0000;12,75;;;
090601;0000;17,875;;;
090602;0000;24,2917;;;
090603;0000;19,9583;;;
090604;0000;17;;;
090605;0000;19,5833;;;
090606;0000;8,70833;;;
090607;0000;11,2917;;;
090608;0000;22,3333;;;
090609;0000;29,875;;;
090610;0000;26,7083;;;
090611;0000;23,8333;;;
090612;0000;7,875;;;
090613;0000;8,45833;;;
090614;0000;10,2083;;;
090615;0000;15,0833;;;
090616;0000;14,5;;;
090617;0000;13;;;
090618;0000;14,75;;;
090619;0000;;;;
090620;0000;;;;
090621;0000;;;;
090622;0000;;;;
090623;0000;;;;
090624;0000;;;;
090625;0000;;;;
090626;0000;;;;
090627;0000;;;;
090628;0000;;;;
090629;0000;;;;
090630;0000;;;;
090701;0000;;;;
090702;0000;;;;
090703;0000;;;;
090704;0000;;;;
090705;0000;;;;
090706;0000;;;;
090707;0000;10,375;;;
090708;0000;9,33333;;;
090709;0000;12,0833;;;
090710;0000;9,75;;;
090711;0000;18,7083;;;
090712;0000;14,25;;;
090713;0000;15,4167;;;
090714;0000;13,8333;;;
090715;0000;12,125;;;
090716;0000;14,7083;;;
090717;0000;7,16666;;;
090718;0000;10,75;;;
090719;0000;10,2083;;;
090720;0000;7,33333;;;
090721;0000;7,16666;;;
090722;0000;7,20833;;;
090723;0000;9,04166;;;
090724;0000;16,9167;;;
090725;0000;17,0833;;;
090726;0000;15,5;;;
090727;0000;15,6667;;;
090728;0000;15,75;;;
090729;0000;17,8333;;;
090730;0000;13,2917;;;
090731;0000;7,41666;;;
090801;0000;11,7917;;;
090802;0000;13,6667;;;
090803;0000;11,625;;;
090804;0000;4,20833;;;
090805;0000;6,33333;;;
090806;0000;12,25;;;
090807;0000;8,20833;;;
090808;0000;11,0417;;;
090809;0000;8,29166;;;
090810;0000;13,625;;;
090811;0000;16,0555;;;
090812;0000;;;;
090813;0000;;;;
090814;0000;;;;
090815;0000;;;;
090816;0000;;;;
090817;0000;;;;
090818;0000;;;;
090819;0000;;;;
090820;0000;14,8333;;;
090821;0000;13,4583;;;
090822;0000;8;;;
090823;0000;10,3333;;;
090824;0000;19,375;;;
090825;0000;24,9583;;;
090826;0000;24,2083;;;
090827;0000;21,75;;;
090828;0000;10,2083;;;
090829;0000;2,08333;;;
090830;0000;6,5;;;
090831;0000;3,41666;;;
090901;0000;4,83333;;;
090902;0000;2,25;;;
090903;0000;9,75;;;
090904;0000;21,1667;;;
090905;0000;18,4583;;;
090906;0000;7,25;;;
090907;0000;6,29166;;;
090908;0000;7,625;;;
090909;0000;11,875;;;
090910;0000;15,25;;;
090911;0000;14,3333;;;
090912;0000;13,0417;;;
090913;0000;4,58333;;;
090914;0000;7,20833;;;
090915;0000;8,375;;;
090916;0000;6,95833;;;
090917;0000;4,08333;;;
090918;0000;9,91666;;;
090919;0000;11,625;;;
090920;0000;7,5;;;
090921;0000;2,79166;;;
090922;0000;10,75;;;
090923;0000;13,2917;;;
090924;0000;11,0833;;;
090925;0000;4,70833;;;
090926;0000;2,16666;;;
090927;0000;3,29166;;;
090928;0000;5,41666;;;
090929;0000;8,125;;;
090930;0000;6,66666;;;
091001;0000;11,7917;;;
091002;0000;10,625;;;
091003;0000;10,4583;;;
091004;0000;3,875;;;
091005;0000;7,66666;;;
091006;0000;8,04166;;;
091007;0000;11,5417;;;
091008;0000;11,5417;;;
091009;0000;8,25;;;
091010;0000;3,25;;;
091011;0000;3,95833;;;
091012;0000;5,875;;;
091013;0000;5,04166;;;
091014;0000;3,5;;;
091015;0000;6,125;;;
091016;0000;4,54166;;;
091017;0000;4,16666;;;
091018;0000;2,20833;;;
091019;0000;11,5417;;;
091020;0000;7,875;;;
091021;0000;13,7083;;;
091022;0000;10,8182;;;
091023;0000;6,66666;;;
091024;0000;10,7917;;;
091025;0000;8,83333;;;
091026;0000;10,0417;;;
091027;0000;18,5833;;;
091028;0000;14,625;;;
091029;0000;10,2917;;;
091030;0000;6,25;;;
091031;0000;4,45833;;;
091101;0000;3,20833;;;
091102;0000;4,75;;;
