FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090125;0000;11,4583;;;
090126;0000;10,875;;;
090127;0000;;;;
090128;0000;;;;
090129;0000;;;;
090130;0000;;;;
090131;0000;;;;
090201;0000;;;;
090202;0000;;;;
090203;0000;;;;
090204;0000;;;;
090205;0000;;;;
090206;0000;18,5417;;;
090207;0000;14,9583;;;
090208;0000;17,3333;;;
090209;0000;10,2917;;;
090210;0000;13,3043;;;
090211;0000;15,375;;;
090212;0000;13,6667;;;
090213;0000;13,4286;;;
090214;0000;17,1111;;;
090215;0000;10,5;;;
090216;0000;10,0435;;;
090217;0000;17,6667;;;
090218;0000;17,875;;;
090219;0000;11,1667;;;
090220;0000;12,5833;;;
090221;0000;11,6667;;;
090222;0000;14,375;;;
090223;0000;13,4167;;;
090224;0000;11,25;;;
090225;0000;11,375;;;
090226;0000;12,75;;;
090227;0000;12,5833;;;
090228;0000;11,2083;;;
090301;0000;10,3333;;;
090302;0000;10,4583;;;
090303;0000;10,75;;;
090304;0000;13,7917;;;
090305;0000;16,125;;;
090306;0000;13,4583;;;
090307;0000;13,4167;;;
090308;0000;15,1667;;;
090309;0000;11,75;;;
090310;0000;10,9583;;;
090311;0000;11,1667;;;
090312;0000;15;;;
090313;0000;14,625;;;
090314;0000;14,7917;;;
090315;0000;17,4583;;;
090316;0000;12;;;
090317;0000;15,4167;;;
090318;0000;13,75;;;
090319;0000;12,8333;;;
090320;0000;13,75;;;
090321;0000;13,25;;;
090322;0000;16,9167;;;
090323;0000;13,625;;;
090324;0000;11,125;;;
090325;0000;12,6111;;;
090326;0000;14,625;;;
090327;0000;11,2917;;;
090328;0000;12,6667;;;
090329;0000;8,75;;;
090330;0000;10,5833;;;
090331;0000;13,1667;;;
090401;0000;14,5;;;
090402;0000;11,3333;;;
090403;0000;;;5,16319;
090404;0000;9,625;;;
090405;0000;12,1667;;;
090406;0000;11,0417;;;
090407;0000;;;;
090408;0000;;;;
090409;0000;;;;
090410;0000;;;;
090411;0000;;;;
090412;0000;;;;
090413;0000;;;;
090414;0000;;;;
090415;0000;;;;
090416;0000;;;;
090417;0000;;;;
090418;0000;;;;
090419;0000;;;;
090420;0000;;;;
090421;0000;;;;
090422;0000;;;;
090423;0000;14,3333;;;
090424;0000;18,9583;;;
090425;0000;20,1667;;;
090426;0000;22,7083;;;
090427;0000;12,375;;;
090428;0000;8,125;;;
090429;0000;13,9167;;;
090430;0000;16,125;;;
090501;0000;20,8333;;;
090502;0000;24,9167;;;
090503;0000;21,9167;;;
090504;0000;9,625;;;
090505;0000;12,875;;;
090506;0000;9,04166;;;
090507;0000;7,33333;;;
090508;0000;13,0833;;;
090509;0000;11,1667;;;
090510;0000;3,45833;;;
090511;0000;5,16666;;;
090512;0000;5,58333;;;
090513;0000;2,5;;;
090514;0000;2,75;;;
