FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090125;0000;2,20833;;;
090126;0000;2;;;
090127;0000;2,58333;;;
090128;0000;3,04166;;;
090129;0000;1,58333;;;
090130;0000;2;;;
090131;0000;2,33333;;;
090201;0000;1,41667;;;
090202;0000;1,25;;;
090203;0000;2;;;
090204;0000;1,5;;;
090205;0000;1,04348;;;
090206;0000;2,04166;;;
090207;0000;2,16666;;;
090208;0000;2,70833;;;
090209;0000;2,375;;;
090210;0000;2,41666;;;
090211;0000;3,45833;;;
090212;0000;4,375;;;
090213;0000;3,83333;;;
090214;0000;2,875;;;
090215;0000;2,29166;;;
090216;0000;2,41666;;;
090217;0000;1,91667;;;
090218;0000;1,20833;;;
090219;0000;1;;;
090220;0000;1,04167;;;
090221;0000;1;;;
090222;0000;1,25;;;
090223;0000;1,45833;;;
090224;0000;1,08333;;;
090225;0000;1,20833;;;
090226;0000;1,25;;;
090227;0000;1,16667;;;
090228;0000;1,20833;;;
090301;0000;1,66667;;;
090302;0000;1,875;;;
090303;0000;2;;;
090304;0000;2;;;
090305;0000;;;;
090306;0000;;;0,460317;
090307;0000;3,29166;;;
090308;0000;2,79166;;;
090309;0000;2;;;
090310;0000;2;;;
090311;0000;;;;
090312;0000;2,41666;;;
090313;0000;2,54166;;;
090314;0000;2,54166;;;
090315;0000;2,75;;;
090316;0000;2,625;;;
090317;0000;2,75;;;
090318;0000;2,83333;;;
090319;0000;2,95833;;;
090320;0000;3;;;
090321;0000;3,75;;;
090322;0000;3,875;;;
090323;0000;3,83333;;;
090324;0000;3,54166;;;
090325;0000;3;;;
090326;0000;3;;;
090327;0000;;;;
090328;0000;;;;
090329;0000;;;;
090330;0000;4;;;
090331;0000;4;;;
090401;0000;2;;;
090402;0000;1,875;;;
090403;0000;1,58333;;;
090404;0000;1;;;
090405;0000;1,54167;;;
090406;0000;2;;;
090407;0000;;;;
090408;0000;;;;
090409;0000;;;;
090410;0000;;;;
090411;0000;;;;
090412;0000;;;;
090413;0000;;;;
090414;0000;;;;
090415;0000;;;;
090416;0000;;;;
090417;0000;;;;
090418;0000;;;;
090419;0000;;;;
090420;0000;;;;
090421;0000;;;;
090422;0000;;;;
090423;0000;4,25;;;
090424;0000;5,20833;;;
090425;0000;8,83333;;;
090426;0000;6,79166;;;
090427;0000;2,08333;;;
090428;0000;2,04166;;;
090429;0000;2;;;
090430;0000;1,95833;;;
090501;0000;2,20833;;;
090502;0000;2;;;
090503;0000;2;;;
090504;0000;2,11111;;;
090505;0000;4,08333;;;
090506;0000;2,25;;;
090507;0000;2,41666;;;
090508;0000;4,08333;;;
090509;0000;2,29166;;;
090510;0000;3,25;;;
090511;0000;5,875;;;
090512;0000;4,45833;;;
090513;0000;2,66666;;;
090514;0000;2,16666;;;
090515;0000;2,75;;;
090516;0000;4,375;;;
090517;0000;2,91666;;;
090518;0000;3,04166;;;
090519;0000;4,41666;;;
090520;0000;5,125;;;
090521;0000;7,45833;;;
090522;0000;6,04166;;;
090523;0000;4,41666;;;
090524;0000;3,20833;;;
090525;0000;2,75;;;
090526;0000;2,66666;;;
090527;0000;3,70833;;;
090528;0000;3,33333;;;
090529;0000;3,58333;;;
090530;0000;3,83333;;;
090531;0000;6,875;;;
090601;0000;11;;;
090602;0000;6,95833;;;
090603;0000;4,83333;;;
090604;0000;6,58333;;;
090605;0000;7,29166;;;
090606;0000;3,33333;;;
090607;0000;3,625;;;
090608;0000;4,125;;;
090609;0000;6,95833;;;
090610;0000;8;;;
090611;0000;8,54166;;;
090612;0000;3,58333;;;
090613;0000;3,58333;;;
090614;0000;3,125;;;
090615;0000;3,95833;;;
090616;0000;6,54166;;;
090617;0000;4,20833;;;
090618;0000;4,625;;;
090619;0000;;;;
090620;0000;;;;
090621;0000;;;;
090622;0000;;;;
090623;0000;;;;
090624;0000;;;;
090625;0000;;;;
090626;0000;;;;
090627;0000;;;;
090628;0000;;;;
090629;0000;;;;
090630;0000;;;;
090701;0000;;;;
090702;0000;;;;
090703;0000;;;;
090704;0000;;;;
090705;0000;;;;
090706;0000;;;;
090707;0000;4,70833;;;
090708;0000;4,58333;;;
090709;0000;6,08333;;;
090710;0000;4,79166;;;
090711;0000;8,16666;;;
090712;0000;6,79166;;;
090713;0000;6,75;;;
090714;0000;6,91666;;;
090715;0000;4,29166;;;
090716;0000;6,16666;;;
090717;0000;3,58333;;;
090718;0000;4,70833;;;
090719;0000;3,83333;;;
090720;0000;4,25;;;
090721;0000;3,375;;;
090722;0000;3,5;;;
090723;0000;9,25;;;
090724;0000;10,4583;;;
090725;0000;8,5;;;
090726;0000;8,45833;;;
090727;0000;7,66666;;;
090728;0000;6,83333;;;
090729;0000;7,875;;;
090730;0000;6,58333;;;
090731;0000;5,25;;;
090801;0000;8,875;;;
090802;0000;8,83333;;;
090803;0000;8,33333;;;
090804;0000;6;;;
090805;0000;5,95833;;;
090806;0000;6,54166;;;
090807;0000;6,08333;;;
090808;0000;7,375;;;
090809;0000;7,16666;;;
090810;0000;9,08333;;;
090811;0000;9;;;
090812;0000;6;;;
090813;0000;6,54166;;;
090814;0000;6,625;;;
090815;0000;6,04166;;;
090816;0000;6,79166;;;
090817;0000;7,625;;;
090818;0000;6,20833;;;
090819;0000;6,41666;;;
090820;0000;6;;;
090821;0000;6;;;
090822;0000;;;;
090823;0000;;;;
090824;0000;;;4,2159;
090825;0000;6,75;;;
090826;0000;6,91666;;;
090827;0000;6,70833;;;
090828;0000;6,08333;;;
090829;0000;6;;;
090830;0000;6,45833;;;
090831;0000;6,08333;;;
090901;0000;5;;;
090902;0000;5;;;
090903;0000;5,20833;;;
090904;0000;5,66666;;;
090905;0000;5,20833;;;
090906;0000;5;;;
090907;0000;5;;;
090908;0000;5,09524;;;
090909;0000;5,91666;;;
090910;0000;6,54166;;;
090911;0000;6,04166;;;
090912;0000;6,08333;;;
090913;0000;5,04166;;;
090914;0000;4,63636;;;
090915;0000;3;;;
090916;0000;3;;;
090917;0000;3;;;
090918;0000;3,73684;;;
090919;0000;3,91666;;;
090920;0000;3,20833;;;
090921;0000;3;;;
090922;0000;3,29166;;;
090923;0000;3,625;;;
090924;0000;3,33333;;;
090925;0000;3;;;
090926;0000;3;;;
090927;0000;;;;
090928;0000;;;0,159904;
090929;0000;3,45833;;;
090930;0000;3;;;
091001;0000;4,08333;;;
091002;0000;3,45833;;;
091003;0000;3,625;;;
091004;0000;3;;;
091005;0000;3,16666;;;
091006;0000;4,125;;;
091007;0000;4,25;;;
091008;0000;3,875;;;
091009;0000;3,58333;;;
091010;0000;3;;;
091011;0000;3;;;
091012;0000;4,75;;;
091013;0000;3,33333;;;
091014;0000;3,25;;;
091015;0000;3,29166;;;
091016;0000;3,58333;;;
091017;0000;3,04166;;;
091018;0000;3;;;
091019;0000;3,25;;;
091020;0000;2,375;;;
091021;0000;3,45833;;;
091022;0000;3,91304;;;
091023;0000;3,20833;;;
091024;0000;4;;;
091025;0000;4,16666;;;
091026;0000;4,45833;;;
091027;0000;4,66666;;;
091028;0000;6,29166;;;
091029;0000;4,66666;;;
091030;0000;4,29166;;;
091031;0000;4;;;
091101;0000;4,08333;;;
091102;0000;4;;;
091103;0000;4;;;
091104;0000;;;0,0890596;
091105;0000;;;;
091106;0000;4,16666;;;
091107;0000;4;;;
091108;0000;4;;;
091109;0000;;;;
091110;0000;;;1,64473;
091111;0000;4,54166;;;
091112;0000;4,375;;;
091113;0000;4;;;
091114;0000;4,08333;;;
091115;0000;4,79166;;;
091116;0000;4;;;
091117;0000;4,29166;;;
091118;0000;4,375;;;
091119;0000;4,33333;;;
091120;0000;4,75;;;
091121;0000;4,58333;;;
091122;0000;4,79166;;;
091123;0000;4,45833;;;
091124;0000;4,16666;;;
091125;0000;4,125;;;
091126;0000;4,54166;;;
091127;0000;4,5;;;
091128;0000;4,41666;;;
091129;0000;4,375;;;
091130;0000;4,58333;;;
091201;0000;4,58333;;;
091202;0000;5,08333;;;
091203;0000;5,33333;;;
091204;0000;4,45833;;;
091205;0000;4,375;;;
091206;0000;4,375;;;
091207;0000;3,375;;;
091208;0000;2,375;;;
091209;0000;4;;;
091210;0000;5;;;
091211;0000;5;;;
091212;0000;5,44444;;;
091213;0000;5,33333;;;
091214;0000;5,08333;;;
091215;0000;5,125;;;
091216;0000;5,45833;;;
091217;0000;5;;;
091218;0000;5,41666;;;
091219;0000;5;;;
091220;0000;5,29166;;;
091221;0000;5,33333;;;
091222;0000;5,16666;;;
091223;0000;5,125;;;
091224;0000;5,29166;;;
091225;0000;5;;;
091226;0000;5;;;
091227;0000;;;0,564651;
091228;0000;5;;;
091229;0000;5;;;
091230;0000;5,34782;;;
091231;0000;5;;;
100101;0000;1,04167;;;
100102;0000;1,33333;;;
100103;0000;1,04167;;;
100104;0000;1;;;
100105;0000;1;;;
100106;0000;1,3;;;
100107;0000;1,5;;;
100108;0000;1,375;;;
100109;0000;1,70833;;;
100110;0000;1,83333;;;
100111;0000;1,25;;;
100112;0000;2,17391;;;
100113;0000;2,29166;;;
100114;0000;2,5;;;
100115;0000;1,41667;;;
100116;0000;1;;;
100117;0000;1,33333;;;
100118;0000;1;;;
